"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","9-0","1598","62","1","0","1/1",11
"2","Clemson","9-0","1497","2","3","1","2/3",11
"3","Michigan","9-0","1493","0","2","-1","2/8",11
"4","Washington","9-0","1422","0","4","0","4/18",11
"5","Ohio State","8-1","1316","0","6","1","2/8",11
"6","Louisville","8-1","1307","0","5","-1","4/23",11
"7","Wisconsin","7-2","1191","0","8","1","7/NR",11
"8","Auburn","7-2","1075","0","12","4","8/NR",11
"9","Oklahoma","7-2","1068","0","11","2","3/NR",11
"10","West Virginia","7-1","877","0","15","5","9/NR",11
"11","Texas A&M","7-2","801","0","7","-4","6/NR",11
"12","Utah","7-2","788","0","16","4","12/NR",11
"13","North Carolina","7-2","695","0","17","4","13/NR",11
"14","Penn State","7-2","667","0","23","9","14/NR",11
"15","Colorado","7-2","627","0","20","5","15/NR",11
"16","Florida","6-2","486","0","9","-7","9/25",11
"17","Oklahoma State","7-2","483","0","22","5","17/NR",11
"18","Florida State","6-3","482","0","19","1","2/21",11
"19","Louisiana State","5-3","479","0","14","-5","6/NR",11
"20","Nebraska","7-2","476","0","10","-10","6/NR",11
"21","Western Michigan","9-0","467","0","18","-3","18/NR",11
"22","Virginia Tech","7-2","466","0","21","-1","19/NR",11
"23","Washington State","7-2","331","0","25","2","23/NR",11
"24","Boise State","8-1","211","0","24","0","13/NR",11
"25","Baylor","6-2","161","0","13","-12","6/25",11
