"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","11-0","1575","63","1","0","1/1",13
"2","Ohio State","10-1","1482","0","2","0","2/8",13
"3","Clemson","10-1","1420","0","5","2","2/5",13
"4","Michigan","10-1","1404","0","4","0","2/8",13
"5","Washington","10-1","1297","0","7","2","4/18",13
"6","Wisconsin","9-2","1279","0","6","0","6/NR",13
"7","Oklahoma","9-2","1215","0","8","1","3/NR",13
"8","Penn State","9-2","1077","0","10","2","10/NR",13
"9","Colorado","9-2","1052","0","12","3","12/NR",13
"10","Oklahoma State","9-2","947","0","13","3","13/NR",13
"11","Louisville","9-2","864","0","3","-8","3/23",13
"12","Southern California","8-3","774","0","19","7","17/NR",13
"13","Florida","8-2","744","0","18","5","9/25",13
"14","Florida State","8-3","735","0","15","1","2/21",13
"15","Nebraska","9-2","719","0","17","2","6/NR",13
"16","Auburn","8-3","663","0","16","0","8/NR",13
"17","West Virginia","8-2","489","0","9","-8","9/NR",13
"18","Western Michigan","11-0","448","0","21","3","18/NR",13
"19","Boise State","10-1","414","0","23","4","13/NR",13
"20","Utah","8-3","374","0","11","-9","11/NR",13
"21","Houston","9-2","349","0","26","5","5/NR",13
"22","Texas A&M","8-3","315","0","22","0","6/NR",13
"23","Washington State","8-3","132","0","20","-3","20/NR",13
"24","Tennessee","8-3","129","0","31","7","9/NR",13
"25","North Carolina","8-3","118","0","24","-1","13/NR",13
