"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","7-0","1597","61","1","0","1/1",8
"2","Ohio State","6-0","1524","2","2","0","2/5",8
"3","Clemson","7-0","1432","1","3","0","2/3",8
"4","Michigan","6-0","1413","0","4","0","4/8",8
"5","Washington","6-0","1366","0","5","0","5/18",8
"6","Texas A&M","6-0","1287","0","6","0","6/NR",8
"7","Louisville","5-1","1207","0","7","0","4/23",8
"8","Baylor","6-0","1130","0","8","0","8/21",8
"9","Nebraska","6-0","1114","0","9","0","9/NR",8
"10","Wisconsin","4-2","874","0","10","0","8/NR",8
"11","Houston","6-1","841","0","12","1","5/13",8
"12","Florida","5-1","830","0","14","2","14/25",8
"13","West Virginia","5-0","781","0","18","5","18/NR",8
"14","Boise State","6-0","772","0","15","1","15/NR",8
"15","Florida State","5-2","709","0","16","1","2/21",8
"16","Oklahoma","4-2","600","0","20","4","3/NR",8
"17","Arkansas","5-2","570","0","22","5","17/NR",8
"18","Utah","6-1","538","0","21","3","18/NR",8
"19","Tennessee","5-2","457","0","11","-8","9/15",8
"20","Western Michigan","7-0","317","0","23","3","23/NR",8
"21","North Carolina","5-2","250","0","30","9","16/NR",8
"22","Mississippi","3-3","182","0","13","-9","12/21",8
"23","Louisiana State","4-2","176","0","25","2","6/NR",8
"24","Auburn","4-2","156","0","26","2","–",8
"25","Navy","4-1","133","0","28","3","–",8
