"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","13-0","1450","58","1","0","1/1",15
"2","Ohio State","11-1","1354","0","2","0","2/8",15
"3","Clemson","12-1","1347","0","3","0","2/5",15
"4","Washington","12-1","1283","0","4","0","4/18",15
"5","Penn State","11-2","1186","0","8","3","5/NR",15
"6","Michigan","10-2","1181","0","6","0","2/8",15
"7","Oklahoma","10-2","1128","0","7","0","3/NR",15
"8","Wisconsin","10-3","992","0","5","-3","5/NR",15
"9","Southern California","9-3","981","0","11","2","9/NR",15
"10","Florida State","9-3","898","0","12","2","2/21",15
"11","Colorado","10-3","828","0","9","-2","9/NR",15
"12","West Virginia","10-2","806","0","13","1","9/NR",15
"13","Oklahoma State","9-3","754","0","10","-3","10/NR",15
"14","Western Michigan","13-0","635","0","14","0","14/NR",15
"15","Louisville","9-3","631","0","15","0","3/23",15
"16","Stanford","9-3","542","0","17","1","5/NR",15
"17","Auburn","8-4","504","0","19","2","8/NR",15
"18","Florida","8-4","421","0","16","-2","9/25",15
"19","Virginia Tech","9-4","374","0","18","-1","18/NR",15
"20","Louisiana State","7-4","359","0","21","1","6/NR",15
"21","Nebraska","9-3","241","0","22","1","6/NR",15
"22","South Florida","10-2","197","0","23","1","22/NR",15
"23","Utah","8-4","170","0","24","1","11/NR",15
"24","Temple","10-3","126","0","32","8","24/NR",15
"25","Iowa","8-4","97","0","25","0","10/NR",15
