"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","6-0","1570","58","1","0","1/1",7
"2","Ohio State","5-0","1504","4","2","0","2/5",7
"3","Clemson","6-0","1455","1","3","0","2/3",7
"4","Michigan","6-0","1370","0","4","0","4/8",7
"5","Washington","6-0","1329","0","6","1","6/18",7
"6","Texas A&M","6-0","1256","0","7","1","7/NR",7
"7","Louisville","4-1","1201","0","8","1","4/23",7
"8","Baylor","5-0","1061","0","11","3","11/21",7
"9","Nebraska","5-0","1052","0","12","3","12/NR",7
"10","Wisconsin","4-1","995","0","13","3","8/NR",7
"11","Tennessee","5-1","919","0","9","-2","9/15",7
"12","Houston","5-1","754","0","5","-7","5/13",7
"13","Mississippi","3-2","746","0","14","1","12/21",7
"14","Florida","4-1","661","0","18","4","16/25",7
"15","Boise State","5-0","628","0","19","4","19/NR",7
"16","Florida State","4-2","584","0","21","5","2/21",7
"17","Miami","4-1","580","0","10","-7","10/NR",7
"18","West Virginia","4-0","526","0","20","2","20/NR",7
"19","Virginia Tech","4-1","441","0","31","12","–",7
"20","Oklahoma","3-2","424","0","22","2","3/NR",7
"21","Utah","5-1","408","0","24","3","18/NR",7
"22","Arkansas","4-2","194","0","17","-5","17/NR",7
"23","Western Michigan","6-0","185","0","25","2","25/NR",7
"24","Arizona State","5-1","116","0","36","12","–",7
"25","Louisiana State","3-2","81","0","26","1","6/NR",7
