"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","8-0","1599","63","1","0","1/1",9
"2","Michigan","7-0","1486","0","4","2","2/8",9
"3","Clemson","7-0","1485","1","3","0","2/3",9
"4","Washington","7-0","1434","0","5","1","4/18",9
"5","Louisville","6-1","1321","0","7","2","4/23",9
"6","Nebraska","7-0","1194","0","9","3","6/NR",9
"6","Baylor","6-0","1194","0","8","2","6/21",9
"8","Ohio State","6-1","1137","0","2","-6","2/8",9
"9","West Virginia","6-0","1007","0","13","4","9/NR",9
"10","Texas A&M","6-1","979","0","6","-4","6/NR",9
"11","Wisconsin","5-2","963","0","10","-1","8/NR",9
"12","Florida","5-1","821","0","12","0","12/25",9
"13","Boise State","7-0","776","0","14","1","13/NR",9
"14","Florida State","5-2","767","0","15","1","2/21",9
"15","Oklahoma","5-2","692","0","16","1","3/NR",9
"16","Utah","7-1","664","0","18","2","16/NR",9
"17","Auburn","5-2","552","0","24","7","17/NR",9
"18","Tennessee","5-2","523","0","19","1","9/19",9
"19","Louisiana State","5-2","424","0","23","4","6/NR",9
"20","North Carolina","6-2","388","0","21","1","16/NR",9
"21","Western Michigan","8-0","352","0","20","-1","20/NR",9
"22","Navy","5-1","243","0","25","3","22/NR",9
"23","Colorado","6-2","242","0","26","3","23/NR",9
"24","Houston","6-2","144","0","11","-13","5/24",9
"25","Virginia Tech","5-2","116","0","31","6","19/NR",9
