"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","5-0","1544","57","1","0","1/1",6
"2","Ohio State","4-0","1474","3","2","0","2/5",6
"3","Clemson","5-0","1437","2","3","0","2/3",6
"4","Michigan","5-0","1348","0","5","1","4/8",6
"5","Houston","5-0","1256","0","7","2","5/13",6
"6","Washington","5-0","1250","0","9","3","6/18",6
"7","Texas A&M","5-0","1132","0","10","3","7/NR",6
"8","Louisville","4-1","1105","0","4","-4","4/23",6
"9","Tennessee","5-0","1101","0","11","2","9/15",6
"10","Miami","4-0","902","0","14","4","10/NR",6
"11","Baylor","5-0","876","0","13","2","11/21",6
"12","Nebraska","5-0","860","0","15","3","12/NR",6
"13","Wisconsin","4-1","844","0","8","-5","8/NR",6
"14","Mississippi","3-2","671","0","17","3","12/21",6
"15","Stanford","3-1","635","0","6","-9","5/15",6
"16","North Carolina","4-1","587","0","23","7","16/NR",6
"17","Arkansas","4-1","525","0","22","5","17/NR",6
"18","Florida","4-1","490","0","21","3","16/25",6
"19","Boise State","4-0","341","0","27","8","19/NR",6
"20","West Virginia","4-0","309","0","30","10","20/NR",6
"21","Florida State","3-2","257","0","12","-9","2/21",6
"22","Oklahoma","2-2","228","0","29","7","3/NR",6
"23","Colorado","4-1","144","0","37","14","23/NR",6
"24","Utah","4-1","117","0","18","-6","18/NR",6
"25","Western Michigan","5-0","86","0","32","7","25/NR",6
