"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","10-0","1575","63","1","0","1/1",12
"2","Ohio State","9-1","1495","0","5","3","2/8",12
"3","Louisville","9-1","1418","0","6","3","3/23",12
"4","Michigan","9-1","1332","0","3","-1","2/8",12
"5","Clemson","9-1","1318","0","2","-3","2/5",12
"6","Wisconsin","8-2","1231","0","7","1","6/NR",12
"7","Washington","9-1","1190","0","4","-3","4/18",12
"8","Oklahoma","8-2","1147","0","9","1","3/NR",12
"9","West Virginia","8-1","994","0","10","1","9/NR",12
"10","Penn State","8-2","923","0","14","4","10/NR",12
"11","Utah","8-2","909","0","12","1","11/NR",12
"12","Colorado","8-2","861","0","15","3","12/NR",12
"13","Oklahoma State","8-2","745","0","17","4","13/NR",12
"14","Louisiana State","6-3","572","0","19","5","6/NR",12
"15","Florida State","7-3","559","0","18","3","2/21",12
"16","Auburn","7-3","542","0","8","-8","8/NR",12
"17","Nebraska","8-2","541","0","20","3","6/NR",12
"18","Florida","7-2","538","0","16","-2","9/25",12
"19","Southern California","7-3","473","0","26","7","17/NR",12
"20","Washington State","8-2","438","0","23","3","20/NR",12
"21","Western Michigan","10-0","431","0","21","0","18/NR",12
"22","Texas A&M","7-3","396","0","11","-11","6/NR",12
"23","Boise State","9-1","355","0","24","1","13/NR",12
"24","North Carolina","7-3","114","0","13","-11","13/NR",12
"25","San Diego State","9-1","112","0","27","2","24/NR",12
