"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","4-0","1597","61","1","0","1/1",5
"2","Ohio State","3-0","1506","2","2","0","2/5",5
"3","Clemson","4-0","1440","1","3","0","2/3",5
"4","Louisville","4-0","1411","0","4","0","4/23",5
"5","Michigan","4-0","1333","0","5","0","5/8",5
"6","Stanford","3-0","1269","0","6","0","5/7",5
"7","Houston","4-0","1250","0","7","0","7/13",5
"8","Wisconsin","4-0","1127","0","10","2","10/NR",5
"9","Washington","4-0","1049","0","9","0","9/18",5
"10","Texas A&M","4-0","1016","0","13","3","13/NR",5
"11","Tennessee","4-0","986","0","12","1","10/15",5
"12","Florida State","3-1","843","0","14","2","2/14",5
"13","Baylor","4-0","797","0","15","2","15/21",5
"14","Miami","3-0","664","0","19","5","19/NR",5
"15","Nebraska","4-0","649","0","20","5","20/NR",5
"16","Michigan State","2-1","597","0","8","-8","8/11",5
"17","Mississippi","2-2","558","0","21","4","12/21",5
"18","Utah","4-0","504","0","23","5","23/NR",5
"19","Texas Christian","3-1","330","0","21","2","12/NR",5
"20","Georgia","3-1","271","0","11","-9","9/16",5
"21","Florida","3-1","254","0","16","-5","16/25",5
"22","Arkansas","3-1","197","0","18","-4","18/NR",5
"23","North Carolina","3-1","173","0","27","4","20/NR",5
"24","San Diego State","3-0","156","0","28","4","–",5
"25","Texas","2-1","142","0","24","-1","16/NR",5
