"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Clemson","14-1","1500","60","3","2","2/5",16
"2","Alabama","14-1","1440","0","1","-1","1/1",16
"3","Oklahoma","11-2","1308","0","7","4","3/NR",16
"4","Washington","12-2","1265","0","4","0","4/18",16
"5","Southern California","10-3","1263","0","9","4","9/NR",16
"6","Ohio State","11-2","1186","0","2","-4","2/8",16
"7","Penn State","11-3","1123","0","5","-2","5/NR",16
"8","Florida State","10-3","1102","0","10","2","2/21",16
"9","Wisconsin","11-3","1044","0","8","-1","5/NR",16
"10","Michigan","10-3","986","0","6","-4","2/8",16
"11","Oklahoma State","10-3","922","0","13","2","10/NR",16
"12","Stanford","10-3","791","0","16","4","5/NR",16
"13","Florida","9-4","673","0","18","5","9/25",16
"14","Louisiana State","8-4","641","0","20","6","6/NR",16
"15","Colorado","10-4","634","0","11","-4","9/NR",16
"16","Virginia Tech","10-4","632","0","19","3","18/NR",16
"17","West Virginia","10-3","522","0","12","-5","9/NR",16
"18","Western Michigan","13-1","449","0","14","-4","14/NR",16
"19","South Florida","11-2","362","0","22","3","22/NR",16
"20","Louisville","9-4","338","0","15","-5","3/23",16
"21","Utah","9-4","303","0","23","2","11/NR",16
"22","Auburn","8-5","230","0","17","-5","8/NR",16
"23","Miami","9-4","229","0","34","11","10/NR",16
"24","Tennessee","9-4","211","0","32","8","9/NR",16
"25","San Diego State","11-3","102","0","31","6","24/NR",16
