"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","12-0","1600","64","1","0","1/1",14
"2","Ohio State","11-1","1520","0","2","0","2/8",14
"3","Clemson","11-1","1475","0","3","0","2/5",14
"4","Washington","11-1","1388","0","5","1","4/18",14
"5","Wisconsin","10-2","1298","0","6","1","6/NR",14
"6","Michigan","10-2","1265","0","4","-2","2/8",14
"7","Oklahoma","9-2","1223","0","7","0","3/NR",14
"8","Penn State","10-2","1156","0","8","0","8/NR",14
"9","Colorado","10-2","1116","0","9","0","9/NR",14
"10","Oklahoma State","9-2","1018","0","10","0","10/NR",14
"11","Southern California","9-3","965","0","12","1","12/NR",14
"12","Florida State","9-3","902","0","14","2","2/21",14
"13","West Virginia","9-2","814","0","17","4","9/NR",14
"14","Western Michigan","12-0","659","0","18","4","18/NR",14
"15","Louisville","9-3","554","0","11","-4","3/23",14
"16","Florida","8-3","515","0","13","-3","9/25",14
"17","Stanford","9-3","474","0","27","10","5/NR",14
"18","Virginia Tech","9-3","467","0","26","8","19/NR",14
"19","Auburn","8-4","442","0","16","-3","8/NR",14
"20","Navy","9-2","380","0","29","9","22/NR",14
"21","Louisiana State","7-4","315","0","28","7","6/NR",14
"22","Nebraska","9-3","309","0","15","-7","6/NR",14
"23","South Florida","10-2","237","0","30","7","–",14
"24","Utah","8-4","159","0","20","-4","11/NR",14
"25","Iowa","8-4","114","0","36","11","10/NR",14
