"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","8-0","1599","63","1","0","1/1",10
"2","Michigan","8-0","1492","0","2","0","2/8",10
"3","Clemson","8-0","1488","1","3","0","2/3",10
"4","Washington","8-0","1434","0","4","0","4/18",10
"5","Louisville","7-1","1322","0","5","0","4/23",10
"6","Ohio State","7-1","1269","0","8","2","2/8",10
"7","Texas A&M","7-1","1207","0","10","3","6/NR",10
"8","Wisconsin","6-2","1147","0","11","3","8/NR",10
"9","Florida","6-1","1039","0","12","3","9/25",10
"10","Nebraska","7-1","963","0","6","-4","6/NR",10
"11","Oklahoma","6-2","907","0","15","4","3/NR",10
"12","Auburn","6-2","896","0","17","5","12/NR",10
"13","Baylor","6-1","810","0","6","-7","6/21",10
"14","Louisiana State","5-2","652","0","19","5","6/NR",10
"15","West Virginia","6-1","642","0","9","-6","9/NR",10
"16","Utah","7-2","523","0","16","0","16/NR",10
"17","North Carolina","6-2","500","0","20","3","16/NR",10
"18","Western Michigan","8-0","448","0","21","3","18/NR",10
"19","Florida State","5-3","432","0","14","-5","2/21",10
"20","Colorado","6-2","394","0","23","3","20/NR",10
"21","Virginia Tech","6-2","335","0","25","4","19/NR",10
"22","Oklahoma State","6-2","298","0","28","6","17/NR",10
"23","Penn State","6-2","296","0","27","4","23/NR",10
"24","Boise State","7-1","266","0","13","-11","13/NR",10
"25","Washington State","6-2","146","0","26","1","25/NR",10
