"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","1-0","1598","62","1","0","1/1",2
"2","Clemson","1-0","1513","2","2","0","2/2",2
"3","Florida State","1-0","1454","0","4","1","4/4",2
"4","Ohio State","1-0","1424","0","5","1","5/5",2
"5","Stanford","1-0","1284","0","7","2","7/7",2
"6","Michigan","1-0","1261","0","8","2","8/8",2
"7","Houston","1-0","1213","0","13","6","13/13",2
"8","Michigan State","1-0","1027","0","11","3","11/11",2
"9","Georgia","1-0","934","0","16","7","16/16",2
"10","Iowa","1-0","797","0","15","5","15/15",2
"11","Washington","1-0","782","0","18","7","18/18",2
"12","Texas Christian","1-0","719","0","14","2","14/14",2
"13","Oklahoma","0-1","707","0","3","-10","3/3",2
"14","Tennessee","1-0","657","0","10","-4","10/10",2
"15","Louisville","1-0","635","0","23","8","23/23",2
"16","Wisconsin","1-0","583","0","27","11","–",2
"17","Oklahoma State","1-0","555","0","19","2","19/19",2
"18","Mississippi","0-1","534","0","12","-6","12/12",2
"19","Baylor","1-0","481","0","21","2","21/21",2
"20","Texas","1-0","439","0","32","12","–",2
"21","Notre Dame","0-1","426","0","9","-12","9/9",2
"22","Louisiana State","0-1","418","0","6","-16","6/6",2
"23","Oregon","1-0","385","0","22","-1","22/22",2
"24","Texas A&M","1-0","302","0","31","7","–",2
"25","Florida","1-0","182","0","25","0","25/25",2
