"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","3-0","1571","59","1","0","1/1",4
"2","Ohio State","3-0","1482","3","4","2","2/5",4
"3","Clemson","3-0","1405","1","3","0","2/3",4
"4","Louisville","3-0","1331","0","10","6","4/23",4
"5","Michigan","3-0","1302","0","5","0","5/8",4
"6","Stanford","2-0","1273","0","6","0","5/7",4
"7","Houston","3-0","1235","0","7","0","7/13",4
"8","Michigan State","2-0","1156","0","8","0","8/11",4
"9","Washington","3-0","1065","0","9","0","9/18",4
"10","Wisconsin","3-0","872","0","12","2","10/16",4
"11","Georgia","3-0","847","0","13","2","9/16",4
"12","Tennessee","3-0","805","0","15","3","10/15",4
"13","Texas A&M","3-0","791","0","20","7","13/24",4
"14","Florida State","2-1","742","0","2","-12","2/14",4
"15","Baylor","3-0","658","0","19","4","15/21",4
"16","Florida","3-0","598","0","23","7","16/25",4
"17","Louisiana State","2-1","522","0","22","5","6/22",4
"18","Arkansas","3-0","500","0","24","6","18/24",4
"19","Miami","3-0","441","0","25","6","19/25",4
"20","Nebraska","3-0","373","0","NR","0","20/20",4
"21","Texas Christian","2-1","166","0","17","-4","12/21",4
"21","Mississippi","1-2","166","0","17","-4","12/21",4
"23","Utah","3-0","155","0","NR","0","23/23",4
"24","Texas","2-1","143","0","16","-8","16/24",4
"25","Iowa","2-1","140","0","11","-14","10/25",4
