"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","11-0",1525,"1","ap","Week 13"
2,"Ohio State","10-1",1455,"2","ap","Week 13"
3,"Michigan","10-1",1370,"4","ap","Week 13"
4,"Clemson","10-1",1347,"5","ap","Week 13"
5,"Wisconsin","9-2",1255,"6","ap","Week 13"
6,"Washington","10-1",1220,"7","ap","Week 13"
7,"Oklahoma","9-2",1169,"8","ap","Week 13"
8,"Penn State","9-2",1091,"9","ap","Week 13"
9,"Colorado","9-2",997,"12","ap","Week 13"
10,"Oklahoma State","9-2",868,"13","ap","Week 13"
11,"Louisville","9-2",830,"3","ap","Week 13"
12,"USC","8-3",811,"15","ap","Week 13"
13,"Florida","8-2",703,"21","ap","Week 13"
14,"Western Michigan","11-0",701,"14","ap","Week 13"
15,"Florida State","8-3",661,"17","ap","Week 13"
16,"Auburn","8-3",613,"18","ap","Week 13"
17,"Nebraska","9-2",593,"19","ap","Week 13"
18,"Houston","9-2",490,"-","ap","Week 13"
19,"West Virginia","8-2",448,"10","ap","Week 13"
20,"Boise State","10-1",389,"22","ap","Week 13"
21,"Utah","8-3",280,"11","ap","Week 13"
22,"Texas A&M","8-3",253,"23","ap","Week 13"
23,"Washington State","8-3",186,"20","ap","Week 13"
24,"Tennessee","8-3",133,"-","ap","Week 13"
25,"LSU","6-4",84,"16","ap","Week 13"
1,"Alabama","11-0",1525,"1","adam-jude","Week 13"
2,"Ohio State","10-1",1455,"2","adam-jude","Week 13"
3,"Clemson","10-1",1347,"5","adam-jude","Week 13"
4,"Michigan","10-1",1370,"4","adam-jude","Week 13"
5,"Washington","10-1",1220,"7","adam-jude","Week 13"
6,"Wisconsin","9-2",1255,"6","adam-jude","Week 13"
7,"Colorado","9-2",997,"12","adam-jude","Week 13"
8,"Penn State","9-2",1091,"9","adam-jude","Week 13"
9,"Oklahoma","9-2",1169,"8","adam-jude","Week 13"
10,"USC","8-3",811,"15","adam-jude","Week 13"
11,"Louisville","9-2",830,"3","adam-jude","Week 13"
12,"Florida","8-2",703,"21","adam-jude","Week 13"
13,"Oklahoma State","9-2",868,"13","adam-jude","Week 13"
14,"Nebraska","9-2",593,"19","adam-jude","Week 13"
15,"Utah","8-3",280,"11","adam-jude","Week 13"
16,"Auburn","8-3",613,"18","adam-jude","Week 13"
17,"Florida State","8-3",661,"17","adam-jude","Week 13"
18,"Washington State","8-3",186,"20","adam-jude","Week 13"
19,"Western Michigan","11-0",701,"14","adam-jude","Week 13"
20,"West Virginia","8-2",448,"10","adam-jude","Week 13"
21,"Boise State","10-1",389,"22","adam-jude","Week 13"
22,"Houston","9-2",490,"-","adam-jude","Week 13"
23,"Stanford","8-3",81,"-","adam-jude","Week 13"
24,"Texas A&M","8-3",253,"23","adam-jude","Week 13"
25,"Minnesota","8-3",5,"-","adam-jude","Week 13"
1,"Alabama","11-0",1525,"1","adam-zucker","Week 13"
2,"Ohio State","10-1",1455,"2","adam-zucker","Week 13"
3,"Michigan","10-1",1370,"4","adam-zucker","Week 13"
4,"Clemson","10-1",1347,"5","adam-zucker","Week 13"
5,"Washington","10-1",1220,"7","adam-zucker","Week 13"
6,"Wisconsin","9-2",1255,"6","adam-zucker","Week 13"
7,"Penn State","9-2",1091,"9","adam-zucker","Week 13"
8,"Oklahoma","9-2",1169,"8","adam-zucker","Week 13"
9,"USC","8-3",811,"15","adam-zucker","Week 13"
10,"Colorado","9-2",997,"12","adam-zucker","Week 13"
11,"Oklahoma State","9-2",868,"13","adam-zucker","Week 13"
12,"Florida","8-2",703,"21","adam-zucker","Week 13"
13,"Louisville","9-2",830,"3","adam-zucker","Week 13"
14,"Florida State","8-3",661,"17","adam-zucker","Week 13"
15,"Nebraska","9-2",593,"19","adam-zucker","Week 13"
16,"West Virginia","8-2",448,"10","adam-zucker","Week 13"
17,"Utah","8-3",280,"11","adam-zucker","Week 13"
18,"Texas A&M","8-3",253,"23","adam-zucker","Week 13"
19,"Auburn","8-3",613,"18","adam-zucker","Week 13"
20,"Western Michigan","11-0",701,"14","adam-zucker","Week 13"
21,"Boise State","10-1",389,"22","adam-zucker","Week 13"
22,"Washington State","8-3",186,"20","adam-zucker","Week 13"
23,"South Florida","9-2",24,"-","adam-zucker","Week 13"
24,"Navy","8-2",62,"-","adam-zucker","Week 13"
25,"Houston","9-2",490,"-","adam-zucker","Week 13"
1,"Alabama","11-0",1525,"1","andy-greder","Week 13"
2,"Ohio State","10-1",1455,"2","andy-greder","Week 13"
3,"Oklahoma","9-2",1169,"8","andy-greder","Week 13"
4,"Wisconsin","9-2",1255,"6","andy-greder","Week 13"
5,"Washington","10-1",1220,"7","andy-greder","Week 13"
6,"Michigan","10-1",1370,"4","andy-greder","Week 13"
7,"Clemson","10-1",1347,"5","andy-greder","Week 13"
8,"Oklahoma State","9-2",868,"13","andy-greder","Week 13"
9,"Florida State","8-3",661,"17","andy-greder","Week 13"
10,"Louisville","9-2",830,"3","andy-greder","Week 13"
11,"Florida","8-2",703,"21","andy-greder","Week 13"
12,"Western Michigan","11-0",701,"14","andy-greder","Week 13"
13,"LSU","6-4",84,"16","andy-greder","Week 13"
