"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","7-0",1524,"1","ap","Week 8"
2,"Ohio State","6-0",1457,"2","ap","Week 8"
3,"Michigan","6-0",1368,"4","ap","Week 8"
4,"Clemson","7-0",1337,"3","ap","Week 8"
5,"Washington","6-0",1304,"5","ap","Week 8"
6,"Texas A&M","6-0",1218,"6","ap","Week 8"
7,"Louisville","5-1",1168,"7","ap","Week 8"
8,"Nebraska","6-0",1037,"10","ap","Week 8"
9,"Baylor","6-0",1021,"11","ap","Week 8"
10,"Wisconsin","4-2",935,"8","ap","Week 8"
11,"Houston","6-1",766,"13","ap","Week 8"
12,"West Virginia","5-0",744,"20","ap","Week 8"
13,"Florida State","5-2",733,"14","ap","Week 8"
14,"Boise State","6-0",694,"15","ap","Week 8"
15,"Florida","5-1",626,"18","ap","Week 8"
16,"Oklahoma","4-2",612,"19","ap","Week 8"
17,"Arkansas","5-2",584,"22","ap","Week 8"
18,"Tennessee","5-2",550,"9","ap","Week 8"
19,"Utah","6-1",479,"21","ap","Week 8"
20,"Western Michigan","7-0",285,"24","ap","Week 8"
21,"Auburn","4-2",277,"23","ap","Week 8"
22,"North Carolina","5-2",254,"-","ap","Week 8"
23,"Mississippi","3-3",188,"12","ap","Week 8"
24,"Navy","4-1",163,"25","ap","Week 8"
25,"LSU","4-2",123,"-","ap","Week 8"
1,"Alabama","7-0",1524,"1","adam-jude","Week 8"
2,"Ohio State","6-0",1457,"2","adam-jude","Week 8"
3,"Clemson","7-0",1337,"3","adam-jude","Week 8"
4,"Michigan","6-0",1368,"4","adam-jude","Week 8"
5,"Washington","6-0",1304,"5","adam-jude","Week 8"
6,"Texas A&M","6-0",1218,"6","adam-jude","Week 8"
7,"Louisville","5-1",1168,"7","adam-jude","Week 8"
8,"Nebraska","6-0",1037,"10","adam-jude","Week 8"
9,"Baylor","6-0",1021,"11","adam-jude","Week 8"
10,"Wisconsin","4-2",935,"8","adam-jude","Week 8"
11,"Arkansas","5-2",584,"22","adam-jude","Week 8"
12,"Florida State","5-2",733,"14","adam-jude","Week 8"
13,"West Virginia","5-0",744,"20","adam-jude","Week 8"
14,"Houston","6-1",766,"13","adam-jude","Week 8"
15,"Florida","5-1",626,"18","adam-jude","Week 8"
16,"Boise State","6-0",694,"15","adam-jude","Week 8"
17,"Utah","6-1",479,"21","adam-jude","Week 8"
18,"Tennessee","5-2",550,"9","adam-jude","Week 8"
19,"Oklahoma","4-2",612,"19","adam-jude","Week 8"
20,"Mississippi","3-3",188,"12","adam-jude","Week 8"
21,"Virginia Tech","4-2",38,"17","adam-jude","Week 8"
22,"North Carolina","5-2",254,"-","adam-jude","Week 8"
23,"Western Michigan","7-0",285,"24","adam-jude","Week 8"
24,"Navy","4-1",163,"25","adam-jude","Week 8"
25,"Auburn","4-2",277,"23","adam-jude","Week 8"
1,"Alabama","7-0",1524,"1","adam-zucker","Week 8"
2,"Ohio State","6-0",1457,"2","adam-zucker","Week 8"
3,"Michigan","6-0",1368,"4","adam-zucker","Week 8"
4,"Washington","6-0",1304,"5","adam-zucker","Week 8"
