"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 2",1,"Alabama",54,"1-0","SEC","1",1518
"Week 2",2,"Clemson",2,"1-0","ACC","2",1416
"Week 2",3,"Florida State",4,"1-0","ACC","4",1413
"Week 2",4,"Ohio State",,"1-0","Big Ten","6",1324
"Week 2",5,"Michigan",1,"1-0","Big Ten","7",1261
"Week 2",6,"Houston",,"1-0","The American","15",1243
"Week 2",7,"Stanford",,"1-0","Pac-12","8",1140
"Week 2",8,"Washington",,"1-0","Pac-12","14",884
"Week 2",9,"Georgia",,"1-0","SEC","18",877
"Week 2",10,"Wisconsin",,"1-0","Big Ten","-",759
"Week 2",11,"Texas",,"1-0","Big 12","-",743
"Week 2",12,"Michigan State",,"1-0","Big Ten","12",722
"Week 2",13,"Louisville",,"1-0","ACC","19",686
"Week 2",14,"Oklahoma",,"0-1","Big 12","3",664
"Week 2",15,"TCU",,"1-0","Big 12","13",635
"Week 2",16,"Iowa",,"1-0","Big Ten","17",588
"Week 2",17,"Tennessee",,"1-0","SEC","9",573
"Week 2",18,"Notre Dame",,"0-1","Independent","10",528
"Week 2",19,"Mississippi",,"0-1","SEC","11",493
"Week 2",20,"Texas A&M",,"1-0","SEC","-",477
"Week 2",21,"LSU",,"0-1","SEC","5",423
"Week 2",22,"Oklahoma State",,"1-0","Big 12","21",409
"Week 2",23,"Baylor",,"1-0","Big 12","23",296
"Week 2",24,"Oregon",,"1-0","Pac-12","24",242
"Week 2",25,"Miami (FL)",,"1-0","ACC","-",137
