"Rank","Team","Record","Points","PV.Rank","Voter","Week"
6,"Penn State","11-2",1252,"8","adam-zucker","Week 15"
7,"Oklahoma","10-2",1173,"7","adam-zucker","Week 15"
8,"USC","9-3",1040,"10","adam-zucker","Week 15"
9,"Wisconsin","10-3",1054,"6","adam-zucker","Week 15"
10,"Colorado","10-3",886,"9","adam-zucker","Week 15"
11,"Florida State","9-3",889,"12","adam-zucker","Week 15"
12,"Oklahoma State","9-3",800,"11","adam-zucker","Week 15"
13,"West Virginia","10-2",788,"14","adam-zucker","Week 15"
14,"Western Michigan","13-0",871,"13","adam-zucker","Week 15"
15,"Louisville","9-3",542,"16","adam-zucker","Week 15"
16,"Auburn","8-4",493,"18","adam-zucker","Week 15"
17,"Florida","8-4",331,"15","adam-zucker","Week 15"
18,"LSU","7-4",351,"21","adam-zucker","Week 15"
19,"Houston","9-3",101,"-","adam-zucker","Week 15"
20,"Iowa","8-4",272,"22","adam-zucker","Week 15"
21,"Temple","10-3",229,"-","adam-zucker","Week 15"
22,"South Florida","10-2",173,"24","adam-zucker","Week 15"
23,"Navy","9-3",15,"20","adam-zucker","Week 15"
24,"Virginia Tech","9-4",372,"19","adam-zucker","Week 15"
25,"Pittsburgh","8-4",237,"24","adam-zucker","Week 15"
1,"Alabama","13-0",1525,"1","andy-greder","Week 15"
2,"Ohio State","11-1",1444,"2","andy-greder","Week 15"
3,"Oklahoma","10-2",1173,"7","andy-greder","Week 15"
4,"Washington","12-1",1329,"4","andy-greder","Week 15"
5,"Penn State","11-2",1252,"8","andy-greder","Week 15"
6,"Michigan","10-2",1249,"5","andy-greder","Week 15"
7,"Clemson","12-1",1396,"3","andy-greder","Week 15"
8,"Wisconsin","10-3",1054,"6","andy-greder","Week 15"
9,"Western Michigan","13-0",871,"13","andy-greder","Week 15"
10,"Oklahoma State","9-3",800,"11","andy-greder","Week 15"
11,"Florida State","9-3",889,"12","andy-greder","Week 15"
12,"Colorado","10-3",886,"9","andy-greder","Week 15"
13,"USC","9-3",1040,"10","andy-greder","Week 15"
14,"LSU","7-4",351,"21","andy-greder","Week 15"
15,"Florida","8-4",331,"15","andy-greder","Week 15"
16,"Auburn","8-4",493,"18","andy-greder","Week 15"
17,"West Virginia","10-2",788,"14","andy-greder","Week 15"
18,"Stanford","9-3",508,"17","andy-greder","Week 15"
19,"Iowa","8-4",272,"22","andy-greder","Week 15"
20,"Louisville","9-3",542,"16","andy-greder","Week 15"
21,"Virginia Tech","9-4",372,"19","andy-greder","Week 15"
22,"Pittsburgh","8-4",237,"24","andy-greder","Week 15"
23,"South Florida","10-2",173,"24","andy-greder","Week 15"
24,"Texas A&M","8-4",26,"-","andy-greder","Week 15"
25,"Nebraska","9-3",196,"23","andy-greder","Week 15"
1,"Alabama","13-0",1525,"1","bill-landis","Week 15"
2,"Clemson","12-1",1396,"3","bill-landis","Week 15"
3,"Penn State","11-2",1252,"8","bill-landis","Week 15"
4,"Ohio State","11-1",1444,"2","bill-landis","Week 15"
5,"Washington","12-1",1329,"4","bill-landis","Week 15"
6,"Michigan","10-2",1249,"5","bill-landis","Week 15"
7,"Wisconsin","10-3",1054,"6","bill-landis","Week 15"
8,"Oklahoma","10-2",1173,"7","bill-landis","Week 15"
9,"USC","9-3",1040,"10","bill-landis","Week 15"
10,"Colorado","10-3",886,"9","bill-landis","Week 15"
11,"Louisville","9-3",542,"16","bill-landis","Week 15"
12,"Oklahoma State","9-3",800,"11","bill-landis","Week 15"
13,"Florida State","9-3",889,"12","bill-landis","Week 15"
14,"Western Michigan","13-0",871,"13","bill-landis","Week 15"
15,"West Virginia","10-2",788,"14","bill-landis","Week 15"
16,"Pittsburgh","8-4",237,"24","bill-landis","Week 15"
17,"Stanford","9-3",508,"17","bill-landis","Week 15"
18,"Iowa","8-4",272,"22","bill-landis","Week 15"
19,"Auburn","8-4",493,"18","bill-landis","Week 15"
20,"Tennessee","8-4",12,"-","bill-landis","Week 15"
21,"Virginia Tech","9-4",372,"19","bill-landis","Week 15"
22,"Temple","10-3",229,"-","bill-landis","Week 15"
23,"Utah","8-4",99,"-","bill-landis","Week 15"
24,"Houston","9-3",101,"-","bill-landis","Week 15"
25,"South Florida","10-2",173,"24","bill-landis","Week 15"
1,"Alabama","13-0",1525,"1","bob-asmussen","Week 15"
2,"Ohio State","11-1",1444,"2","bob-asmussen","Week 15"
3,"Clemson","12-1",1396,"3","bob-asmussen","Week 15"
4,"Washington","12-1",1329,"4","bob-asmussen","Week 15"
5,"Michigan","10-2",1249,"5","bob-asmussen","Week 15"
6,"Penn State","11-2",1252,"8","bob-asmussen","Week 15"
7,"Oklahoma","10-2",1173,"7","bob-asmussen","Week 15"
8,"Western Michigan","13-0",871,"13","bob-asmussen","Week 15"
9,"USC","9-3",1040,"10","bob-asmussen","Week 15"
10,"Wisconsin","10-3",1054,"6","bob-asmussen","Week 15"
11,"Florida State","9-3",889,"12","bob-asmussen","Week 15"
12,"West Virginia","10-2",788,"14","bob-asmussen","Week 15"
13,"Oklahoma State","9-3",800,"11","bob-asmussen","Week 15"
14,"Colorado","10-3",886,"9","bob-asmussen","Week 15"
15,"Nebraska","9-3",196,"23","bob-asmussen","Week 15"
16,"South Florida","10-2",173,"24","bob-asmussen","Week 15"
17,"Temple","10-3",229,"-","bob-asmussen","Week 15"
18,"Houston","9-3",101,"-","bob-asmussen","Week 15"
19,"Louisville","9-3",542,"16","bob-asmussen","Week 15"
20,"Stanford","9-3",508,"17","bob-asmussen","Week 15"
21,"Boise State","10-2",95,"-","bob-asmussen","Week 15"
22,"San Diego State","10-3",8,"-","bob-asmussen","Week 15"
23,"Western Kentucky","10-3",7,"-","bob-asmussen","Week 15"
24,"Auburn","8-4",493,"18","bob-asmussen","Week 15"
25,"LSU","7-4",351,"21","bob-asmussen","Week 15"
1,"Alabama","13-0",1525,"1","brent-axe","Week 15"
2,"Clemson","12-1",1396,"3","brent-axe","Week 15"
3,"Washington","12-1",1329,"4","brent-axe","Week 15"
4,"Ohio State","11-1",1444,"2","brent-axe","Week 15"
5,"Michigan","10-2",1249,"5","brent-axe","Week 15"
6,"Penn State","11-2",1252,"8","brent-axe","Week 15"
7,"Oklahoma","10-2",1173,"7","brent-axe","Week 15"
8,"USC","9-3",1040,"10","brent-axe","Week 15"
9,"Western Michigan","13-0",871,"13","brent-axe","Week 15"
10,"West Virginia","10-2",788,"14","brent-axe","Week 15"
11,"Wisconsin","10-3",1054,"6","brent-axe","Week 15"
12,"Oklahoma State","9-3",800,"11","brent-axe","Week 15"
13,"Colorado","10-3",886,"9","brent-axe","Week 15"
14,"Florida State","9-3",889,"12","brent-axe","Week 15"
15,"Temple","10-3",229,"-","brent-axe","Week 15"
16,"South Florida","10-2",173,"24","brent-axe","Week 15"
17,"Louisville","9-3",542,"16","brent-axe","Week 15"
18,"Florida","8-4",331,"15","brent-axe","Week 15"
19,"Auburn","8-4",493,"18","brent-axe","Week 15"
20,"Virginia Tech","9-4",372,"19","brent-axe","Week 15"
21,"LSU","7-4",351,"21","brent-axe","Week 15"
22,"Stanford","9-3",508,"17","brent-axe","Week 15"
23,"Nebraska","9-3",196,"23","brent-axe","Week 15"
24,"Pittsburgh","8-4",237,"24","brent-axe","Week 15"
25,"Iowa","8-4",272,"22","brent-axe","Week 15"
1,"Alabama","13-0",1525,"1","brett-mcmurphy","Week 15"
2,"Ohio State","11-1",1444,"2","brett-mcmurphy","Week 15"
3,"Clemson","12-1",1396,"3","brett-mcmurphy","Week 15"
4,"Washington","12-1",1329,"4","brett-mcmurphy","Week 15"
5,"Michigan","10-2",1249,"5","brett-mcmurphy","Week 15"
6,"Penn State","11-2",1252,"8","brett-mcmurphy","Week 15"
7,"Oklahoma","10-2",1173,"7","brett-mcmurphy","Week 15"
8,"USC","9-3",1040,"10","brett-mcmurphy","Week 15"
9,"Wisconsin","10-3",1054,"6","brett-mcmurphy","Week 15"
10,"Florida State","9-3",889,"12","brett-mcmurphy","Week 15"
11,"Western Michigan","13-0",871,"13","brett-mcmurphy","Week 15"
12,"Oklahoma State","9-3",800,"11","brett-mcmurphy","Week 15"
13,"West Virginia","10-2",788,"14","brett-mcmurphy","Week 15"
14,"Colorado","10-3",886,"9","brett-mcmurphy","Week 15"
15,"Stanford","9-3",508,"17","brett-mcmurphy","Week 15"
16,"Auburn","8-4",493,"18","brett-mcmurphy","Week 15"
17,"Louisville","9-3",542,"16","brett-mcmurphy","Week 15"
18,"Pittsburgh","8-4",237,"24","brett-mcmurphy","Week 15"
19,"Temple","10-3",229,"-","brett-mcmurphy","Week 15"
20,"South Florida","10-2",173,"24","brett-mcmurphy","Week 15"
21,"Nebraska","9-3",196,"23","brett-mcmurphy","Week 15"
22,"Florida","8-4",331,"15","brett-mcmurphy","Week 15"
23,"LSU","7-4",351,"21","brett-mcmurphy","Week 15"
24,"Iowa","8-4",272,"22","brett-mcmurphy","Week 15"
25,"Virginia Tech","9-4",372,"19","brett-mcmurphy","Week 15"
1,"Alabama","13-0",1525,"1","brian-howell","Week 15"
2,"Ohio State","11-1",1444,"2","brian-howell","Week 15"
3,"Washington","12-1",1329,"4","brian-howell","Week 15"
4,"Clemson","12-1",1396,"3","brian-howell","Week 15"
5,"Michigan","10-2",1249,"5","brian-howell","Week 15"
6,"Penn State","11-2",1252,"8","brian-howell","Week 15"
7,"Oklahoma","10-2",1173,"7","brian-howell","Week 15"
8,"Wisconsin","10-3",1054,"6","brian-howell","Week 15"
9,"USC","9-3",1040,"10","brian-howell","Week 15"
10,"Colorado","10-3",886,"9","brian-howell","Week 15"
11,"Oklahoma State","9-3",800,"11","brian-howell","Week 15"
12,"Western Michigan","13-0",871,"13","brian-howell","Week 15"
13,"Florida State","9-3",889,"12","brian-howell","Week 15"
14,"West Virginia","10-2",788,"14","brian-howell","Week 15"
15,"Auburn","8-4",493,"18","brian-howell","Week 15"
16,"Stanford","9-3",508,"17","brian-howell","Week 15"
17,"Louisville","9-3",542,"16","brian-howell","Week 15"
18,"Virginia Tech","9-4",372,"19","brian-howell","Week 15"
19,"Florida","8-4",331,"15","brian-howell","Week 15"
20,"South Florida","10-2",173,"24","brian-howell","Week 15"
21,"LSU","7-4",351,"21","brian-howell","Week 15"
22,"Iowa","8-4",272,"22","brian-howell","Week 15"
23,"Houston","9-3",101,"-","brian-howell","Week 15"
24,"Pittsburgh","8-4",237,"24","brian-howell","Week 15"
25,"Temple","10-3",229,"-","brian-howell","Week 15"
1,"Alabama","13-0",1525,"1","chris-murray","Week 15"
2,"Ohio State","11-1",1444,"2","chris-murray","Week 15"
3,"Clemson","12-1",1396,"3","chris-murray","Week 15"
4,"Washington","12-1",1329,"4","chris-murray","Week 15"
5,"Michigan","10-2",1249,"5","chris-murray","Week 15"
6,"Penn State","11-2",1252,"8","chris-murray","Week 15"
7,"Oklahoma","10-2",1173,"7","chris-murray","Week 15"
8,"Wisconsin","10-3",1054,"6","chris-murray","Week 15"
9,"Colorado","10-3",886,"9","chris-murray","Week 15"
10,"Florida State","9-3",889,"12","chris-murray","Week 15"
11,"Western Michigan","13-0",871,"13","chris-murray","Week 15"
12,"USC","9-3",1040,"10","chris-murray","Week 15"
13,"Oklahoma State","9-3",800,"11","chris-murray","Week 15"
14,"West Virginia","10-2",788,"14","chris-murray","Week 15"
15,"Louisville","9-3",542,"16","chris-murray","Week 15"
16,"Stanford","9-3",508,"17","chris-murray","Week 15"
17,"Auburn","8-4",493,"18","chris-murray","Week 15"
18,"Florida","8-4",331,"15","chris-murray","Week 15"
19,"Iowa","8-4",272,"22","chris-murray","Week 15"
20,"LSU","7-4",351,"21","chris-murray","Week 15"
21,"Temple","10-3",229,"-","chris-murray","Week 15"
22,"Houston","9-3",101,"-","chris-murray","Week 15"
23,"Utah","8-4",99,"-","chris-murray","Week 15"
24,"Nebraska","9-3",196,"23","chris-murray","Week 15"
25,"South Florida","10-2",173,"24","chris-murray","Week 15"
1,"Alabama","13-0",1525,"1","chuck-carlton","Week 15"
2,"Ohio State","11-1",1444,"2","chuck-carlton","Week 15"
3,"Clemson","12-1",1396,"3","chuck-carlton","Week 15"
4,"Washington","12-1",1329,"4","chuck-carlton","Week 15"
5,"Oklahoma","10-2",1173,"7","chuck-carlton","Week 15"
6,"Penn State","11-2",1252,"8","chuck-carlton","Week 15"
7,"Michigan","10-2",1249,"5","chuck-carlton","Week 15"
8,"USC","9-3",1040,"10","chuck-carlton","Week 15"
9,"Wisconsin","10-3",1054,"6","chuck-carlton","Week 15"
10,"Western Michigan","13-0",871,"13","chuck-carlton","Week 15"
11,"West Virginia","10-2",788,"14","chuck-carlton","Week 15"
12,"Florida State","9-3",889,"12","chuck-carlton","Week 15"
13,"Colorado","10-3",886,"9","chuck-carlton","Week 15"
14,"Oklahoma State","9-3",800,"11","chuck-carlton","Week 15"
15,"Louisville","9-3",542,"16","chuck-carlton","Week 15"
16,"Stanford","9-3",508,"17","chuck-carlton","Week 15"
17,"Virginia Tech","9-4",372,"19","chuck-carlton","Week 15"
18,"Florida","8-4",331,"15","chuck-carlton","Week 15"
19,"LSU","7-4",351,"21","chuck-carlton","Week 15"
20,"Auburn","8-4",493,"18","chuck-carlton","Week 15"
21,"Pittsburgh","8-4",237,"24","chuck-carlton","Week 15"
22,"Temple","10-3",229,"-","chuck-carlton","Week 15"
23,"Iowa","8-4",272,"22","chuck-carlton","Week 15"
24,"South Florida","10-2",173,"24","chuck-carlton","Week 15"
25,"Boise State","10-2",95,"-","chuck-carlton","Week 15"
1,"Alabama","13-0",1525,"1","dana-sulonen","Week 15"
2,"Ohio State","11-1",1444,"2","dana-sulonen","Week 15"
3,"Clemson","12-1",1396,"3","dana-sulonen","Week 15"
4,"Washington","12-1",1329,"4","dana-sulonen","Week 15"
5,"Michigan","10-2",1249,"5","dana-sulonen","Week 15"
6,"Penn State","11-2",1252,"8","dana-sulonen","Week 15"
7,"Oklahoma","10-2",1173,"7","dana-sulonen","Week 15"
8,"Wisconsin","10-3",1054,"6","dana-sulonen","Week 15"
9,"USC","9-3",1040,"10","dana-sulonen","Week 15"
10,"Florida State","9-3",889,"12","dana-sulonen","Week 15"
11,"Oklahoma State","9-3",800,"11","dana-sulonen","Week 15"
12,"Colorado","10-3",886,"9","dana-sulonen","Week 15"
13,"Western Michigan","13-0",871,"13","dana-sulonen","Week 15"
14,"West Virginia","10-2",788,"14","dana-sulonen","Week 15"
15,"Louisville","9-3",542,"16","dana-sulonen","Week 15"
16,"Stanford","9-3",508,"17","dana-sulonen","Week 15"
17,"Auburn","8-4",493,"18","dana-sulonen","Week 15"
18,"LSU","7-4",351,"21","dana-sulonen","Week 15"
19,"Virginia Tech","9-4",372,"19","dana-sulonen","Week 15"
20,"Nebraska","9-3",196,"23","dana-sulonen","Week 15"
21,"Florida","8-4",331,"15","dana-sulonen","Week 15"
22,"Utah","8-4",99,"-","dana-sulonen","Week 15"
23,"Iowa","8-4",272,"22","dana-sulonen","Week 15"
24,"South Florida","10-2",173,"24","dana-sulonen","Week 15"
25,"Navy","9-3",15,"20","dana-sulonen","Week 15"
1,"Alabama","13-0",1525,"1","dave-southorn","Week 15"
2,"Ohio State","11-1",1444,"2","dave-southorn","Week 15"
3,"Clemson","12-1",1396,"3","dave-southorn","Week 15"
4,"Washington","12-1",1329,"4","dave-southorn","Week 15"
5,"Penn State","11-2",1252,"8","dave-southorn","Week 15"
6,"Oklahoma","10-2",1173,"7","dave-southorn","Week 15"
7,"Michigan","10-2",1249,"5","dave-southorn","Week 15"
8,"USC","9-3",1040,"10","dave-southorn","Week 15"
9,"Wisconsin","10-3",1054,"6","dave-southorn","Week 15"
10,"Western Michigan","13-0",871,"13","dave-southorn","Week 15"
11,"Colorado","10-3",886,"9","dave-southorn","Week 15"
12,"Oklahoma State","9-3",800,"11","dave-southorn","Week 15"
13,"Florida State","9-3",889,"12","dave-southorn","Week 15"
14,"West Virginia","10-2",788,"14","dave-southorn","Week 15"
15,"Louisville","9-3",542,"16","dave-southorn","Week 15"
16,"Stanford","9-3",508,"17","dave-southorn","Week 15"
17,"Auburn","8-4",493,"18","dave-southorn","Week 15"
18,"Virginia Tech","9-4",372,"19","dave-southorn","Week 15"
19,"Florida","8-4",331,"15","dave-southorn","Week 15"
20,"South Florida","10-2",173,"24","dave-southorn","Week 15"
21,"Pittsburgh","8-4",237,"24","dave-southorn","Week 15"
22,"LSU","7-4",351,"21","dave-southorn","Week 15"
23,"Nebraska","9-3",196,"23","dave-southorn","Week 15"
24,"Temple","10-3",229,"-","dave-southorn","Week 15"
25,"Boise State","10-2",95,"-","dave-southorn","Week 15"
1,"Alabama","13-0",1525,"1","david-briggs","Week 15"
2,"Ohio State","11-1",1444,"2","david-briggs","Week 15"
3,"Clemson","12-1",1396,"3","david-briggs","Week 15"
4,"Michigan","10-2",1249,"5","david-briggs","Week 15"
5,"Penn State","11-2",1252,"8","david-briggs","Week 15"
6,"Washington","12-1",1329,"4","david-briggs","Week 15"
7,"Oklahoma","10-2",1173,"7","david-briggs","Week 15"
8,"USC","9-3",1040,"10","david-briggs","Week 15"
9,"Wisconsin","10-3",1054,"6","david-briggs","Week 15"
10,"Western Michigan","13-0",871,"13","david-briggs","Week 15"
11,"Colorado","10-3",886,"9","david-briggs","Week 15"
12,"Florida State","9-3",889,"12","david-briggs","Week 15"
13,"Pittsburgh","8-4",237,"24","david-briggs","Week 15"
14,"Oklahoma State","9-3",800,"11","david-briggs","Week 15"
15,"West Virginia","10-2",788,"14","david-briggs","Week 15"
16,"Auburn","8-4",493,"18","david-briggs","Week 15"
17,"Stanford","9-3",508,"17","david-briggs","Week 15"
18,"Florida","8-4",331,"15","david-briggs","Week 15"
19,"LSU","7-4",351,"21","david-briggs","Week 15"
20,"Iowa","8-4",272,"22","david-briggs","Week 15"
21,"Virginia Tech","9-4",372,"19","david-briggs","Week 15"
22,"Temple","10-3",229,"-","david-briggs","Week 15"
23,"Houston","9-3",101,"-","david-briggs","Week 15"
24,"Louisville","9-3",542,"16","david-briggs","Week 15"
25,"South Florida","10-2",173,"24","david-briggs","Week 15"
1,"Alabama","13-0",1525,"1","ed-daigneault","Week 15"
2,"Ohio State","11-1",1444,"2","ed-daigneault","Week 15"
3,"Clemson","12-1",1396,"3","ed-daigneault","Week 15"
4,"Penn State","11-2",1252,"8","ed-daigneault","Week 15"
5,"Michigan","10-2",1249,"5","ed-daigneault","Week 15"
6,"Washington","12-1",1329,"4","ed-daigneault","Week 15"
7,"Oklahoma","10-2",1173,"7","ed-daigneault","Week 15"
8,"Wisconsin","10-3",1054,"6","ed-daigneault","Week 15"
9,"Western Michigan","13-0",871,"13","ed-daigneault","Week 15"
10,"West Virginia","10-2",788,"14","ed-daigneault","Week 15"
11,"USC","9-3",1040,"10","ed-daigneault","Week 15"
12,"Colorado","10-3",886,"9","ed-daigneault","Week 15"
13,"Oklahoma State","9-3",800,"11","ed-daigneault","Week 15"
14,"Louisville","9-3",542,"16","ed-daigneault","Week 15"
15,"Florida State","9-3",889,"12","ed-daigneault","Week 15"
16,"Auburn","8-4",493,"18","ed-daigneault","Week 15"
17,"Stanford","9-3",508,"17","ed-daigneault","Week 15"
18,"Temple","10-3",229,"-","ed-daigneault","Week 15"
19,"South Florida","10-2",173,"24","ed-daigneault","Week 15"
20,"Virginia Tech","9-4",372,"19","ed-daigneault","Week 15"
21,"Houston","9-3",101,"-","ed-daigneault","Week 15"
22,"Nebraska","9-3",196,"23","ed-daigneault","Week 15"
23,"Iowa","8-4",272,"22","ed-daigneault","Week 15"
24,"Boise State","10-2",95,"-","ed-daigneault","Week 15"
25,"Navy","9-3",15,"20","ed-daigneault","Week 15"
1,"Alabama","13-0",1525,"1","ed-johnson","Week 15"
2,"Clemson","12-1",1396,"3","ed-johnson","Week 15"
3,"Ohio State","11-1",1444,"2","ed-johnson","Week 15"
4,"Washington","12-1",1329,"4","ed-johnson","Week 15"
5,"Penn State","11-2",1252,"8","ed-johnson","Week 15"
6,"Oklahoma","10-2",1173,"7","ed-johnson","Week 15"
7,"Michigan","10-2",1249,"5","ed-johnson","Week 15"
8,"USC","9-3",1040,"10","ed-johnson","Week 15"
9,"Wisconsin","10-3",1054,"6","ed-johnson","Week 15"
10,"Florida State","9-3",889,"12","ed-johnson","Week 15"
11,"Colorado","10-3",886,"9","ed-johnson","Week 15"
12,"Oklahoma State","9-3",800,"11","ed-johnson","Week 15"
13,"LSU","7-4",351,"21","ed-johnson","Week 15"
14,"West Virginia","10-2",788,"14","ed-johnson","Week 15"
15,"Florida","8-4",331,"15","ed-johnson","Week 15"
16,"Nebraska","9-3",196,"23","ed-johnson","Week 15"
17,"Auburn","8-4",493,"18","ed-johnson","Week 15"
18,"Louisville","9-3",542,"16","ed-johnson","Week 15"
19,"Texas A&M","8-4",26,"-","ed-johnson","Week 15"
20,"Western Michigan","13-0",871,"13","ed-johnson","Week 15"
21,"Pittsburgh","8-4",237,"24","ed-johnson","Week 15"
22,"Iowa","8-4",272,"22","ed-johnson","Week 15"
23,"Stanford","9-3",508,"17","ed-johnson","Week 15"
24,"South Florida","10-2",173,"24","ed-johnson","Week 15"
25,"Temple","10-3",229,"-","ed-johnson","Week 15"
1,"Alabama","13-0",1525,"1","eric-hansen","Week 15"
2,"Ohio State","11-1",1444,"2","eric-hansen","Week 15"
3,"Michigan","10-2",1249,"5","eric-hansen","Week 15"
4,"Washington","12-1",1329,"4","eric-hansen","Week 15"
5,"Clemson","12-1",1396,"3","eric-hansen","Week 15"
6,"Penn State","11-2",1252,"8","eric-hansen","Week 15"
7,"USC","9-3",1040,"10","eric-hansen","Week 15"
8,"Wisconsin","10-3",1054,"6","eric-hansen","Week 15"
9,"Oklahoma","10-2",1173,"7","eric-hansen","Week 15"
10,"Colorado","10-3",886,"9","eric-hansen","Week 15"
11,"Florida State","9-3",889,"12","eric-hansen","Week 15"
12,"Western Michigan","13-0",871,"13","eric-hansen","Week 15"
13,"Stanford","9-3",508,"17","eric-hansen","Week 15"
14,"Louisville","9-3",542,"16","eric-hansen","Week 15"
15,"Pittsburgh","8-4",237,"24","eric-hansen","Week 15"
16,"Oklahoma State","9-3",800,"11","eric-hansen","Week 15"
17,"West Virginia","10-2",788,"14","eric-hansen","Week 15"
18,"Virginia Tech","9-4",372,"19","eric-hansen","Week 15"
19,"LSU","7-4",351,"21","eric-hansen","Week 15"
20,"Auburn","8-4",493,"18","eric-hansen","Week 15"
21,"Utah","8-4",99,"-","eric-hansen","Week 15"
22,"South Florida","10-2",173,"24","eric-hansen","Week 15"
23,"Iowa","8-4",272,"22","eric-hansen","Week 15"
24,"Houston","9-3",101,"-","eric-hansen","Week 15"
25,"Temple","10-3",229,"-","eric-hansen","Week 15"
1,"Alabama","13-0",1525,"1","ferd-lewis","Week 15"
2,"Ohio State","11-1",1444,"2","ferd-lewis","Week 15"
3,"Clemson","12-1",1396,"3","ferd-lewis","Week 15"
4,"Washington","12-1",1329,"4","ferd-lewis","Week 15"
5,"Penn State","11-2",1252,"8","ferd-lewis","Week 15"
6,"Michigan","10-2",1249,"5","ferd-lewis","Week 15"
7,"Oklahoma","10-2",1173,"7","ferd-lewis","Week 15"
8,"USC","9-3",1040,"10","ferd-lewis","Week 15"
9,"Wisconsin","10-3",1054,"6","ferd-lewis","Week 15"
10,"Florida State","9-3",889,"12","ferd-lewis","Week 15"
11,"Western Michigan","13-0",871,"13","ferd-lewis","Week 15"
12,"West Virginia","10-2",788,"14","ferd-lewis","Week 15"
13,"Colorado","10-3",886,"9","ferd-lewis","Week 15"
14,"Stanford","9-3",508,"17","ferd-lewis","Week 15"
15,"Oklahoma State","9-3",800,"11","ferd-lewis","Week 15"
16,"Louisville","9-3",542,"16","ferd-lewis","Week 15"
17,"Auburn","8-4",493,"18","ferd-lewis","Week 15"
18,"Florida","8-4",331,"15","ferd-lewis","Week 15"
19,"LSU","7-4",351,"21","ferd-lewis","Week 15"
20,"Iowa","8-4",272,"22","ferd-lewis","Week 15"
21,"Nebraska","9-3",196,"23","ferd-lewis","Week 15"
22,"Pittsburgh","8-4",237,"24","ferd-lewis","Week 15"
23,"Virginia Tech","9-4",372,"19","ferd-lewis","Week 15"
24,"Temple","10-3",229,"-","ferd-lewis","Week 15"
25,"Western Kentucky","10-3",7,"-","ferd-lewis","Week 15"
1,"Alabama","13-0",1525,"1","garland-gillen","Week 15"
2,"Ohio State","11-1",1444,"2","garland-gillen","Week 15"
3,"Clemson","12-1",1396,"3","garland-gillen","Week 15"
4,"USC","9-3",1040,"10","garland-gillen","Week 15"
5,"Michigan","10-2",1249,"5","garland-gillen","Week 15"
