"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","13-0",1525,"1","ap","Week 15"
2,"Ohio State","11-1",1444,"2","ap","Week 15"
3,"Clemson","12-1",1396,"3","ap","Week 15"
4,"Washington","12-1",1329,"4","ap","Week 15"
5,"Penn State","11-2",1252,"8","ap","Week 15"
6,"Michigan","10-2",1249,"5","ap","Week 15"
7,"Oklahoma","10-2",1173,"7","ap","Week 15"
8,"Wisconsin","10-3",1054,"6","ap","Week 15"
9,"USC","9-3",1040,"10","ap","Week 15"
10,"Florida State","9-3",889,"12","ap","Week 15"
11,"Colorado","10-3",886,"9","ap","Week 15"
12,"Western Michigan","13-0",871,"13","ap","Week 15"
13,"Oklahoma State","9-3",800,"11","ap","Week 15"
14,"West Virginia","10-2",788,"14","ap","Week 15"
15,"Louisville","9-3",542,"16","ap","Week 15"
16,"Stanford","9-3",508,"17","ap","Week 15"
17,"Auburn","8-4",493,"18","ap","Week 15"
18,"Virginia Tech","9-4",372,"19","ap","Week 15"
19,"LSU","7-4",351,"21","ap","Week 15"
20,"Florida","8-4",331,"15","ap","Week 15"
21,"Iowa","8-4",272,"22","ap","Week 15"
22,"Pittsburgh","8-4",237,"24","ap","Week 15"
23,"Temple","10-3",229,"-","ap","Week 15"
24,"Nebraska","9-3",196,"23","ap","Week 15"
25,"South Florida","10-2",173,"24","ap","Week 15"
1,"Alabama","13-0",1525,"1","adam-jude","Week 15"
2,"Ohio State","11-1",1444,"2","adam-jude","Week 15"
3,"Washington","12-1",1329,"4","adam-jude","Week 15"
4,"Clemson","12-1",1396,"3","adam-jude","Week 15"
5,"Michigan","10-2",1249,"5","adam-jude","Week 15"
6,"Penn State","11-2",1252,"8","adam-jude","Week 15"
7,"Oklahoma","10-2",1173,"7","adam-jude","Week 15"
8,"Colorado","10-3",886,"9","adam-jude","Week 15"
9,"USC","9-3",1040,"10","adam-jude","Week 15"
10,"Wisconsin","10-3",1054,"6","adam-jude","Week 15"
11,"Oklahoma State","9-3",800,"11","adam-jude","Week 15"
12,"Western Michigan","13-0",871,"13","adam-jude","Week 15"
13,"Florida State","9-3",889,"12","adam-jude","Week 15"
14,"West Virginia","10-2",788,"14","adam-jude","Week 15"
15,"Auburn","8-4",493,"18","adam-jude","Week 15"
16,"South Florida","10-2",173,"24","adam-jude","Week 15"
17,"Temple","10-3",229,"-","adam-jude","Week 15"
18,"Florida","8-4",331,"15","adam-jude","Week 15"
19,"Stanford","9-3",508,"17","adam-jude","Week 15"
20,"Virginia Tech","9-4",372,"19","adam-jude","Week 15"
21,"Iowa","8-4",272,"22","adam-jude","Week 15"
22,"Pittsburgh","8-4",237,"24","adam-jude","Week 15"
23,"Louisville","9-3",542,"16","adam-jude","Week 15"
24,"Utah","8-4",99,"-","adam-jude","Week 15"
25,"LSU","7-4",351,"21","adam-jude","Week 15"
1,"Alabama","13-0",1525,"1","adam-zucker","Week 15"
2,"Ohio State","11-1",1444,"2","adam-zucker","Week 15"
3,"Clemson","12-1",1396,"3","adam-zucker","Week 15"
4,"Washington","12-1",1329,"4","adam-zucker","Week 15"
5,"Michigan","10-2",1249,"5","adam-zucker","Week 15"
