"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","6-0",1520,"Week 7",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
"Ohio State","5-0",1444,"Week 7",2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,3,1,2,4,5,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,5,2,2,2,3,2,3,2,1,2,3,2,3,2,2
"Clemson","6-0",1406,"Week 7",3,3,3,4,1,4,3,2,2,3,3,3,3,3,2,1,4,3,2,2,2,3,4,4,3,3,3,3,2,3,3,3,4,5,4,2,3,4,3,3,3,3,4,3,3,2,3,3,3,4,3,2,3,2,3,3,3,4,3,2,3,3
"Michigan","6-0",1339,"Week 7",4,4,5,3,4,3,4,7,4,5,4,4,4,4,4,5,6,4,3,4,4,4,3,2,4,4,4,4,4,6,4,5,3,4,3,4,4,3,5,4,4,4,3,5,6,4,4,2,4,3,5,4,4,4,5,4,4,1,4,4,5,5
"Washington","6-0",1286,"Week 7",5,5,4,5,6,5,5,4,5,6,5,5,5,5,6,6,3,5,5,3,5,5,6,6,5,5,6,5,5,5,5,7,5,3,6,5,5,5,4,5,5,5,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,6,5,5,4,4
"Texas A&M","6-0",1202,"Week 7",6,6,7,7,7,6,6,5,7,4,6,6,6,6,7,7,5,6,6,6,7,6,7,7,6,6,5,7,7,7,7,4,6,8,5,6,7,7,7,6,6,7,7,6,7,6,6,6,6,7,6,7,7,6,6,6,7,7,6,6,6,6
"Louisville","4-1",1193,"Week 7",7,7,6,6,5,7,7,6,6,7,7,7,7,7,5,4,7,7,7,7,6,7,5,5,7,7,7,6,6,4,6,6,7,6,7,7,6,6,6,7,8,6,6,7,5,7,7,7,8,6,7,6,6,7,7,7,6,5,7,8,7,7
"Wisconsin","4-1",1020,"Week 7",8,11,14,8,9,8,9,8,10,11,8,8,8,8,8,10,8,8,10,11,8,9,8,8,9,9,10,8,8,9,8,8,10,7,8,16,11,9,13,10,10,8,8,8,8,9,8,8,9,8,8,10,10,10,10,9,10,10,12,9,11,12
"Tennessee","5-1",962,"Week 7",9,8,8,11,8,12,11,9,9,8,11,12,10,9,13,9,10,12,11,13,13,8,9,12,8,10,8,9,11,8,10,9,12,13,10,9,10,11,10,14,9,10,9,9,11,12,11,11,11,9,11,11,9,11,15,8,11,9,10,10,9,10
"Nebraska","5-0",958,"Week 7",10,9,10,10,12,10,8,10,13,10,10,11,9,10,11,15,11,9,8,8,9,10,11,9,16,8,9,14,9,13,9,16,11,14,9,18,8,10,8,9,7,9,16,15,10,8,9,9,10,12,9,9,8,8,9,14,9,11,8,7,8,9
