"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 10",1,"Alabama",60,"8-0","SEC","1",1524
"Week 10",2,"Michigan",1,"8-0","Big Ten","2",1435
"Week 10",3,"Clemson",,"8-0","ACC","3",1401
"Week 10",4,"Washington",,"8-0","Pac-12","4",1369
"Week 10",5,"Louisville",,"7-1","ACC","5",1262
"Week 10",6,"Ohio State",,"7-1","Big Ten","6",1207
"Week 10",7,"Texas A&M",,"7-1","SEC","9",1150
"Week 10",8,"Wisconsin",,"6-2","Big Ten","11",1122
"Week 10",9,"Nebraska",,"7-1","Big Ten","7",951
"Week 10",10,"Florida",,"6-1","SEC","14",929
"Week 10",11,"Auburn",,"6-2","SEC","15",927
"Week 10",12,"Oklahoma",,"6-2","Big 12","16",835
"Week 10",13,"Baylor",,"6-1","Big 12","8",693
"Week 10",14,"West Virginia",,"6-1","Big 12","10",620
"Week 10",15,"LSU",,"5-2","SEC","19",586
"Week 10",16,"Utah",,"7-2","Pac-12","17",506
"Week 10",17,"Western Michigan",,"8-0","Mid-American","20",481
"Week 10",18,"North Carolina",,"6-2","ACC","21",423
"Week 10",19,"Florida State",,"5-3","ACC","12",409
"Week 10",20,"Penn State",,"6-2","Big Ten","24",390
"Week 10",21,"Colorado",,"6-2","Pac-12","23",375
"Week 10",22,"Oklahoma State",,"6-2","Big 12","-",355
"Week 10",23,"Virginia Tech",,"6-2","ACC","25",345
"Week 10",24,"Boise State",,"7-1","Mountain West","13",203
"Week 10",25,"Washington State",,"6-2","Pac-12","-",139
