"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Pre-Season",1,"Alabama",33,"14-1","SEC","1",1469
"Pre-Season",2,"Clemson",16,"14-1","ACC","2",1443
"Pre-Season",3,"Oklahoma",4,"11-2","Big 12","5",1352
"Pre-Season",4,"Florida State",5,"10-3","ACC","14",1325
"Pre-Season",5,"LSU",1,"9-3","SEC","16",1269
"Pre-Season",6,"Ohio State",1,"12-1","Big Ten","4",1224
"Pre-Season",7,"Michigan",1,"10-3","Big Ten","12",1147
"Pre-Season",8,"Stanford",,"12-2","Pac-12","3",1029
"Pre-Season",9,"Tennessee",,"9-4","SEC","22",1021
"Pre-Season",10,"Notre Dame",,"10-3","Independent","11",1006
"Pre-Season",11,"Mississippi",,"10-3","SEC","10",718
"Pre-Season",12,"Michigan State",,"12-2","Big Ten","6",710
"Pre-Season",13,"TCU",,"11-2","Big 12","7",707
"Pre-Season",14,"Washington",,"7-6","Pac-12","-",651
"Pre-Season",15,"Houston",,"13-1","The American","8",644
"Pre-Season",16,"UCLA",,"8-5","Pac-12","-",496
"Pre-Season",17,"Iowa",,"12-2","Big Ten","9",484
"Pre-Season",18,"Georgia",,"10-3","SEC","-",448
"Pre-Season",19,"Louisville",,"8-5","ACC","-",447
"Pre-Season",20,"USC",,"8-6","Pac-12","-",344
"Pre-Season",21,"Oklahoma State",,"10-3","Big 12","20",316
"Pre-Season",22,"North Carolina",,"11-3","ACC","15",283
"Pre-Season",23,"Baylor",,"10-3","Big 12","13",280
"Pre-Season",24,"Oregon",,"9-4","Pac-12","19",218
"Pre-Season",25,"Florida",,"10-4","SEC","25",180
