"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","12-0",1525,"1","ap","Week 14"
2,"Ohio State","11-1",1456,"2","ap","Week 14"
3,"Clemson","11-1",1383,"4","ap","Week 14"
4,"Washington","11-1",1298,"6","ap","Week 14"
5,"Michigan","10-2",1264,"3","ap","Week 14"
6,"Wisconsin","10-2",1237,"5","ap","Week 14"
7,"Oklahoma","9-2",1141,"7","ap","Week 14"
8,"Penn State","10-2",1118,"8","ap","Week 14"
9,"Colorado","10-2",1035,"9","ap","Week 14"
10,"USC","9-3",948,"12","ap","Week 14"
11,"Oklahoma State","9-2",931,"10","ap","Week 14"
12,"Florida State","9-3",847,"15","ap","Week 14"
13,"Western Michigan","12-0",807,"14","ap","Week 14"
14,"West Virginia","9-2",726,"19","ap","Week 14"
15,"Florida","8-3",471,"13","ap","Week 14"
16,"Louisville","9-3",468,"11","ap","Week 14"
17,"Stanford","9-3",452,"-","ap","Week 14"
18,"Auburn","8-4",423,"16","ap","Week 14"
19,"Virginia Tech","9-3",420,"-","ap","Week 14"
20,"Navy","9-2",387,"-","ap","Week 14"
21,"LSU","7-4",338,"25","ap","Week 14"
22,"Iowa","8-4",217,"-","ap","Week 14"
23,"Nebraska","9-3",181,"17","ap","Week 14"
24,"South Florida","10-2",168,"-","ap","Week 14"
24,"Pittsburgh","8-4",168,"-","ap","Week 14"
1,"Alabama","12-0",1525,"1","adam-jude","Week 14"
2,"Ohio State","11-1",1456,"2","adam-jude","Week 14"
3,"Clemson","11-1",1383,"4","adam-jude","Week 14"
4,"Washington","11-1",1298,"6","adam-jude","Week 14"
5,"Michigan","10-2",1264,"3","adam-jude","Week 14"
6,"Wisconsin","10-2",1237,"5","adam-jude","Week 14"
7,"Colorado","10-2",1035,"9","adam-jude","Week 14"
8,"Penn State","10-2",1118,"8","adam-jude","Week 14"
9,"Oklahoma","9-2",1141,"7","adam-jude","Week 14"
10,"USC","9-3",948,"12","adam-jude","Week 14"
11,"Oklahoma State","9-2",931,"10","adam-jude","Week 14"
12,"Western Michigan","12-0",807,"14","adam-jude","Week 14"
13,"Florida State","9-3",847,"15","adam-jude","Week 14"
14,"West Virginia","9-2",726,"19","adam-jude","Week 14"
15,"Auburn","8-4",423,"16","adam-jude","Week 14"
16,"South Florida","10-2",168,"-","adam-jude","Week 14"
17,"Navy","9-2",387,"-","adam-jude","Week 14"
18,"Florida","8-3",471,"13","adam-jude","Week 14"
19,"Stanford","9-3",452,"-","adam-jude","Week 14"
20,"Virginia Tech","9-3",420,"-","adam-jude","Week 14"
21,"Iowa","8-4",217,"-","adam-jude","Week 14"
22,"Pittsburgh","8-4",168,"-","adam-jude","Week 14"
23,"Louisville","9-3",468,"11","adam-jude","Week 14"
24,"Utah","8-4",88,"21","adam-jude","Week 14"
25,"LSU","7-4",338,"25","adam-jude","Week 14"
1,"Alabama","12-0",1525,"1","adam-zucker","Week 14"
2,"Ohio State","11-1",1456,"2","adam-zucker","Week 14"
3,"Clemson","11-1",1383,"4","adam-zucker","Week 14"
4,"Washington","11-1",1298,"6","adam-zucker","Week 14"
5,"Michigan","10-2",1264,"3","adam-zucker","Week 14"
6,"Wisconsin","10-2",1237,"5","adam-zucker","Week 14"
7,"Penn State","10-2",1118,"8","adam-zucker","Week 14"
8,"Oklahoma","9-2",1141,"7","adam-zucker","Week 14"
9,"USC","9-3",948,"12","adam-zucker","Week 14"
10,"Colorado","10-2",1035,"9","adam-zucker","Week 14"
11,"Oklahoma State","9-2",931,"10","adam-zucker","Week 14"
12,"Florida State","9-3",847,"15","adam-zucker","Week 14"
13,"West Virginia","9-2",726,"19","adam-zucker","Week 14"
14,"Florida","8-3",471,"13","adam-zucker","Week 14"
15,"Navy","9-2",387,"-","adam-zucker","Week 14"
16,"Western Michigan","12-0",807,"14","adam-zucker","Week 14"
17,"Louisville","9-3",468,"11","adam-zucker","Week 14"
18,"Auburn","8-4",423,"16","adam-zucker","Week 14"
19,"LSU","7-4",338,"25","adam-zucker","Week 14"
20,"Houston","9-3",98,"18","adam-zucker","Week 14"
21,"Iowa","8-4",217,"-","adam-zucker","Week 14"
22,"South Florida","10-2",168,"-","adam-zucker","Week 14"
23,"Virginia Tech","9-3",420,"-","adam-zucker","Week 14"
24,"Nebraska","9-3",181,"17","adam-zucker","Week 14"
25,"Pittsburgh","8-4",168,"-","adam-zucker","Week 14"
1,"Alabama","12-0",1525,"1","andy-greder","Week 14"
2,"Ohio State","11-1",1456,"2","andy-greder","Week 14"
3,"Oklahoma","9-2",1141,"7","andy-greder","Week 14"
4,"Michigan","10-2",1264,"3","andy-greder","Week 14"
5,"Wisconsin","10-2",1237,"5","andy-greder","Week 14"
6,"Washington","11-1",1298,"6","andy-greder","Week 14"
7,"Clemson","11-1",1383,"4","andy-greder","Week 14"
8,"Oklahoma State","9-2",931,"10","andy-greder","Week 14"
9,"Florida State","9-3",847,"15","andy-greder","Week 14"
10,"Western Michigan","12-0",807,"14","andy-greder","Week 14"
11,"LSU","7-4",338,"25","andy-greder","Week 14"
12,"Penn State","10-2",1118,"8","andy-greder","Week 14"
13,"USC","9-3",948,"12","andy-greder","Week 14"
14,"Colorado","10-2",1035,"9","andy-greder","Week 14"
15,"Florida","8-3",471,"13","andy-greder","Week 14"
16,"Auburn","8-4",423,"16","andy-greder","Week 14"
17,"West Virginia","9-2",726,"19","andy-greder","Week 14"
18,"Stanford","9-3",452,"-","andy-greder","Week 14"
19,"Iowa","8-4",217,"-","andy-greder","Week 14"
20,"Louisville","9-3",468,"11","andy-greder","Week 14"
21,"Virginia Tech","9-3",420,"-","andy-greder","Week 14"
22,"Navy","9-2",387,"-","andy-greder","Week 14"
23,"Pittsburgh","8-4",168,"-","andy-greder","Week 14"
24,"South Florida","10-2",168,"-","andy-greder","Week 14"
25,"Texas A&M","8-4",33,"22","andy-greder","Week 14"
1,"Alabama","12-0",1525,"1","bill-landis","Week 14"
2,"Ohio State","11-1",1456,"2","bill-landis","Week 14"
3,"Clemson","11-1",1383,"4","bill-landis","Week 14"
4,"Washington","11-1",1298,"6","bill-landis","Week 14"
5,"Michigan","10-2",1264,"3","bill-landis","Week 14"
6,"Penn State","10-2",1118,"8","bill-landis","Week 14"
7,"Wisconsin","10-2",1237,"5","bill-landis","Week 14"
8,"Colorado","10-2",1035,"9","bill-landis","Week 14"
9,"Oklahoma","9-2",1141,"7","bill-landis","Week 14"
10,"Oklahoma State","9-2",931,"10","bill-landis","Week 14"
11,"USC","9-3",948,"12","bill-landis","Week 14"
12,"Louisville","9-3",468,"11","bill-landis","Week 14"
13,"Florida State","9-3",847,"15","bill-landis","Week 14"
14,"Stanford","9-3",452,"-","bill-landis","Week 14"
15,"West Virginia","9-2",726,"19","bill-landis","Week 14"
16,"Western Michigan","12-0",807,"14","bill-landis","Week 14"
17,"Virginia Tech","9-3",420,"-","bill-landis","Week 14"
18,"Texas A&M","8-4",33,"22","bill-landis","Week 14"
19,"Auburn","8-4",423,"16","bill-landis","Week 14"
20,"Tennessee","8-4",12,"24","bill-landis","Week 14"
21,"Florida","8-3",471,"13","bill-landis","Week 14"
22,"Pittsburgh","8-4",168,"-","bill-landis","Week 14"
23,"Navy","9-2",387,"-","bill-landis","Week 14"
24,"Houston","9-3",98,"18","bill-landis","Week 14"
25,"Utah","8-4",88,"21","bill-landis","Week 14"
1,"Alabama","12-0",1525,"1","bob-asmussen","Week 14"
2,"Ohio State","11-1",1456,"2","bob-asmussen","Week 14"
3,"Clemson","11-1",1383,"4","bob-asmussen","Week 14"
4,"Washington","11-1",1298,"6","bob-asmussen","Week 14"
5,"Michigan","10-2",1264,"3","bob-asmussen","Week 14"
6,"Wisconsin","10-2",1237,"5","bob-asmussen","Week 14"
7,"Oklahoma","9-2",1141,"7","bob-asmussen","Week 14"
8,"Oklahoma State","9-2",931,"10","bob-asmussen","Week 14"
9,"Penn State","10-2",1118,"8","bob-asmussen","Week 14"
10,"Western Michigan","12-0",807,"14","bob-asmussen","Week 14"
11,"Colorado","10-2",1035,"9","bob-asmussen","Week 14"
12,"USC","9-3",948,"12","bob-asmussen","Week 14"
13,"Florida State","9-3",847,"15","bob-asmussen","Week 14"
14,"West Virginia","9-2",726,"19","bob-asmussen","Week 14"
15,"Nebraska","9-3",181,"17","bob-asmussen","Week 14"
16,"Florida","8-3",471,"13","bob-asmussen","Week 14"
17,"Navy","9-2",387,"-","bob-asmussen","Week 14"
18,"South Florida","10-2",168,"-","bob-asmussen","Week 14"
19,"Houston","9-3",98,"18","bob-asmussen","Week 14"
20,"Louisville","9-3",468,"11","bob-asmussen","Week 14"
21,"Virginia Tech","9-3",420,"-","bob-asmussen","Week 14"
22,"Stanford","9-3",452,"-","bob-asmussen","Week 14"
23,"Boise State","10-2",92,"20","bob-asmussen","Week 14"
24,"Auburn","8-4",423,"16","bob-asmussen","Week 14"
25,"LSU","7-4",338,"25","bob-asmussen","Week 14"
1,"Alabama","12-0",1525,"1","brent-axe","Week 14"
2,"Ohio State","11-1",1456,"2","brent-axe","Week 14"
3,"Clemson","11-1",1383,"4","brent-axe","Week 14"
4,"Washington","11-1",1298,"6","brent-axe","Week 14"
5,"Michigan","10-2",1264,"3","brent-axe","Week 14"
6,"Wisconsin","10-2",1237,"5","brent-axe","Week 14"
7,"Penn State","10-2",1118,"8","brent-axe","Week 14"
8,"Oklahoma","9-2",1141,"7","brent-axe","Week 14"
9,"USC","9-3",948,"12","brent-axe","Week 14"
10,"Colorado","10-2",1035,"9","brent-axe","Week 14"
11,"Oklahoma State","9-2",931,"10","brent-axe","Week 14"
12,"Western Michigan","12-0",807,"14","brent-axe","Week 14"
13,"Florida State","9-3",847,"15","brent-axe","Week 14"
14,"West Virginia","9-2",726,"19","brent-axe","Week 14"
15,"Boise State","10-2",92,"20","brent-axe","Week 14"
16,"Virginia Tech","9-3",420,"-","brent-axe","Week 14"
17,"South Florida","10-2",168,"-","brent-axe","Week 14"
18,"Navy","9-2",387,"-","brent-axe","Week 14"
19,"Houston","9-3",98,"18","brent-axe","Week 14"
20,"Louisville","9-3",468,"11","brent-axe","Week 14"
21,"Florida","8-3",471,"13","brent-axe","Week 14"
22,"LSU","7-4",338,"25","brent-axe","Week 14"
23,"Iowa","8-4",217,"-","brent-axe","Week 14"
24,"Nebraska","9-3",181,"17","brent-axe","Week 14"
25,"Stanford","9-3",452,"-","brent-axe","Week 14"
1,"Alabama","12-0",1525,"1","brett-mcmurphy","Week 14"
2,"Ohio State","11-1",1456,"2","brett-mcmurphy","Week 14"
3,"Clemson","11-1",1383,"4","brett-mcmurphy","Week 14"
4,"Washington","11-1",1298,"6","brett-mcmurphy","Week 14"
5,"Michigan","10-2",1264,"3","brett-mcmurphy","Week 14"
6,"Wisconsin","10-2",1237,"5","brett-mcmurphy","Week 14"
7,"Penn State","10-2",1118,"8","brett-mcmurphy","Week 14"
8,"Oklahoma","9-2",1141,"7","brett-mcmurphy","Week 14"
9,"Colorado","10-2",1035,"9","brett-mcmurphy","Week 14"
10,"Oklahoma State","9-2",931,"10","brett-mcmurphy","Week 14"
11,"USC","9-3",948,"12","brett-mcmurphy","Week 14"
12,"Western Michigan","12-0",807,"14","brett-mcmurphy","Week 14"
13,"Florida State","9-3",847,"15","brett-mcmurphy","Week 14"
14,"West Virginia","9-2",726,"19","brett-mcmurphy","Week 14"
15,"Stanford","9-3",452,"-","brett-mcmurphy","Week 14"
16,"Auburn","8-4",423,"16","brett-mcmurphy","Week 14"
17,"Louisville","9-3",468,"11","brett-mcmurphy","Week 14"
18,"South Florida","10-2",168,"-","brett-mcmurphy","Week 14"
19,"Florida","8-3",471,"13","brett-mcmurphy","Week 14"
20,"Nebraska","9-3",181,"17","brett-mcmurphy","Week 14"
21,"Navy","9-2",387,"-","brett-mcmurphy","Week 14"
22,"Virginia Tech","9-3",420,"-","brett-mcmurphy","Week 14"
23,"Pittsburgh","8-4",168,"-","brett-mcmurphy","Week 14"
24,"Temple","9-3",21,"-","brett-mcmurphy","Week 14"
25,"LSU","7-4",338,"25","brett-mcmurphy","Week 14"
1,"Alabama","12-0",1525,"1","brian-howell","Week 14"
2,"Ohio State","11-1",1456,"2","brian-howell","Week 14"
3,"Clemson","11-1",1383,"4","brian-howell","Week 14"
4,"Washington","11-1",1298,"6","brian-howell","Week 14"
5,"Michigan","10-2",1264,"3","brian-howell","Week 14"
6,"Wisconsin","10-2",1237,"5","brian-howell","Week 14"
7,"Penn State","10-2",1118,"8","brian-howell","Week 14"
8,"Oklahoma","9-2",1141,"7","brian-howell","Week 14"
9,"Colorado","10-2",1035,"9","brian-howell","Week 14"
10,"Oklahoma State","9-2",931,"10","brian-howell","Week 14"
11,"USC","9-3",948,"12","brian-howell","Week 14"
12,"Western Michigan","12-0",807,"14","brian-howell","Week 14"
13,"Florida State","9-3",847,"15","brian-howell","Week 14"
14,"West Virginia","9-2",726,"19","brian-howell","Week 14"
15,"Auburn","8-4",423,"16","brian-howell","Week 14"
16,"Stanford","9-3",452,"-","brian-howell","Week 14"
17,"Virginia Tech","9-3",420,"-","brian-howell","Week 14"
18,"Louisville","9-3",468,"11","brian-howell","Week 14"
19,"Florida","8-3",471,"13","brian-howell","Week 14"
20,"South Florida","10-2",168,"-","brian-howell","Week 14"
21,"LSU","7-4",338,"25","brian-howell","Week 14"
22,"Navy","9-2",387,"-","brian-howell","Week 14"
23,"Iowa","8-4",217,"-","brian-howell","Week 14"
24,"Houston","9-3",98,"18","brian-howell","Week 14"
25,"Pittsburgh","8-4",168,"-","brian-howell","Week 14"
1,"Alabama","12-0",1525,"1","chris-murray","Week 14"
2,"Ohio State","11-1",1456,"2","chris-murray","Week 14"
3,"Clemson","11-1",1383,"4","chris-murray","Week 14"
4,"Washington","11-1",1298,"6","chris-murray","Week 14"
5,"Michigan","10-2",1264,"3","chris-murray","Week 14"
6,"Wisconsin","10-2",1237,"5","chris-murray","Week 14"
7,"Oklahoma","9-2",1141,"7","chris-murray","Week 14"
8,"Penn State","10-2",1118,"8","chris-murray","Week 14"
9,"Colorado","10-2",1035,"9","chris-murray","Week 14"
10,"Florida State","9-3",847,"15","chris-murray","Week 14"
11,"Western Michigan","12-0",807,"14","chris-murray","Week 14"
12,"Oklahoma State","9-2",931,"10","chris-murray","Week 14"
13,"USC","9-3",948,"12","chris-murray","Week 14"
14,"West Virginia","9-2",726,"19","chris-murray","Week 14"
15,"Louisville","9-3",468,"11","chris-murray","Week 14"
16,"Stanford","9-3",452,"-","chris-murray","Week 14"
17,"Florida","8-3",471,"13","chris-murray","Week 14"
18,"Auburn","8-4",423,"16","chris-murray","Week 14"
19,"Navy","9-2",387,"-","chris-murray","Week 14"
20,"Iowa","8-4",217,"-","chris-murray","Week 14"
21,"LSU","7-4",338,"25","chris-murray","Week 14"
22,"Houston","9-3",98,"18","chris-murray","Week 14"
23,"Virginia Tech","9-3",420,"-","chris-murray","Week 14"
24,"Utah","8-4",88,"21","chris-murray","Week 14"
25,"Nebraska","9-3",181,"17","chris-murray","Week 14"
1,"Alabama","12-0",1525,"1","chuck-carlton","Week 14"
2,"Ohio State","11-1",1456,"2","chuck-carlton","Week 14"
3,"Clemson","11-1",1383,"4","chuck-carlton","Week 14"
4,"Washington","11-1",1298,"6","chuck-carlton","Week 14"
5,"Wisconsin","10-2",1237,"5","chuck-carlton","Week 14"
6,"Oklahoma","9-2",1141,"7","chuck-carlton","Week 14"
7,"Michigan","10-2",1264,"3","chuck-carlton","Week 14"
8,"Colorado","10-2",1035,"9","chuck-carlton","Week 14"
9,"Oklahoma State","9-2",931,"10","chuck-carlton","Week 14"
10,"Penn State","10-2",1118,"8","chuck-carlton","Week 14"
11,"USC","9-3",948,"12","chuck-carlton","Week 14"
12,"Western Michigan","12-0",807,"14","chuck-carlton","Week 14"
13,"West Virginia","9-2",726,"19","chuck-carlton","Week 14"
14,"Florida State","9-3",847,"15","chuck-carlton","Week 14"
15,"Louisville","9-3",468,"11","chuck-carlton","Week 14"
16,"Stanford","9-3",452,"-","chuck-carlton","Week 14"
17,"Virginia Tech","9-3",420,"-","chuck-carlton","Week 14"
18,"Navy","9-2",387,"-","chuck-carlton","Week 14"
19,"Florida","8-3",471,"13","chuck-carlton","Week 14"
20,"LSU","7-4",338,"25","chuck-carlton","Week 14"
21,"Auburn","8-4",423,"16","chuck-carlton","Week 14"
22,"Pittsburgh","8-4",168,"-","chuck-carlton","Week 14"
23,"Iowa","8-4",217,"-","chuck-carlton","Week 14"
24,"South Florida","10-2",168,"-","chuck-carlton","Week 14"
25,"Boise State","10-2",92,"20","chuck-carlton","Week 14"
1,"Alabama","12-0",1525,"1","dana-sulonen","Week 14"
2,"Ohio State","11-1",1456,"2","dana-sulonen","Week 14"
3,"Clemson","11-1",1383,"4","dana-sulonen","Week 14"
4,"Washington","11-1",1298,"6","dana-sulonen","Week 14"
5,"Michigan","10-2",1264,"3","dana-sulonen","Week 14"
6,"Wisconsin","10-2",1237,"5","dana-sulonen","Week 14"
7,"Oklahoma","9-2",1141,"7","dana-sulonen","Week 14"
8,"Penn State","10-2",1118,"8","dana-sulonen","Week 14"
9,"Colorado","10-2",1035,"9","dana-sulonen","Week 14"
10,"Oklahoma State","9-2",931,"10","dana-sulonen","Week 14"
11,"USC","9-3",948,"12","dana-sulonen","Week 14"
12,"Florida State","9-3",847,"15","dana-sulonen","Week 14"
13,"Western Michigan","12-0",807,"14","dana-sulonen","Week 14"
14,"West Virginia","9-2",726,"19","dana-sulonen","Week 14"
15,"Louisville","9-3",468,"11","dana-sulonen","Week 14"
16,"Virginia Tech","9-3",420,"-","dana-sulonen","Week 14"
17,"Stanford","9-3",452,"-","dana-sulonen","Week 14"
18,"Navy","9-2",387,"-","dana-sulonen","Week 14"
19,"Florida","8-3",471,"13","dana-sulonen","Week 14"
20,"Auburn","8-4",423,"16","dana-sulonen","Week 14"
21,"LSU","7-4",338,"25","dana-sulonen","Week 14"
22,"Nebraska","9-3",181,"17","dana-sulonen","Week 14"
23,"Utah","8-4",88,"21","dana-sulonen","Week 14"
24,"Iowa","8-4",217,"-","dana-sulonen","Week 14"
25,"South Florida","10-2",168,"-","dana-sulonen","Week 14"
1,"Alabama","12-0",1525,"1","dave-southorn","Week 14"
2,"Ohio State","11-1",1456,"2","dave-southorn","Week 14"
3,"Clemson","11-1",1383,"4","dave-southorn","Week 14"
4,"Washington","11-1",1298,"6","dave-southorn","Week 14"
5,"Oklahoma","9-2",1141,"7","dave-southorn","Week 14"
6,"Michigan","10-2",1264,"3","dave-southorn","Week 14"
7,"Wisconsin","10-2",1237,"5","dave-southorn","Week 14"
8,"Penn State","10-2",1118,"8","dave-southorn","Week 14"
9,"Colorado","10-2",1035,"9","dave-southorn","Week 14"
10,"Oklahoma State","9-2",931,"10","dave-southorn","Week 14"
11,"USC","9-3",948,"12","dave-southorn","Week 14"
