"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","5-0",1514,"1","ap","Week 6"
2,"Ohio State","4-0",1451,"2","ap","Week 6"
3,"Clemson","5-0",1403,"5","ap","Week 6"
4,"Michigan","5-0",1334,"4","ap","Week 6"
5,"Washington","5-0",1234,"10","ap","Week 6"
6,"Houston","5-0",1233,"6","ap","Week 6"
7,"Louisville","4-1",1160,"3","ap","Week 6"
8,"Texas A&M","5-0",1113,"9","ap","Week 6"
9,"Tennessee","5-0",1045,"11","ap","Week 6"
10,"Miami","4-0",909,"14","ap","Week 6"
11,"Wisconsin","4-1",882,"8","ap","Week 6"
12,"Nebraska","5-0",821,"15","ap","Week 6"
13,"Baylor","5-0",805,"13","ap","Week 6"
14,"Mississippi","3-2",712,"16","ap","Week 6"
15,"Stanford","3-1",711,"7","ap","Week 6"
16,"Arkansas","4-1",528,"20","ap","Week 6"
17,"North Carolina","4-1",497,"-","ap","Week 6"
18,"Florida","4-1",391,"23","ap","Week 6"
19,"Boise State","4-0",385,"24","ap","Week 6"
20,"Oklahoma","2-2",324,"-","ap","Week 6"
21,"Colorado","4-1",276,"-","ap","Week 6"
22,"West Virginia","4-0",240,"-","ap","Week 6"
23,"Florida State","3-2",230,"12","ap","Week 6"
24,"Utah","4-1",86,"18","ap","Week 6"
25,"Virginia Tech","3-1",85,"-","ap","Week 6"
1,"Alabama","5-0",1514,"1","adam-jude","Week 6"
2,"Ohio State","4-0",1451,"2","adam-jude","Week 6"
3,"Clemson","5-0",1403,"5","adam-jude","Week 6"
4,"Michigan","5-0",1334,"4","adam-jude","Week 6"
5,"Washington","5-0",1234,"10","adam-jude","Week 6"
6,"Houston","5-0",1233,"6","adam-jude","Week 6"
7,"Texas A&M","5-0",1113,"9","adam-jude","Week 6"
8,"Tennessee","5-0",1045,"11","adam-jude","Week 6"
9,"Louisville","4-1",1160,"3","adam-jude","Week 6"
10,"Mississippi","3-2",712,"16","adam-jude","Week 6"
11,"Baylor","5-0",805,"13","adam-jude","Week 6"
12,"Nebraska","5-0",821,"15","adam-jude","Week 6"
13,"Wisconsin","4-1",882,"8","adam-jude","Week 6"
14,"Miami","4-0",909,"14","adam-jude","Week 6"
15,"Stanford","3-1",711,"7","adam-jude","Week 6"
16,"Arkansas","4-1",528,"20","adam-jude","Week 6"
17,"North Carolina","4-1",497,"-","adam-jude","Week 6"
18,"Colorado","4-1",276,"-","adam-jude","Week 6"
19,"Boise State","4-0",385,"24","adam-jude","Week 6"
20,"Florida State","3-2",230,"12","adam-jude","Week 6"
21,"North Dakota State","3-2",46,"-","adam-jude","Week 6"
22,"Utah","4-1",86,"18","adam-jude","Week 6"
23,"Oklahoma","2-2",324,"-","adam-jude","Week 6"
24,"Oklahoma State","3-2",41,"-","adam-jude","Week 6"
25,"Florida","4-1",391,"23","adam-jude","Week 6"
1,"Alabama","5-0",1514,"1","adam-zucker","Week 6"
2,"Ohio State","4-0",1451,"2","adam-zucker","Week 6"
3,"Clemson","5-0",1403,"5","adam-zucker","Week 6"
4,"Michigan","5-0",1334,"4","adam-zucker","Week 6"
5,"Houston","5-0",1233,"6","adam-zucker","Week 6"
6,"Washington","5-0",1234,"10","adam-zucker","Week 6"
7,"Louisville","4-1",1160,"3","adam-zucker","Week 6"
8,"Texas A&M","5-0",1113,"9","adam-zucker","Week 6"
9,"Tennessee","5-0",1045,"11","adam-zucker","Week 6"
10,"Miami","4-0",909,"14","adam-zucker","Week 6"
11,"Baylor","5-0",805,"13","adam-zucker","Week 6"
12,"Nebraska","5-0",821,"15","adam-zucker","Week 6"
13,"Wisconsin","4-1",882,"8","adam-zucker","Week 6"
14,"Stanford","3-1",711,"7","adam-zucker","Week 6"
15,"Arkansas","4-1",528,"20","adam-zucker","Week 6"
16,"Oklahoma","2-2",324,"-","adam-zucker","Week 6"
17,"Mississippi","3-2",712,"16","adam-zucker","Week 6"
18,"North Carolina","4-1",497,"-","adam-zucker","Week 6"
19,"Boise State","4-0",385,"24","adam-zucker","Week 6"
20,"Utah","4-1",86,"18","adam-zucker","Week 6"
21,"Florida State","3-2",230,"12","adam-zucker","Week 6"
22,"West Virginia","4-0",240,"-","adam-zucker","Week 6"
23,"Colorado","4-1",276,"-","adam-zucker","Week 6"
24,"UCLA","3-2",56,"-","adam-zucker","Week 6"
25,"North Dakota State","3-2",46,"-","adam-zucker","Week 6"
1,"Alabama","5-0",1514,"1","andy-greder","Week 6"
2,"Ohio State","4-0",1451,"2","andy-greder","Week 6"
3,"Michigan","5-0",1334,"4","andy-greder","Week 6"
4,"Clemson","5-0",1403,"5","andy-greder","Week 6"
5,"Washington","5-0",1234,"10","andy-greder","Week 6"
6,"Houston","5-0",1233,"6","andy-greder","Week 6"
7,"Louisville","4-1",1160,"3","andy-greder","Week 6"
8,"Wisconsin","4-1",882,"8","andy-greder","Week 6"
9,"Tennessee","5-0",1045,"11","andy-greder","Week 6"
10,"Mississippi","3-2",712,"16","andy-greder","Week 6"
11,"Texas A&M","5-0",1113,"9","andy-greder","Week 6"
12,"Nebraska","5-0",821,"15","andy-greder","Week 6"
13,"Miami","4-0",909,"14","andy-greder","Week 6"
14,"North Carolina","4-1",497,"-","andy-greder","Week 6"
15,"Stanford","3-1",711,"7","andy-greder","Week 6"
