"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Clemson","14-1",1500,"3","ap",16
2,"Alabama","14-1",1440,"1","ap",16
3,"USC","10-3",1292,"9","ap",16
4,"Washington","12-2",1277,"4","ap",16
5,"Oklahoma","11-2",1252,"7","ap",16
6,"Ohio State","11-2",1240,"2","ap",16
7,"Penn State","11-3",1130,"5","ap",16
8,"Florida State","10-3",1105,"10","ap",16
9,"Wisconsin","11-3",1032,"8","ap",16
10,"Michigan","10-3",1001,"6","ap",16
11,"Oklahoma State","10-3",920,"13","ap",16
12,"Stanford","10-3",730,"16","ap",16
13,"LSU","8-4",651,"19","ap",16
14,"Florida","9-4",640,"20","ap",16
15,"Western Michigan","13-1",619,"12","ap",16
16,"Virginia Tech","10-4",610,"18","ap",16
17,"Colorado","10-4",585,"11","ap",16
18,"West Virginia","10-3",368,"14","ap",16
19,"South Florida","11-2",358,"25","ap",16
20,"Miami","9-4",338,"-","ap",16
21,"Louisville","9-4",277,"15","ap",16
22,"Tennessee","9-4",253,"-","ap",16
23,"Utah","9-4",222,"-","ap",16
24,"Auburn","8-5",206,"17","ap",16
25,"San Diego State","11-3",113,"-","ap",16
1,"Clemson","14-1",1500,"3","adam-jude",16
2,"Alabama","14-1",1440,"1","adam-jude",16
3,"Washington","12-2",1277,"4","adam-jude",16
4,"Ohio State","11-2",1240,"2","adam-jude",16
5,"USC","10-3",1292,"9","adam-jude",16
6,"Penn State","11-3",1130,"5","adam-jude",16
7,"Oklahoma","11-2",1252,"7","adam-jude",16
8,"Oklahoma State","10-3",920,"13","adam-jude",16
9,"Florida State","10-3",1105,"10","adam-jude",16
10,"Michigan","10-3",1001,"6","adam-jude",16
11,"Wisconsin","11-3",1032,"8","adam-jude",16
12,"Colorado","10-4",585,"11","adam-jude",16
13,"Western Michigan","13-1",619,"12","adam-jude",16
14,"South Florida","11-2",358,"25","adam-jude",16
15,"Stanford","10-3",730,"16","adam-jude",16
16,"Utah","9-4",222,"-","adam-jude",16
17,"Virginia Tech","10-4",610,"18","adam-jude",16
18,"Florida","9-4",640,"20","adam-jude",16
19,"LSU","8-4",651,"19","adam-jude",16
20,"West Virginia","10-3",368,"14","adam-jude",16
21,"San Diego State","11-3",113,"-","adam-jude",16
22,"Brigham Young","9-4",9,"-","adam-jude",16
23,"Auburn","8-5",206,"17","adam-jude",16
24,"Tennessee","9-4",253,"-","adam-jude",16
25,"Kansas State","9-4",83,"-","adam-jude",16
1,"Clemson","14-1",1500,"3","adam-zucker",16
2,"Alabama","14-1",1440,"1","adam-zucker",16
3,"USC","10-3",1292,"9","adam-zucker",16
4,"Washington","12-2",1277,"4","adam-zucker",16
5,"Ohio State","11-2",1240,"2","adam-zucker",16
6,"Oklahoma","11-2",1252,"7","adam-zucker",16
7,"Florida State","10-3",1105,"10","adam-zucker",16
8,"Michigan","10-3",1001,"6","adam-zucker",16
9,"Penn State","11-3",1130,"5","adam-zucker",16
10,"Wisconsin","11-3",1032,"8","adam-zucker",16
11,"Oklahoma State","10-3",920,"13","adam-zucker",16
12,"LSU","8-4",651,"19","adam-zucker",16
13,"Colorado","10-4",585,"11","adam-zucker",16
14,"Stanford","10-3",730,"16","adam-zucker",16
15,"Florida","9-4",640,"20","adam-zucker",16
16,"Western Michigan","13-1",619,"12","adam-zucker",16
17,"South Florida","11-2",358,"25","adam-zucker",16
18,"Louisville","9-4",277,"15","adam-zucker",16
19,"Tennessee","9-4",253,"-","adam-zucker",16
20,"Virginia Tech","10-4",610,"18","adam-zucker",16
21,"Miami","9-4",338,"-","adam-zucker",16
22,"West Virginia","10-3",368,"14","adam-zucker",16
23,"Georgia Tech","9-4",47,"-","adam-zucker",16
24,"Kansas State","9-4",83,"-","adam-zucker",16
25,"Utah","9-4",222,"-","adam-zucker",16
1,"Clemson","14-1",1500,"3","andy-greder",16
2,"Alabama","14-1",1440,"1","andy-greder",16
3,"Washington","12-2",1277,"4","andy-greder",16
4,"USC","10-3",1292,"9","andy-greder",16
5,"Oklahoma","11-2",1252,"7","andy-greder",16
6,"Penn State","11-3",1130,"5","andy-greder",16
7,"Ohio State","11-2",1240,"2","andy-greder",16
8,"Florida State","10-3",1105,"10","andy-greder",16
9,"Michigan","10-3",1001,"6","andy-greder",16
10,"Wisconsin","11-3",1032,"8","andy-greder",16
11,"Oklahoma State","10-3",920,"13","andy-greder",16
12,"LSU","8-4",651,"19","andy-greder",16
13,"Florida","9-4",640,"20","andy-greder",16
14,"Western Michigan","13-1",619,"12","andy-greder",16
15,"Auburn","8-5",206,"17","andy-greder",16
16,"Colorado","10-4",585,"11","andy-greder",16
17,"Stanford","10-3",730,"16","andy-greder",16
18,"Louisville","9-4",277,"15","andy-greder",16
19,"Virginia Tech","10-4",610,"18","andy-greder",16
20,"Miami","9-4",338,"-","andy-greder",16
21,"Tennessee","9-4",253,"-","andy-greder",16
22,"Kansas State","9-4",83,"-","andy-greder",16
23,"South Florida","11-2",358,"25","andy-greder",16
24,"North Carolina","8-5",8,"-","andy-greder",16
25,"Minnesota","9-4",12,"-","andy-greder",16
1,"Clemson","14-1",1500,"3","bill-landis",16
2,"Alabama","14-1",1440,"1","bill-landis",16
3,"USC","10-3",1292,"9","bill-landis",16
4,"Penn State","11-3",1130,"5","bill-landis",16
5,"Ohio State","11-2",1240,"2","bill-landis",16
6,"Washington","12-2",1277,"4","bill-landis",16
7,"Florida State","10-3",1105,"10","bill-landis",16
8,"Michigan","10-3",1001,"6","bill-landis",16
9,"Wisconsin","11-3",1032,"8","bill-landis",16
10,"Oklahoma","11-2",1252,"7","bill-landis",16
11,"Oklahoma State","10-3",920,"13","bill-landis",16
12,"Colorado","10-4",585,"11","bill-landis",16
13,"Stanford","10-3",730,"16","bill-landis",16
14,"Western Michigan","13-1",619,"12","bill-landis",16
15,"Tennessee","9-4",253,"-","bill-landis",16
16,"Virginia Tech","10-4",610,"18","bill-landis",16
17,"Florida","9-4",640,"20","bill-landis",16
18,"LSU","8-4",651,"19","bill-landis",16
19,"Utah","9-4",222,"-","bill-landis",16
20,"North Carolina","8-5",8,"-","bill-landis",16
21,"Louisville","9-4",277,"15","bill-landis",16
22,"South Florida","11-2",358,"25","bill-landis",16
23,"Miami","9-4",338,"-","bill-landis",16
24,"Pittsburgh","8-5",21,"22","bill-landis",16
25,"Georgia Tech","9-4",47,"-","bill-landis",16
1,"Clemson","14-1",1500,"3","bob-asmussen",16
2,"Alabama","14-1",1440,"1","bob-asmussen",16
3,"USC","10-3",1292,"9","bob-asmussen",16
4,"Ohio State","11-2",1240,"2","bob-asmussen",16
5,"Oklahoma","11-2",1252,"7","bob-asmussen",16
6,"Washington","12-2",1277,"4","bob-asmussen",16
7,"Wisconsin","11-3",1032,"8","bob-asmussen",16
8,"Penn State","11-3",1130,"5","bob-asmussen",16
9,"Florida State","10-3",1105,"10","bob-asmussen",16
10,"Michigan","10-3",1001,"6","bob-asmussen",16
11,"Western Michigan","13-1",619,"12","bob-asmussen",16
12,"Oklahoma State","10-3",920,"13","bob-asmussen",16
13,"South Florida","11-2",358,"25","bob-asmussen",16
14,"Stanford","10-3",730,"16","bob-asmussen",16
15,"San Diego State","11-3",113,"-","bob-asmussen",16
16,"Western Kentucky","11-3",32,"-","bob-asmussen",16
17,"LSU","8-4",651,"19","bob-asmussen",16
18,"Colorado","10-4",585,"11","bob-asmussen",16
19,"Florida","9-4",640,"20","bob-asmussen",16
20,"Virginia Tech","10-4",610,"18","bob-asmussen",16
21,"West Virginia","10-3",368,"14","bob-asmussen",16
22,"Tennessee","9-4",253,"-","bob-asmussen",16
23,"Utah","9-4",222,"-","bob-asmussen",16
24,"Houston","9-4",8,"-","bob-asmussen",16
25,"Miami","9-4",338,"-","bob-asmussen",16
1,"Clemson","14-1",1500,"3","brent-axe",16
2,"Alabama","14-1",1440,"1","brent-axe",16
3,"USC","10-3",1292,"9","brent-axe",16
4,"Oklahoma","11-2",1252,"7","brent-axe",16
5,"Ohio State","11-2",1240,"2","brent-axe",16
6,"Washington","12-2",1277,"4","brent-axe",16
7,"Penn State","11-3",1130,"5","brent-axe",16
8,"Florida State","10-3",1105,"10","brent-axe",16
9,"Michigan","10-3",1001,"6","brent-axe",16
10,"Wisconsin","11-3",1032,"8","brent-axe",16
11,"Western Michigan","13-1",619,"12","brent-axe",16
12,"Oklahoma State","10-3",920,"13","brent-axe",16
13,"West Virginia","10-3",368,"14","brent-axe",16
14,"South Florida","11-2",358,"25","brent-axe",16
15,"Stanford","10-3",730,"16","brent-axe",16
16,"Florida","9-4",640,"20","brent-axe",16
17,"LSU","8-4",651,"19","brent-axe",16
18,"Virginia Tech","10-4",610,"18","brent-axe",16
19,"Colorado","10-4",585,"11","brent-axe",16
20,"Miami","9-4",338,"-","brent-axe",16
21,"Louisville","9-4",277,"15","brent-axe",16
22,"Tennessee","9-4",253,"-","brent-axe",16
23,"Tulsa","10-3",10,"-","brent-axe",16
24,"Georgia Tech","9-4",47,"-","brent-axe",16
25,"San Diego State","11-3",113,"-","brent-axe",16
1,"Clemson","14-1",1500,"3","brett-mcmurphy",16
2,"Alabama","14-1",1440,"1","brett-mcmurphy",16
3,"Oklahoma","11-2",1252,"7","brett-mcmurphy",16
4,"USC","10-3",1292,"9","brett-mcmurphy",16
5,"Washington","12-2",1277,"4","brett-mcmurphy",16
6,"Ohio State","11-2",1240,"2","brett-mcmurphy",16
7,"Florida State","10-3",1105,"10","brett-mcmurphy",16
8,"Penn State","11-3",1130,"5","brett-mcmurphy",16
9,"Michigan","10-3",1001,"6","brett-mcmurphy",16
10,"Wisconsin","11-3",1032,"8","brett-mcmurphy",16
