"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 12",1,"Alabama",61,"10-0","SEC","1",1525
"Week 12",2,"Ohio State",,"9-1","Big Ten","6",1455
"Week 12",3,"Louisville",,"9-1","ACC","5",1357
"Week 12",4,"Michigan",,"9-1","Big Ten","2",1323
"Week 12",5,"Clemson",,"9-1","ACC","3",1304
"Week 12",6,"Wisconsin",,"8-2","Big Ten","7",1214
"Week 12",7,"Washington",,"9-1","Pac-12","4",1150
"Week 12",8,"Oklahoma",,"8-2","Big 12","9",1064
"Week 12",9,"Penn State",,"8-2","Big Ten","12",961
"Week 12",10,"West Virginia",,"8-1","Big 12","11",920
"Week 12",11,"Utah",,"8-2","Pac-12","13",807
"Week 12",12,"Colorado",,"8-2","Pac-12","16",797
"Week 12",13,"Oklahoma State",,"8-2","Big 12","17",659
"Week 12",14,"Western Michigan",,"10-0","Mid-American","14",634
"Week 12",15,"USC",,"7-3","Pac-12","-",584
"Week 12",16,"LSU",,"6-3","SEC","19",582
"Week 12",17,"Florida State",,"7-3","ACC","20",569
"Week 12",18,"Auburn",,"7-3","SEC","8",543
"Week 12",19,"Nebraska",,"8-2","Big Ten","21",504
"Week 12",20,"Washington State",,"8-2","Pac-12","23",501
"Week 12",21,"Florida",,"7-2","SEC","22",435
"Week 12",22,"Boise State",,"9-1","Mountain West","24",315
"Week 12",23,"Texas A&M",,"7-3","SEC","10",238
"Week 12",24,"San Diego State",,"9-1","Mountain West","-",97
"Week 12",25,"Troy",,"8-1","Sun Belt","-",63
