"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 6",1,"Alabama",53,"5-0","SEC","1",1514
"Week 6",2,"Ohio State",6,"4-0","Big Ten","2",1451
"Week 6",3,"Clemson",1,"5-0","ACC","5",1403
"Week 6",4,"Michigan",1,"5-0","Big Ten","4",1334
"Week 6",5,"Washington",,"5-0","Pac-12","10",1234
"Week 6",6,"Houston",,"5-0","The American","6",1233
"Week 6",7,"Louisville",,"4-1","ACC","3",1160
"Week 6",8,"Texas A&M",,"5-0","SEC","9",1113
"Week 6",9,"Tennessee",,"5-0","SEC","11",1045
"Week 6",10,"Miami (FL)",,"4-0","ACC","14",909
"Week 6",11,"Wisconsin",,"4-1","Big Ten","8",882
"Week 6",12,"Nebraska",,"5-0","Big Ten","15",821
"Week 6",13,"Baylor",,"5-0","Big 12","13",805
"Week 6",14,"Mississippi",,"3-2","SEC","16",712
"Week 6",15,"Stanford",,"3-1","Pac-12","7",711
"Week 6",16,"Arkansas",,"4-1","SEC","20",528
"Week 6",17,"North Carolina",,"4-1","ACC","-",497
"Week 6",18,"Florida",,"4-1","SEC","23",391
"Week 6",19,"Boise State",,"4-0","Mountain West","24",385
"Week 6",20,"Oklahoma",,"2-2","Big 12","-",324
"Week 6",21,"Colorado",,"4-1","Pac-12","-",276
"Week 6",22,"West Virginia",,"4-0","Big 12","-",240
"Week 6",23,"Florida State",,"3-2","ACC","12",230
"Week 6",24,"Utah",,"4-1","Pac-12","18",86
"Week 6",25,"Virginia Tech",,"3-1","ACC","-",85
