"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 7",1,"Alabama",56,"6-0","SEC","1",1520
"Week 7",2,"Ohio State",2,"5-0","Big Ten","2",1444
"Week 7",3,"Clemson",2,"6-0","ACC","3",1406
"Week 7",4,"Michigan",1,"6-0","Big Ten","4",1339
"Week 7",5,"Washington",,"6-0","Pac-12","5",1286
"Week 7",6,"Texas A&M",,"6-0","SEC","8",1202
"Week 7",7,"Louisville",,"4-1","ACC","7",1193
"Week 7",8,"Wisconsin",,"4-1","Big Ten","11",1020
"Week 7",9,"Tennessee",,"5-1","SEC","9",962
"Week 7",10,"Nebraska",,"5-0","Big Ten","12",958
"Week 7",11,"Baylor",,"5-0","Big 12","13",934
"Week 7",12,"Mississippi",,"3-2","SEC","14",800
"Week 7",13,"Houston",,"5-1","The American","6",701
"Week 7",14,"Florida State",,"4-2","ACC","23",628
"Week 7",15,"Boise State",,"5-0","Mountain West","19",590
"Week 7",16,"Miami (FL)",,"4-1","ACC","10",576
"Week 7",17,"Virginia Tech",,"4-1","ACC","25",546
"Week 7",18,"Florida",,"4-1","SEC","18",483
"Week 7",19,"Oklahoma",,"3-2","Big 12","20",476
"Week 7",20,"West Virginia",,"4-0","Big 12","22",424
"Week 7",21,"Utah",,"5-1","Pac-12","24",287
"Week 7",22,"Arkansas",,"4-2","SEC","16",203
"Week 7",23,"Auburn",,"4-2","SEC","-",166
"Week 7",24,"Western Michigan",,"6-0","Mid-American","-",154
"Week 7",25,"Navy",,"4-1","The American","-",122
