"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","9-0",1524,"Week 11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"Michigan","9-0",1432,"Week 11",2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,4,3,2,2,3,2,2,2,2,3,2,3,3,2,2,2,3,2,4,2,2,3,2,2,3,3,3,3,2,3,3,2,3,2,3,4,2,2,2,3,3,2,1,2,3,3,4
"Clemson","9-0",1408,"Week 11",3,2,3,3,2,3,3,2,4,2,3,3,2,4,2,2,4,3,3,4,3,4,4,3,2,3,2,4,3,4,3,2,3,2,3,3,2,3,4,2,2,2,2,4,4,2,3,2,4,2,3,3,4,4,2,4,4,3,3,2,4,2
"Washington","9-0",1364,"Week 11",4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5,2,4,4,2,4,3,3,4,5,4,4,2,4,3,4,5,4,3,4,4,4,4,3,4,4,4,4,3,2,4,4,4,3,4,2,4,3,3,5,2,3,5,4,4,2,3
"Louisville","8-1",1255,"Week 11",5,5,5,6,6,5,5,5,6,6,6,5,6,6,5,3,5,6,5,6,6,6,5,5,6,5,5,5,6,5,5,8,5,6,6,6,5,6,5,5,6,5,6,5,5,5,5,5,5,6,7,6,5,5,6,7,5,4,5,5,5,5
"Ohio State","8-1",1245,"Week 11",6,6,6,5,5,6,6,6,5,5,5,6,5,5,6,6,6,5,6,5,5,5,6,6,4,6,6,6,5,6,6,4,6,8,5,5,6,5,6,6,5,6,5,6,6,6,6,6,6,5,5,5,6,6,4,5,6,6,6,6,6,6
"Wisconsin","7-2",1159,"Week 11",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,8,7,7,7,7,6,7,5,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7
"Auburn","7-2",1081,"Week 11",8,9,8,9,8,9,8,8,9,8,8,8,9,8,8,8,8,8,8,9,8,7,8,8,9,9,7,8,8,8,8,7,9,9,8,9,9,9,8,11,8,8,8,8,8,7,8,8,8,8,8,10,8,8,9,8,8,9,9,8,8,8
"Oklahoma","7-2",996,"Week 11",9,8,16,8,12,8,9,9,8,9,9,9,8,9,9,10,11,9,10,8,10,10,16,9,12,8,9,9,10,9,9,9,8,11,11,8,8,8,9,8,9,9,11,9,12,13,10,9,9,10,9,9,11,10,8,15,10,8,8,9,11,11
"Texas A&M","7-2",820,"Week 11",10,13,11,13,14,15,12,14,10,10,12,10,13,11,11,11,10,16,11,16,13,14,9,13,8,14,13,11,12,13,12,10,12,15,16,12,11,12,17,14,12,12,13,19,10,11,11,17,14,11,14,13,12,17,12,12,12,13,14,13,10,10
