"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"West Virginia","7-1",805,"Week 11",11,10,10,21,15,12,11,11,14,11,11,12,10,15,14,15,19,10,15,11,9,11,14,20,15,10,19,12,11,10,14,23,10,,13,17,10,11,10,16,10,10,10,10,9,8,9,16,16,24,10,16,9,14,10,14,9,10,11,10,9,9
"Penn State","7-2",752,"Week 11",12,19,14,20,9,13,16,10,12,23,18,11,11,16,12,13,9,18,9,10,11,9,11,18,10,12,10,14,9,19,10,11,21,7,9,11,16,14,11,18,16,11,9,23,16,9,15,10,11,9,16,8,16,12,19,17,19,16,18,17,14,19
"Utah","7-2",686,"Week 11",13,11,12,14,11,23,19,13,15,12,14,15,17,10,18,17,16,11,16,24,17,12,18,12,14,13,20,10,15,12,11,17,11,12,19,20,14,10,22,20,11,17,16,17,14,12,12,11,19,12,13,22,10,18,23,11,14,14,12,11,12,12
"Western Michigan","9-0",583,"Week 11",14,15,20,15,16,11,13,16,19,14,15,18,12,13,16,24,14,12,12,14,14,15,12,15,22,17,17,22,21,22,20,22,20,21,10,13,22,17,16,15,13,16,14,15,15,20,14,18,18,22,12,17,18,15,20,23,11,11,15,14,25,15
"North Carolina","7-2",559,"Week 11",15,22,21,18,17,18,20,,11,19,17,16,18,23,10,18,18,13,20,13,20,16,24,10,16,16,11,13,16,18,17,18,13,17,20,10,13,16,15,19,14,14,21,22,18,23,21,13,22,15,11,15,20,11,14,9,15,22,17,16,21,17
"Colorado","7-2",550,"Week 11",16,12,18,19,10,16,18,12,16,16,13,14,16,18,17,23,20,20,13,23,12,17,17,16,23,11,12,23,13,24,15,12,15,18,14,,15,18,12,17,15,22,22,11,13,24,25,15,10,21,19,14,23,13,15,10,21,24,20,19,18,18
"Oklahoma State","7-2",516,"Week 11",17,25,22,10,21,10,10,19,13,20,10,13,23,14,13,19,25,22,14,,18,25,13,24,11,15,15,17,18,21,13,20,16,25,12,16,17,24,13,10,20,23,23,21,20,21,18,20,20,19,17,21,13,9,16,13,22,21,10,23,15,13
"Virginia Tech","7-2",479,"Week 11",18,23,17,23,20,19,17,18,,18,20,21,14,22,15,20,13,23,19,12,23,23,20,,17,19,16,16,14,23,16,14,18,14,18,18,12,19,14,,21,13,20,24,17,19,20,12,21,14,15,12,22,19,11,20,20,23,13,15,16,14
"LSU","5-3",454,"Week 11",19,16,15,11,13,25,23,20,23,17,19,17,19,12,25,12,21,15,17,,21,13,10,17,13,21,,15,17,20,18,21,19,13,15,23,18,15,,13,17,15,17,18,,25,13,25,17,18,25,19,15,22,18,18,16,17,,25,19,21
"Florida State","6-3",450,"Week 11",20,21,13,12,,21,,22,17,15,23,20,24,17,23,9,12,14,21,18,15,20,21,11,18,22,21,19,20,11,24,16,14,10,23,15,19,13,25,9,18,20,15,20,11,,22,22,13,17,24,25,24,,13,19,23,12,19,21,24,22
"Nebraska","7-2",434,"Week 11",21,14,19,17,18,14,,15,24,24,16,19,15,19,20,14,15,17,23,20,,19,15,22,20,23,24,21,22,15,19,15,23,16,17,,,22,18,24,23,19,12,12,25,14,16,19,23,13,22,20,14,21,17,22,13,15,21,12,17,20
"Florida","6-2",390,"Week 11",22,18,9,16,25,17,22,25,22,13,25,22,20,25,19,16,24,19,18,17,16,18,19,21,21,18,18,25,25,14,22,19,17,,22,25,21,21,19,12,25,18,18,14,23,16,17,,15,,21,18,17,20,24,,18,18,16,20,13,16
"Washington State","7-2",305,"Week 11",23,17,23,22,22,20,15,17,18,,22,23,22,20,21,22,,25,22,22,22,24,22,,24,20,14,18,19,16,23,24,24,20,24,19,20,20,23,,19,21,,,19,22,23,14,12,20,18,11,19,16,21,21,25,19,24,,22,24
"Boise State","8-1",226,"Week 11",24,20,25,24,19,24,14,21,,21,21,24,21,21,22,21,,24,,15,19,22,,19,,24,23,20,23,17,25,,22,,,14,25,23,24,22,22,24,24,16,22,15,24,24,,,20,24,21,24,22,,17,20,23,24,,23
"Baylor","6-2",90,"Week 11",25,,,,,,24,,25,22,,25,,,24,,,21,,,,21,,23,19,,,,,,,,,,,22,,,20,23,,,19,13,,17,19,,,,,23,25,,25,,24,,22,,,
"USC","6-3",76,"Week 11",,24,,,,,,23,21,,,,,,,,22,,,,,,,14,25,,,,,25,,,,19,,21,23,25,,,,,,,21,,,21,24,16,,,,,,16,,,,,,
"Arkansas","6-3",74,"Week 11",,,,,23,,21,24,20,,,,,24,,25,23,,,,24,,23,,,,22,24,24,,21,13,25,,21,,,,,21,,,,,,,,,,23,,,,,,25,,,,,20,
"San Diego State","8-1",38,"Week 11",,,,25,24,,25,,,25,24,,25,,,,,,24,21,25,,,25,,25,,,,,,,,24,25,,,,,,,,,,24,,,,25,,23,,,23,,24,,,25,22,,25
"Troy","7-1",28,"Week 11",,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,24,,21,,24,,,,,,,,,25,,,,,,,,25,,18,23,
"Houston","7-2",25,"Week 11",,,,,,22,,,,,,,,,,,17,,,19,,,,,,,,,,,,,,,,,,,,25,,,,25,,,,23,,,,,,,,,,,,,,
"Tennessee","6-3",9,"Week 11",,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
"South Florida","7-2",3,"Week 11",,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tulsa","7-2",3,"Week 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota","7-2",2,"Week 11",,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
"Navy","6-2",2,"Week 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
"Wyoming","7-2",2,"Week 11",,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,
