"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Boise State","6-0",694,"Week 8",14,16,18,14,17,16,10,12,13,13,15,12,13,11,12,21,17,16,13,11,14,15,21,19,19,20,12,18,18,14,12,15,13,20,14,7,11,12,12,10,23,13,17,18,12,10,15,12,16,17,13,14,14,13,11,13,16,19,16,12,20,12
"Florida","5-1",626,"Week 8",15,15,22,12,14,11,11,16,14,11,19,14,16,18,14,17,,14,16,13,12,16,17,16,12,10,17,15,19,13,17,12,17,17,15,20,16,15,14,15,18,17,19,14,24,13,20,22,15,24,19,15,12,9,19,20,14,20,14,11,13,10
"Oklahoma","4-2",612,"Week 8",16,19,12,10,,14,19,18,9,15,13,16,17,15,15,16,13,15,19,14,19,18,14,12,13,15,18,16,16,18,16,10,11,11,20,21,17,13,20,13,15,12,13,20,22,24,13,15,14,13,17,19,13,15,15,22,15,14,15,17,19,
"Arkansas","5-2",584,"Week 8",17,11,14,16,18,18,20,19,16,12,17,19,12,16,16,11,18,18,14,18,17,17,18,13,17,17,14,19,17,16,18,,9,13,21,24,14,18,15,20,17,19,12,13,15,18,17,16,19,14,12,18,16,16,24,23,11,13,20,14,15,14
"Tennessee","5-2",550,"Week 8",18,18,17,18,10,19,14,15,18,19,18,17,18,17,18,12,12,13,15,23,,12,12,15,,19,16,14,14,12,24,23,12,15,17,18,15,14,18,24,14,16,18,10,23,12,16,18,17,15,23,13,20,18,18,19,22,18,17,18,18,16
"Utah","6-1",479,"Week 8",19,17,19,19,19,21,17,14,20,18,16,18,19,19,22,,21,19,18,15,16,19,20,20,16,16,20,23,12,17,13,16,21,23,16,22,22,19,13,19,19,18,20,15,16,15,22,20,18,18,16,17,18,11,20,18,18,23,18,20,14,13
"Western Michigan","7-0",285,"Week 8",20,23,24,23,16,20,21,20,24,20,24,22,20,20,24,25,16,23,20,22,20,22,15,18,24,22,23,24,,24,21,22,24,22,13,14,19,24,21,18,20,24,23,22,20,21,23,21,22,25,21,20,22,23,23,24,20,24,19,19,24,18
"Auburn","4-2",277,"Week 8",21,25,,15,25,22,24,23,17,23,21,21,21,23,20,19,20,22,22,19,24,,19,22,18,,22,21,21,20,23,,23,19,23,,,23,22,,21,21,21,21,14,,11,11,21,19,20,24,23,,21,16,24,17,23,23,16,
"North Carolina","5-2",254,"Week 8",22,22,,24,20,24,22,,22,,25,23,,25,23,22,24,21,25,21,21,25,,14,20,18,19,22,20,25,19,18,19,24,18,10,20,22,19,22,22,22,24,,25,22,25,17,,23,18,21,19,21,22,14,23,25,21,22,,20
"Mississippi","3-3",188,"Week 8",23,20,23,17,21,,,,21,22,20,20,,21,19,14,,20,,25,25,,22,25,,,,20,,21,,,,14,,,23,21,,,24,20,15,24,,,18,,,20,,23,24,,17,,19,15,,21,22,
"Navy","4-1",163,"Week 8",24,24,25,,,15,15,22,,21,,,23,24,,,22,25,21,20,18,,,23,,23,24,,,,14,20,18,,24,15,,25,25,,25,23,,25,18,25,24,13,,,22,25,25,22,,,25,21,22,,,24
"LSU","4-2",123,"Week 8",25,,,,,,,,,25,,,22,,,20,,,24,,22,,24,,22,,25,17,23,,,,,16,,,,20,,16,16,,22,,17,,21,,24,22,,,,,16,17,,,25,24,21,
"Colorado","5-2",110,"Week 8",,,21,25,24,23,25,24,25,24,23,25,24,,,,,24,23,,23,23,25,,25,21,,,22,,,21,16,21,22,,21,,,25,,,25,23,21,,,,20,,,,,,25,15,21,,,,,23
"Miami","4-2",69,"Week 8",,,16,,,25,,,23,,,24,,,,23,25,,,,,21,,,21,,21,,,23,,,,,,17,,,24,,,25,,19,,23,,,,,25,,,,,,,,,25,23,22
"Oklahoma State","4-2",47,"Week 8",,,,21,,,,,,,22,,,,,,,,,,,,,,23,24,,,,,22,17,,,,,,,,17,,,,,,,,,,,,22,21,,,,,,24,,,
"Washington State","4-2",39,"Week 8",,,20,,,,23,21,,,,,25,22,,,,,,,,,,,,,,,,22,,25,25,,,25,,,,,,,,,,,,,23,,,,,20,,,,22,,,,
"Virginia Tech","4-2",38,"Week 8",,21,,,,,,,,,,,,,25,,23,,,,,20,,,,,,,24,,,,,,,23,,,23,,,,,,,,,,,21,24,,,,,25,,,,,,19
"South Florida","6-1",31,"Week 8",,,,,22,,,25,,,,,,,21,,19,,,24,,,23,,,25,,,25,,,,,,25,,24,,,,,,,,,,,24,,,,,,25,,,,,,,,25
"Stanford","4-2",15,"Week 8",,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,25,,,21,,,,,,19,,,,,,,,,,,,,,,,
"Iowa","5-2",7,"Week 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona State","5-2",6,"Week 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
"USC","4-3",5,"Week 8",,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina State","4-2",4,"Week 8",,,,,,,,,,,,,,,,24,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
"San Diego State","5-1",3,"Week 8",,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh","5-2",2,"Week 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
"TCU","4-2",1,"Week 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,
"Troy","5-1",1,"Week 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,
