"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","7-0",1524,"Week 8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"Ohio State","6-0",1457,"Week 8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
"Michigan","6-0",1368,"Week 8",3,4,3,3,4,3,4,6,4,3,3,3,3,3,4,5,6,3,3,4,4,3,3,2,3,4,4,4,4,4,3,3,5,3,3,3,4,3,5,4,4,4,2,5,4,4,3,3,3,3,4,3,4,4,3,3,3,1,3,4,4,5
"Clemson","7-0",1337,"Week 8",4,3,5,4,3,4,3,4,3,4,6,4,4,5,2,2,4,4,4,5,3,4,5,4,4,3,3,5,3,5,5,5,3,5,4,5,3,5,3,3,3,3,5,3,6,3,5,5,7,5,5,5,3,3,5,5,5,4,4,3,6,3
"Washington","6-0",1304,"Week 8",5,5,4,5,6,5,5,3,5,6,4,5,5,4,6,6,3,5,6,3,5,6,4,6,5,5,6,3,5,3,6,4,8,2,6,4,5,4,4,5,5,5,4,4,3,5,4,4,4,4,3,4,5,6,4,4,4,6,5,5,3,4
"Texas A&M","6-0",1218,"Week 8",6,6,7,7,7,6,6,5,7,5,5,6,6,6,7,7,5,6,5,6,7,5,7,7,6,6,5,7,7,7,4,6,4,7,5,6,6,6,7,6,6,7,6,6,5,6,6,6,5,7,6,6,6,5,6,6,7,7,6,6,5,6
"Louisville","5-1",1168,"Week 8",7,7,6,6,5,7,7,7,6,7,7,7,7,7,5,4,7,7,7,9,6,7,6,5,7,7,7,6,6,6,7,7,6,12,7,9,7,7,6,7,8,6,7,7,7,7,7,7,8,6,7,7,7,7,8,7,6,5,8,8,7,8
"Nebraska","6-0",1037,"Week 8",8,8,10,9,11,8,8,8,10,9,9,11,8,9,9,13,10,8,8,7,8,9,10,8,10,8,8,12,8,9,8,9,14,8,8,11,8,9,8,9,7,8,10,12,11,8,8,8,9,9,8,10,9,8,10,9,9,9,7,7,9,9
"Baylor","6-0",1021,"Week 8",9,9,9,11,9,9,9,9,8,8,8,8,10,13,8,9,15,9,9,8,9,11,9,10,8,9,10,10,9,10,9,8,20,9,10,8,9,8,9,8,9,9,9,9,8,9,9,9,6,10,9,8,8,10,7,12,8,10,10,10,8,7
"Wisconsin","4-2",935,"Week 8",10,10,8,8,8,10,13,10,11,10,10,10,9,8,11,8,8,10,12,16,10,8,8,9,15,13,9,8,11,8,10,14,7,6,11,19,10,11,16,12,11,10,8,8,10,11,10,10,10,8,10,9,17,17,13,10,13,8,12,9,17,15
"Houston","6-1",766,"Week 8",11,14,11,20,12,13,16,17,15,14,12,13,15,14,10,18,9,11,10,10,11,10,13,11,9,12,15,13,10,11,15,11,10,25,12,16,13,17,11,11,10,11,11,17,19,17,12,14,13,12,15,12,15,19,14,21,10,11,9,16,11,21
"West Virginia","5-0",744,"Week 8",12,13,15,22,15,12,12,11,19,17,11,9,14,12,13,10,14,17,11,17,13,14,16,21,14,11,11,11,15,19,11,13,22,18,9,13,12,10,10,23,12,14,16,16,9,16,14,19,12,16,11,16,11,12,9,11,17,16,11,13,10,11
"Florida State","5-2",733,"Week 8",13,12,13,13,13,17,18,13,12,16,14,15,11,10,17,15,11,12,17,12,15,13,11,17,11,14,13,9,13,15,20,,15,10,19,12,18,16,17,14,13,15,14,11,13,14,19,23,11,11,14,11,10,14,12,8,12,12,13,15,12,17
