"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","8-0",1524,"1","ap","Week 10"
2,"Michigan","8-0",1435,"2","ap","Week 10"
3,"Clemson","8-0",1401,"3","ap","Week 10"
4,"Washington","8-0",1369,"4","ap","Week 10"
5,"Louisville","7-1",1262,"5","ap","Week 10"
6,"Ohio State","7-1",1207,"6","ap","Week 10"
7,"Texas A&M","7-1",1150,"9","ap","Week 10"
8,"Wisconsin","6-2",1122,"11","ap","Week 10"
9,"Nebraska","7-1",951,"7","ap","Week 10"
10,"Florida","6-1",929,"14","ap","Week 10"
11,"Auburn","6-2",927,"15","ap","Week 10"
12,"Oklahoma","6-2",835,"16","ap","Week 10"
13,"Baylor","6-1",693,"8","ap","Week 10"
14,"West Virginia","6-1",620,"10","ap","Week 10"
15,"LSU","5-2",586,"19","ap","Week 10"
16,"Utah","7-2",506,"17","ap","Week 10"
17,"Western Michigan","8-0",481,"20","ap","Week 10"
18,"North Carolina","6-2",423,"21","ap","Week 10"
19,"Florida State","5-3",409,"12","ap","Week 10"
20,"Penn State","6-2",390,"24","ap","Week 10"
21,"Colorado","6-2",375,"23","ap","Week 10"
22,"Oklahoma State","6-2",355,"-","ap","Week 10"
23,"Virginia Tech","6-2",345,"25","ap","Week 10"
24,"Boise State","7-1",203,"13","ap","Week 10"
25,"Washington State","6-2",139,"-","ap","Week 10"
1,"Alabama","8-0",1524,"1","adam-jude","Week 10"
2,"Clemson","8-0",1401,"3","adam-jude","Week 10"
3,"Michigan","8-0",1435,"2","adam-jude","Week 10"
4,"Washington","8-0",1369,"4","adam-jude","Week 10"
5,"Louisville","7-1",1262,"5","adam-jude","Week 10"
6,"Texas A&M","7-1",1150,"9","adam-jude","Week 10"
7,"Ohio State","7-1",1207,"6","adam-jude","Week 10"
8,"Wisconsin","6-2",1122,"11","adam-jude","Week 10"
9,"Florida","6-1",929,"14","adam-jude","Week 10"
10,"Nebraska","7-1",951,"7","adam-jude","Week 10"
11,"Baylor","6-1",693,"8","adam-jude","Week 10"
12,"West Virginia","6-1",620,"10","adam-jude","Week 10"
13,"Auburn","6-2",927,"15","adam-jude","Week 10"
14,"Oklahoma","6-2",835,"16","adam-jude","Week 10"
15,"LSU","5-2",586,"19","adam-jude","Week 10"
16,"Colorado","6-2",375,"23","adam-jude","Week 10"
17,"Utah","7-2",506,"17","adam-jude","Week 10"
18,"Western Michigan","8-0",481,"20","adam-jude","Week 10"
19,"Florida State","5-3",409,"12","adam-jude","Week 10"
20,"Boise State","7-1",203,"13","adam-jude","Week 10"
21,"North Carolina","6-2",423,"21","adam-jude","Week 10"
22,"Virginia Tech","6-2",345,"25","adam-jude","Week 10"
23,"USC","5-3",40,"-","adam-jude","Week 10"
24,"Penn State","6-2",390,"24","adam-jude","Week 10"
25,"Oklahoma State","6-2",355,"-","adam-jude","Week 10"
1,"Alabama","8-0",1524,"1","adam-zucker","Week 10"
2,"Michigan","8-0",1435,"2","adam-zucker","Week 10"
3,"Washington","8-0",1369,"4","adam-zucker","Week 10"
4,"Clemson","8-0",1401,"3","adam-zucker","Week 10"
5,"Louisville","7-1",1262,"5","adam-zucker","Week 10"
6,"Ohio State","7-1",1207,"6","adam-zucker","Week 10"
7,"Texas A&M","7-1",1150,"9","adam-zucker","Week 10"
8,"Wisconsin","6-2",1122,"11","adam-zucker","Week 10"
9,"Auburn","6-2",927,"15","adam-zucker","Week 10"
10,"Nebraska","7-1",951,"7","adam-zucker","Week 10"
11,"Florida","6-1",929,"14","adam-zucker","Week 10"
12,"West Virginia","6-1",620,"10","adam-zucker","Week 10"
13,"Utah","7-2",506,"17","adam-zucker","Week 10"
14,"Florida State","5-3",409,"12","adam-zucker","Week 10"
15,"LSU","5-2",586,"19","adam-zucker","Week 10"
16,"Colorado","6-2",375,"23","adam-zucker","Week 10"
17,"Oklahoma","6-2",835,"16","adam-zucker","Week 10"
18,"Baylor","6-1",693,"8","adam-zucker","Week 10"
19,"Virginia Tech","6-2",345,"25","adam-zucker","Week 10"
20,"Western Michigan","8-0",481,"20","adam-zucker","Week 10"
21,"Penn State","6-2",390,"24","adam-zucker","Week 10"
22,"Boise State","7-1",203,"13","adam-zucker","Week 10"
23,"North Carolina","6-2",423,"21","adam-zucker","Week 10"
24,"Washington State","6-2",139,"-","adam-zucker","Week 10"
25,"Troy","6-1",20,"-","adam-zucker","Week 10"
1,"Alabama","8-0",1524,"1","andy-greder","Week 10"
2,"Michigan","8-0",1435,"2","andy-greder","Week 10"
3,"Clemson","8-0",1401,"3","andy-greder","Week 10"
4,"Washington","8-0",1369,"4","andy-greder","Week 10"
5,"Louisville","7-1",1262,"5","andy-greder","Week 10"
6,"Ohio State","7-1",1207,"6","andy-greder","Week 10"
7,"Wisconsin","6-2",1122,"11","andy-greder","Week 10"
8,"Oklahoma","6-2",835,"16","andy-greder","Week 10"
9,"Texas A&M","7-1",1150,"9","andy-greder","Week 10"
10,"Florida","6-1",929,"14","andy-greder","Week 10"
