"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Boise State","2-0",42,"Week 3",,,,,,,,,,,,,,,,,20,,,,,,,,,,,23,,,25,,24,,,18,,,,20,,,,,,,,,25,,20,,22,,,21,,,,,,
"Pittsburgh","2-0",39,"Week 3",,,22,,,,,,,,,,,,,,,,25,,,,,,,,,,,21,,,,,,20,,,,25,,,,,,,,22,,24,,22,,,,25,18,,,23,,
"Oklahoma State","1-1",22,"Week 3",,,,24,,,,,,,,,,,,,,23,,21,,,,,23,,,,,,,,19,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
"Nebraska","2-0",11,"Week 3",,25,,,,,,,,,,,,,,,,,,,,,,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
"North Carolina","1-1",10,"Week 3",,,,25,,,,25,,,,,,24,,,,,,,,25,,,,,,,,,,,,,,,,,,,,25,22,,,,,,,,,,,,,,,,,,,
"Auburn","1-1",7,"Week 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,24,,,,
"Central Michigan","2-0",4,"Week 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado","2-0",2,"Week 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
"Arizona State","2-0",1,"Week 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
"Cincinnati","2-0",1,"Week 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
