"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","5-0",1514,"Week 6",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1
"Ohio State","4-0",1451,"Week 6",2,2,2,2,1,2,2,3,3,2,2,2,2,2,3,3,1,2,4,3,2,2,2,3,2,2,4,2,3,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,1,3,2,3,2,1,2,4,2,3,2,2
"Clemson","5-0",1403,"Week 6",3,3,3,4,3,4,3,2,2,3,3,3,3,3,2,1,5,4,2,2,3,3,4,4,3,4,2,3,2,3,3,2,4,3,4,2,3,4,3,3,3,3,4,3,3,2,3,4,3,3,3,2,3,2,3,3,3,5,3,2,3,3
"Michigan","5-0",1334,"Week 6",4,4,4,3,4,3,4,7,4,5,4,4,4,4,4,6,6,3,3,4,5,4,3,2,4,5,3,5,4,7,4,3,3,5,3,5,4,3,5,4,4,4,3,5,7,4,4,2,4,4,4,4,4,4,5,4,4,1,5,4,6,5
"Washington","5-0",1234,"Week 6",5,5,6,5,6,6,6,6,7,4,5,5,5,5,7,7,4,6,6,6,6,6,6,7,6,6,8,6,7,6,6,8,5,7,7,6,6,5,4,5,5,6,5,4,6,5,5,6,5,5,6,6,6,5,4,5,7,7,6,6,8,4
"Houston","5-0",1233,"Week 6",6,6,5,6,8,5,5,9,6,6,6,6,6,7,6,5,3,5,5,5,4,7,7,6,7,3,9,4,5,5,5,9,6,4,5,4,5,7,6,6,6,5,7,6,5,7,6,5,6,8,7,7,5,6,6,9,6,3,4,5,4,6
"Louisville","4-1",1160,"Week 6",7,9,7,7,5,7,7,4,5,9,8,7,7,6,5,4,8,9,7,9,7,5,5,5,5,9,7,7,6,4,7,4,9,6,12,7,7,6,7,7,10,7,6,7,4,6,8,8,12,7,5,8,7,10,9,6,5,6,9,7,7,10
"Texas A&M","5-0",1113,"Week 6",8,7,8,11,7,8,9,5,11,8,7,8,8,8,8,10,7,7,8,7,8,8,8,8,8,7,5,8,8,8,8,6,7,9,6,8,8,8,9,8,7,8,8,8,8,9,7,7,7,6,8,10,8,7,7,8,9,8,8,8,5,7
"Tennessee","5-0",1045,"Week 6",9,8,9,9,9,9,8,8,8,7,9,9,9,11,9,11,10,8,9,8,9,9,9,9,9,8,6,9,9,9,9,11,8,13,8,10,9,9,8,9,8,10,11,9,10,8,9,9,8,9,9,5,9,8,10,7,8,9,7,9,10,11
"Miami","4-0",909,"Week 6",10,14,10,13,11,11,10,11,9,13,10,10,11,9,11,8,11,11,10,11,12,10,11,13,12,10,10,12,13,11,10,16,12,11,10,9,15,12,11,14,13,9,10,12,9,13,15,13,10,12,10,12,10,11,8,11,11,10,12,10,9,9
"Wisconsin","4-1",882,"Week 6",11,13,13,8,10,10,13,10,13,12,11,11,10,10,12,12,9,13,13,15,10,13,10,10,10,13,13,10,11,10,12,7,15,8,13,15,12,11,13,12,11,11,9,10,12,12,10,10,14,10,11,13,12,13,13,10,13,13,14,11,12,14
"Nebraska","5-0",821,"Week 6",12,12,12,12,12,15,11,12,16,11,14,15,13,12,15,14,13,12,11,10,11,11,13,11,14,11,11,15,10,16,11,17,14,15,9,16,10,13,12,11,9,14,18,13,14,10,12,11,11,15,12,11,11,12,14,13,12,14,11,12,11,12
