"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","8-0",1524,"Week 9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"Michigan","7-0",1446,"Week 9",2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,4,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,1,2,3,3,4
"Clemson","7-0",1382,"Week 9",3,2,4,3,4,3,4,2,4,3,4,3,3,4,2,2,4,3,3,4,3,4,4,3,3,3,2,4,3,4,3,4,3,4,3,4,2,4,4,2,3,3,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3,3,2,4,2
"Washington","7-0",1373,"Week 9",4,4,3,4,3,4,3,4,3,4,3,4,4,3,5,5,2,4,4,2,4,3,3,5,5,4,4,2,4,3,4,3,7,2,4,3,4,3,3,4,4,4,3,3,2,4,3,3,3,3,2,3,3,4,3,3,3,5,4,4,2,3
"Louisville","6-1",1276,"Week 9",5,5,5,5,6,5,5,5,5,5,5,5,5,5,4,3,5,5,5,6,5,5,5,4,4,5,5,5,5,5,5,5,4,6,7,9,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6
"Ohio State","6-1",1143,"Week 9",6,9,8,6,5,9,8,6,6,8,7,6,6,7,8,7,6,8,9,8,9,6,6,8,7,9,6,7,6,6,10,8,5,11,9,5,7,7,6,6,8,7,8,7,6,7,10,10,6,6,6,9,7,8,6,6,8,6,8,6,7,10
"Nebraska","7-0",1083,"Week 9",7,6,7,8,10,6,6,8,10,9,10,9,9,10,7,14,9,6,6,5,8,7,11,6,9,6,7,12,8,9,6,9,13,8,5,11,6,10,8,8,5,6,7,8,11,10,7,8,9,9,8,11,9,6,10,11,7,9,6,7,10,7
"Baylor","6-0",1063,"Week 9",8,7,9,11,11,7,9,11,7,6,9,7,11,13,6,8,15,7,7,7,6,11,10,7,6,8,8,11,9,10,8,6,22,9,8,7,8,6,9,7,9,8,6,11,8,6,8,9,7,10,7,8,6,7,7,15,6,10,7,11,8,5
"Texas A&M","6-1",1007,"Week 9",9,11,10,10,7,10,7,10,8,7,8,11,7,6,11,9,8,11,8,16,13,8,7,11,10,10,11,10,10,8,9,12,8,7,11,8,11,8,10,19,7,9,10,5,9,8,11,12,12,8,14,7,13,10,8,7,11,7,11,9,6,9
"West Virginia","6-0",997,"Week 9",10,8,6,19,9,11,11,7,11,13,6,8,8,9,10,6,10,10,10,10,7,10,9,20,8,7,9,6,11,11,7,10,16,17,6,12,9,9,7,14,10,11,12,10,7,11,6,7,8,11,10,6,8,11,9,9,9,12,10,8,9,8
"Wisconsin","5-2",980,"Week 9",11,10,11,7,8,8,12,9,12,10,11,10,10,8,9,10,7,9,11,12,10,9,8,10,11,12,10,8,7,7,11,7,6,5,10,18,10,11,11,10,12,10,9,9,10,12,9,11,10,7,9,10,12,17,11,10,10,8,9,10,12,14
"Florida State","5-2",725,"Week 9",12,12,15,13,12,16,18,14,14,16,13,13,12,12,15,15,11,12,14,13,14,12,15,16,,13,12,9,13,15,12,,14,12,20,13,16,16,15,12,15,14,13,15,16,15,15,21,11,13,13,12,10,15,13,8,12,11,12,14,15,17
