"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Boise State","7-0",716,"Week 9",13,15,18,15,14,15,10,12,17,12,15,12,13,14,12,19,17,15,12,9,12,13,20,18,16,19,13,18,18,14,13,15,12,19,13,6,12,12,12,9,22,13,14,12,15,9,14,14,19,19,11,13,15,14,12,14,14,16,15,13,20,12
"Florida","5-1",654,"Week 9",14,13,14,12,13,12,16,16,15,11,18,15,14,17,13,17,24,13,15,15,11,14,17,15,12,11,14,16,20,13,16,13,19,18,16,20,14,15,14,13,18,16,17,16,22,14,17,19,14,24,17,15,11,9,19,20,13,17,13,12,14,11
"Auburn","5-2",641,"Week 9",15,19,12,14,17,20,13,20,13,14,16,14,15,11,17,11,13,16,18,14,16,17,13,12,14,16,17,14,15,16,20,22,10,13,17,22,19,18,19,20,13,18,11,13,12,17,12,6,15,12,15,19,17,21,14,12,17,14,21,20,13,16
"Oklahoma","5-2",626,"Week 9",16,17,23,9,23,13,20,17,9,15,12,16,16,15,14,16,14,17,17,11,19,15,18,9,21,17,15,17,16,19,14,11,9,14,22,19,15,13,18,11,17,12,15,19,20,20,13,15,13,14,19,17,14,16,15,21,15,13,14,15,16,21
"Utah","7-1",584,"Week 9",17,14,13,17,16,19,14,13,16,17,14,18,17,18,19,20,20,18,16,17,15,18,19,19,13,14,20,20,12,17,18,14,21,23,14,21,18,17,13,16,11,17,18,17,13,16,18,13,16,16,12,16,16,13,20,18,16,20,16,18,11,13
"Tennessee","5-2",572,"Week 9",18,16,17,16,19,17,15,15,18,18,17,17,18,16,16,13,12,19,13,23,24,16,12,14,15,18,16,15,14,12,19,24,11,16,15,17,13,14,16,22,16,15,16,14,21,13,16,18,18,15,21,14,21,18,17,19,20,15,17,17,17,18
"LSU","5-2",352,"Week 9",19,18,19,24,18,23,25,23,22,21,24,20,19,19,20,12,25,23,19,24,17,23,16,22,20,25,18,13,17,18,21,21,24,15,18,24,21,19,21,15,14,19,19,23,14,23,20,,23,17,22,24,23,25,16,13,21,21,23,21,18,23
"Western Michigan","8-0",349,"Week 9",20,22,21,20,15,18,19,18,23,19,20,19,20,20,24,24,16,20,20,21,22,19,14,17,22,20,19,21,25,22,24,25,,20,12,15,22,21,20,18,19,22,21,21,19,19,21,22,21,23,18,18,19,23,23,22,18,24,18,19,25,19
"North Carolina","6-2",328,"Week 9",21,21,25,21,21,22,21,25,19,24,23,21,24,,18,18,22,21,22,20,23,22,25,13,18,15,21,19,21,21,22,16,20,,19,10,17,20,17,23,20,20,22,,,22,19,17,24,22,16,21,18,19,22,17,19,23,19,16,,22
"Navy","5-1",251,"Week 9",22,24,20,23,25,14,17,22,24,20,22,22,21,24,21,,21,22,21,19,18,24,,21,,23,22,22,24,23,17,19,18,,24,14,23,22,24,24,21,21,24,24,18,18,22,16,25,,20,23,,22,,,23,18,20,22,22,24
"Colorado","6-2",207,"Week 9",23,20,16,22,24,21,23,21,21,22,19,23,22,21,25,,,24,24,,20,20,21,,25,21,24,,19,25,,20,15,22,23,,20,23,,21,25,,23,18,17,25,,,17,,24,,24,,18,16,22,25,24,,24,20
"Penn State","5-2",193,"Week 9",24,,,,22,,24,,20,25,25,,25,25,22,,23,14,,18,21,,24,24,19,22,23,,23,24,15,23,,10,21,16,,24,22,,,23,20,20,24,21,24,,,18,,25,20,12,24,25,25,22,25,24,19,
"Virginia Tech","5-2",110,"Week 9",25,23,,25,20,24,,24,,,,24,,23,23,23,19,,,25,,,22,,17,,,24,22,,23,,,,,23,,25,23,,,,,25,25,,,20,22,20,23,,,,21,23,,,,23,21,15
"Washington State","5-2",84,"Week 9",,25,24,,,,22,19,25,,,25,23,22,,,,25,25,,,25,,,,,,25,,20,,,25,21,25,25,24,,,,,24,,,23,24,,23,20,21,,,25,20,25,24,,19,,,23,
"Houston","6-2",67,"Week 9",,,22,,,25,,,,23,,,,,,25,18,,23,22,25,21,,25,,,,,,,,18,23,,,,,,25,25,23,25,,22,,,23,24,,,25,20,,,,,24,,,25,,
"Oklahoma State","5-2",62,"Week 9",,,,18,,,,,,,21,,,,,22,,,,,,,23,,23,24,25,23,,,25,17,,,,,25,,,17,,,,,,,25,,,,,22,22,,,,,,22,,,
"Arkansas","5-3",14,"Week 9",,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy","6-1",6,"Week 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,24,,25,,,,,25,,,,,,,,,,,,,,25
"USC","4-3",5,"Week 9",,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh","5-2",2,"Week 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
"San Diego State","6-1",2,"Week 9",,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southern Methodist","3-4",1,"Week 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
