"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 9",1,"Alabama",60,"8-0","SEC","1",1524
"Week 9",2,"Michigan",1,"7-0","Big Ten","3",1446
"Week 9",3,"Clemson",,"7-0","ACC","4",1382
"Week 9",4,"Washington",,"7-0","Pac-12","5",1373
"Week 9",5,"Louisville",,"6-1","ACC","7",1276
"Week 9",6,"Ohio State",,"6-1","Big Ten","2",1143
"Week 9",7,"Nebraska",,"7-0","Big Ten","8",1083
"Week 9",8,"Baylor",,"6-0","Big 12","9",1063
"Week 9",9,"Texas A&M",,"6-1","SEC","6",1007
"Week 9",10,"West Virginia",,"6-0","Big 12","12",997
"Week 9",11,"Wisconsin",,"5-2","Big Ten","10",980
"Week 9",12,"Florida State",,"5-2","ACC","13",725
"Week 9",13,"Boise State",,"7-0","Mountain West","14",716
"Week 9",14,"Florida",,"5-1","SEC","15",654
"Week 9",15,"Auburn",,"5-2","SEC","21",641
"Week 9",16,"Oklahoma",,"5-2","Big 12","16",626
"Week 9",17,"Utah",,"7-1","Pac-12","19",584
"Week 9",18,"Tennessee",,"5-2","SEC","18",572
"Week 9",19,"LSU",,"5-2","SEC","25",352
"Week 9",20,"Western Michigan",,"8-0","Mid-American","20",349
"Week 9",21,"North Carolina",,"6-2","ACC","22",328
"Week 9",22,"Navy",,"5-1","The American","24",251
"Week 9",23,"Colorado",,"6-2","Pac-12","-",207
"Week 9",24,"Penn State",,"5-2","Big Ten","-",193
"Week 9",25,"Virginia Tech",,"5-2","ACC","-",110
