"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 14",1,"Alabama",61,"12-0","SEC","1",1525
"Week 14",2,"Ohio State",,"11-1","Big Ten","2",1456
"Week 14",3,"Clemson",,"11-1","ACC","4",1383
"Week 14",4,"Washington",,"11-1","Pac-12","6",1298
"Week 14",5,"Michigan",,"10-2","Big Ten","3",1264
"Week 14",6,"Wisconsin",,"10-2","Big Ten","5",1237
"Week 14",7,"Oklahoma",,"9-2","Big 12","7",1141
"Week 14",8,"Penn State",,"10-2","Big Ten","8",1118
"Week 14",9,"Colorado",,"10-2","Pac-12","9",1035
"Week 14",10,"USC",,"9-3","Pac-12","12",948
"Week 14",11,"Oklahoma State",,"9-2","Big 12","10",931
"Week 14",12,"Florida State",,"9-3","ACC","15",847
"Week 14",13,"Western Michigan",,"12-0","Mid-American","14",807
"Week 14",14,"West Virginia",,"9-2","Big 12","19",726
"Week 14",15,"Florida",,"8-3","SEC","13",471
"Week 14",16,"Louisville",,"9-3","ACC","11",468
"Week 14",17,"Stanford",,"9-3","Pac-12","-",452
"Week 14",18,"Auburn",,"8-4","SEC","16",423
"Week 14",19,"Virginia Tech",,"9-3","ACC","-",420
"Week 14",20,"Navy",,"9-2","The American","-",387
"Week 14",21,"LSU",,"7-4","SEC","25",338
"Week 14",22,"Iowa",,"8-4","Big Ten","-",217
"Week 14",23,"Nebraska",,"9-3","Big Ten","17",181
"Week 14",24,"South Florida",,"10-2","The American","-",168
"Week 14",24,"Pittsburgh",,"8-4","ACC","-",168
