"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","11-0",1525,"Week 13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ohio State","10-1",1455,"Week 13",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"Michigan","10-1",1370,"Week 13",3,4,3,6,3,3,4,3,3,4,3,4,4,3,3,4,3,2,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,9,3,3,4,3,4,4,3,4,3,3,5,4,3,2,3,4,4,6,5,3,3,3,3,4,3,4,4,3
"Clemson","10-1",1347,"Week 13",4,3,4,7,4,4,3,4,4,3,4,3,3,4,5,2,5,4,5,4,5,3,4,4,4,4,4,3,4,4,3,4,5,8,4,8,3,4,3,3,4,3,4,2,3,3,4,4,5,3,3,3,3,4,4,8,4,3,4,3,2,4
"Wisconsin","9-2",1255,"Week 13",5,6,6,4,6,5,6,5,5,6,5,6,7,6,4,5,4,5,4,6,4,5,5,5,5,6,5,6,6,5,5,5,4,2,6,5,5,6,6,5,7,5,7,6,6,5,6,6,6,6,5,7,6,5,5,4,5,6,7,7,6,6
"Washington","10-1",1220,"Week 13",6,5,5,5,5,6,5,6,7,5,7,5,5,7,6,7,6,6,9,8,6,8,6,8,6,5,7,5,7,7,6,7,6,7,5,6,6,5,5,7,5,6,6,5,4,6,7,5,4,8,7,8,4,6,6,5,6,8,5,5,5,5
"Oklahoma","9-2",1169,"Week 13",7,9,8,3,9,7,8,8,6,7,6,7,6,5,7,6,9,7,7,5,7,7,9,6,7,7,6,7,5,6,7,10,7,4,8,7,7,7,7,6,6,7,5,7,7,8,5,8,7,11,6,5,7,7,7,9,7,5,6,6,7,7
"Penn State","9-2",1091,"Week 13",8,8,7,15,7,9,7,7,8,8,11,8,8,8,8,9,7,8,6,7,8,6,7,10,8,8,8,8,8,8,8,8,9,3,7,4,9,8,8,11,10,8,8,9,9,7,8,7,9,7,8,4,8,10,10,10,8,11,9,8,9,8
"Colorado","9-2",997,"Week 13",9,7,10,18,8,12,10,9,9,9,8,9,9,9,10,13,10,9,10,13,9,9,8,9,10,9,9,10,10,10,10,6,10,10,9,10,8,9,11,12,9,9,9,8,8,11,10,9,8,9,10,9,9,9,8,7,11,16,11,9,10,10
"Oklahoma State","9-2",868,"Week 13",10,13,11,8,12,8,11,10,10,13,9,10,13,15,13,12,17,10,12,17,15,11,12,18,9,10,10,9,11,13,11,14,11,21,11,14,11,14,13,8,12,10,11,12,10,12,9,13,14,13,15,10,10,8,14,11,9,15,8,11,12,9
"Louisville","9-2",830,"Week 13",11,11,13,10,10,15,13,13,11,10,10,11,12,14,9,8,11,13,15,14,17,12,10,11,13,13,13,12,14,12,12,9,13,12,16,11,14,15,10,15,8,15,12,13,14,10,14,11,11,12,11,14,13,11,13,12,16,17,16,12,13,11
"USC","8-3",811,"Week 13",12,10,9,17,11,16,9,,12,14,12,12,14,13,14,11,8,11,8,20,10,10,13,7,11,15,15,11,9,11,9,11,8,6,12,9,10,11,14,16,20,13,13,20,11,17,13,10,13,5,17,11,16,13,11,6,14,18,21,21,14,13
"Florida","8-2",703,"Week 13",13,12,12,11,18,13,16,17,16,15,15,15,10,12,18,14,19,19,14,16,14,16,14,15,16,12,11,14,12,17,14,13,18,17,14,18,12,12,16,9,19,11,14,10,15,19,21,12,10,22,13,16,12,12,17,,13,13,12,10,8,12
"Western Michigan","11-0",701,"Week 13",14,19,20,12,22,10,14,12,13,11,13,16,11,11,12,22,13,14,11,10,11,13,11,13,21,11,14,21,16,16,15,22,15,20,10,12,22,16,9,14,13,12,17,17,17,13,11,18,15,20,9,12,14,14,18,20,10,9,10,13,21,14
