"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Florida State","8-3",661,"Week 13",15,17,14,9,15,17,18,16,14,12,22,13,19,16,20,10,12,15,16,15,12,14,17,12,14,18,17,13,15,9,13,16,14,11,19,16,21,10,17,10,14,18,18,14,16,24,15,15,12,14,19,17,11,18,9,18,19,10,15,17,18,16
"Auburn","8-3",613,"Week 13",16,16,19,14,13,19,19,14,15,18,17,14,16,18,11,16,14,16,13,9,13,18,15,14,17,19,16,18,17,18,21,15,12,18,18,15,18,18,12,18,15,16,15,15,18,14,12,20,19,15,14,22,23,15,15,16,18,7,17,20,11,15
"Nebraska","9-2",593,"Week 13",17,14,15,16,16,11,20,11,17,22,14,17,15,17,19,15,16,17,18,19,20,15,16,20,19,14,18,22,20,15,19,12,16,13,13,21,23,17,18,19,21,17,10,11,21,9,18,17,18,16,16,15,15,17,12,13,12,12,18,14,15,17
"Houston","9-2",490,"Week 13",18,22,25,20,14,14,12,23,18,16,19,20,21,10,21,21,15,12,21,12,16,22,22,25,12,16,12,20,13,23,17,18,25,15,15,20,20,13,15,13,22,14,19,19,13,,20,14,17,10,23,13,17,16,24,25,22,20,14,22,16,22
"West Virginia","8-2",448,"Week 13",19,20,16,21,25,20,17,18,21,19,16,18,17,20,16,20,23,18,20,18,19,19,19,17,22,17,19,19,21,14,20,,20,14,17,19,13,19,25,20,11,20,21,16,12,22,16,16,23,,18,21,18,20,16,19,17,19,13,15,19,18
"Boise State","10-1",389,"Week 13",20,21,21,23,20,18,15,15,19,21,21,22,18,19,24,19,,20,22,11,18,20,23,16,20,22,25,17,18,19,18,,21,,21,13,24,22,19,17,18,19,23,18,19,20,22,19,20,18,12,20,19,19,22,21,15,14,19,18,23,19
"Utah","8-3",280,"Week 13",21,15,17,,19,,25,22,23,17,20,21,20,22,15,24,21,21,,25,22,17,,19,18,24,,15,22,20,22,,17,23,,25,17,21,23,,17,25,,22,23,16,19,24,,,20,,21,22,19,15,20,21,24,16,17,21
"Texas A&M","8-3",253,"Week 13",22,24,18,19,23,21,21,24,22,20,18,19,23,,17,18,20,22,17,24,,21,24,23,23,20,20,,,22,,19,23,,20,,,20,21,24,16,21,20,24,24,15,23,,24,25,24,23,22,,23,14,21,25,20,19,20,20
"Washington State","8-3",186,"Week 13",23,18,22,25,21,23,,19,24,25,24,25,,24,23,,,,,,,23,21,22,,21,,23,19,21,24,21,,16,25,24,19,23,,,24,24,16,21,20,23,25,21,16,19,21,18,20,21,,22,25,23,,24,,
"Tennessee","8-3",133,"Week 13",24,,,,17,22,,,25,23,25,23,,,,23,18,,19,,25,,20,,15,,22,,,,25,,22,,23,,25,24,22,22,,22,,23,,18,24,,21,21,,19,,,20,24,,,23,23,24,23
"LSU","6-4",84,"Week 13",25,,,13,,,,,,,23,,,,,17,,,24,,,,18,24,25,25,,16,,,,20,19,24,,,,,,23,,,22,25,,,17,25,,,,,,,,,,,,,,24
"Stanford","8-3",81,"Week 13",,23,,22,24,,,20,,24,,,22,,,25,22,,23,,24,,25,,24,,,25,,24,23,23,24,19,,,,25,20,21,,,,,25,25,,22,22,24,,,,,,23,,,,25,25,
"Virginia Tech","8-3",77,"Week 13",,,,,,,22,,,,,24,,25,25,,24,24,,23,21,24,,,,,23,24,23,,,25,,,22,,15,,,25,25,,25,,22,21,,23,25,,25,25,24,24,21,,23,,,,,25
"Navy","8-2",62,"Week 13",,,24,,,25,,25,,,,,25,23,,,,23,,22,,,,,,23,21,,,25,16,24,,,24,,,,,,23,23,,,,,,,,,22,,,23,25,,,24,22,,22,
"North Carolina","8-3",55,"Week 13",,,,24,,,23,,20,,,,,,22,,,,,,23,25,,21,,,24,,25,,,,,,,22,16,,,,,,,,,,,,,,,24,,25,,17,24,,,,,
"Pittsburgh","7-4",24,"Week 13",,,,,,,,,,,,,,21,,,25,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,17,,,,,,,,,,,,
"South Florida","9-2",24,"Week 13",,,23,,,24,24,21,,,,,24,,,,,,,21,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,
"Arkansas","7-4",10,"Week 13",,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa","7-4",7,"Week 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy","8-2",6,"Week 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,22,,,,
"Minnesota","8-3",5,"Week 13",,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,25,,,,,,25,,,
"Temple","8-3",1,"Week 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyoming","8-3",1,"Week 13",,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
