"Rank","Team","Record","Points","PV.Rank","Voter","Week"
6,"Texas A&M","6-0",1202,"8","brent-axe","Week 7"
7,"Louisville","4-1",1193,"7","brent-axe","Week 7"
8,"Nebraska","5-0",958,"12","brent-axe","Week 7"
9,"Wisconsin","4-1",1020,"11","brent-axe","Week 7"
10,"Baylor","5-0",934,"13","brent-axe","Week 7"
11,"Tennessee","5-1",962,"9","brent-axe","Week 7"
12,"Boise State","5-0",590,"19","brent-axe","Week 7"
13,"Virginia Tech","4-1",546,"25","brent-axe","Week 7"
14,"Florida State","4-2",628,"23","brent-axe","Week 7"
15,"Miami","4-1",576,"10","brent-axe","Week 7"
16,"Navy","4-1",122,"-","brent-axe","Week 7"
17,"Houston","5-1",701,"6","brent-axe","Week 7"
18,"Florida","4-1",483,"18","brent-axe","Week 7"
19,"Oklahoma","3-2",476,"20","brent-axe","Week 7"
20,"Mississippi","3-2",800,"14","brent-axe","Week 7"
21,"North Dakota State","4-2",36,"-","brent-axe","Week 7"
22,"Western Michigan","6-0",154,"-","brent-axe","Week 7"
23,"Utah","5-1",287,"24","brent-axe","Week 7"
24,"West Virginia","4-0",424,"22","brent-axe","Week 7"
25,"Arizona State","5-1",53,"-","brent-axe","Week 7"
1,"Alabama","6-0",1520,"1","brett-mcmurphy","Week 7"
2,"Clemson","6-0",1406,"3","brett-mcmurphy","Week 7"
3,"Ohio State","5-0",1444,"2","brett-mcmurphy","Week 7"
4,"Washington","6-0",1286,"5","brett-mcmurphy","Week 7"
5,"Texas A&M","6-0",1202,"8","brett-mcmurphy","Week 7"
6,"Louisville","4-1",1193,"7","brett-mcmurphy","Week 7"
7,"Michigan","6-0",1339,"4","brett-mcmurphy","Week 7"
8,"Wisconsin","4-1",1020,"11","brett-mcmurphy","Week 7"
9,"Tennessee","5-1",962,"9","brett-mcmurphy","Week 7"
10,"Nebraska","5-0",958,"12","brett-mcmurphy","Week 7"
11,"Baylor","5-0",934,"13","brett-mcmurphy","Week 7"
12,"Mississippi","3-2",800,"14","brett-mcmurphy","Week 7"
13,"Virginia Tech","4-1",546,"25","brett-mcmurphy","Week 7"
14,"West Virginia","4-0",424,"22","brett-mcmurphy","Week 7"
15,"Boise State","5-0",590,"19","brett-mcmurphy","Week 7"
16,"Florida State","4-2",628,"23","brett-mcmurphy","Week 7"
17,"Florida","4-1",483,"18","brett-mcmurphy","Week 7"
18,"Utah","5-1",287,"24","brett-mcmurphy","Week 7"
19,"Houston","5-1",701,"6","brett-mcmurphy","Week 7"
20,"Oklahoma","3-2",476,"20","brett-mcmurphy","Week 7"
21,"Miami","4-1",576,"10","brett-mcmurphy","Week 7"
22,"Western Michigan","6-0",154,"-","brett-mcmurphy","Week 7"
23,"Georgia","4-2",59,"-","brett-mcmurphy","Week 7"
24,"Arizona State","5-1",53,"-","brett-mcmurphy","Week 7"
25,"Washington State","3-2",9,"-","brett-mcmurphy","Week 7"
1,"Alabama","6-0",1520,"1","brian-howell","Week 7"
2,"Clemson","6-0",1406,"3","brian-howell","Week 7"
3,"Ohio State","5-0",1444,"2","brian-howell","Week 7"
4,"Michigan","6-0",1339,"4","brian-howell","Week 7"
5,"Washington","6-0",1286,"5","brian-howell","Week 7"
6,"Louisville","4-1",1193,"7","brian-howell","Week 7"
7,"Texas A&M","6-0",1202,"8","brian-howell","Week 7"
8,"Baylor","5-0",934,"13","brian-howell","Week 7"
9,"Tennessee","5-1",962,"9","brian-howell","Week 7"
10,"Wisconsin","4-1",1020,"11","brian-howell","Week 7"
11,"Mississippi","3-2",800,"14","brian-howell","Week 7"
12,"Oklahoma","3-2",476,"20","brian-howell","Week 7"
13,"Nebraska","5-0",958,"12","brian-howell","Week 7"
14,"Florida State","4-2",628,"23","brian-howell","Week 7"
15,"Miami","4-1",576,"10","brian-howell","Week 7"
16,"Boise State","5-0",590,"19","brian-howell","Week 7"
17,"Houston","5-1",701,"6","brian-howell","Week 7"
18,"Florida","4-1",483,"18","brian-howell","Week 7"
19,"Auburn","4-2",166,"-","brian-howell","Week 7"
20,"Virginia Tech","4-1",546,"25","brian-howell","Week 7"
21,"Georgia","4-2",59,"-","brian-howell","Week 7"
22,"West Virginia","4-0",424,"22","brian-howell","Week 7"
23,"Utah","5-1",287,"24","brian-howell","Week 7"
24,"Western Michigan","6-0",154,"-","brian-howell","Week 7"
25,"Arkansas","4-2",203,"16","brian-howell","Week 7"
1,"Alabama","6-0",1520,"1","chris-murray","Week 7"
2,"Ohio State","5-0",1444,"2","chris-murray","Week 7"
3,"Clemson","6-0",1406,"3","chris-murray","Week 7"
4,"Texas A&M","6-0",1202,"8","chris-murray","Week 7"
5,"Michigan","6-0",1339,"4","chris-murray","Week 7"
6,"Washington","6-0",1286,"5","chris-murray","Week 7"
7,"Louisville","4-1",1193,"7","chris-murray","Week 7"
8,"Tennessee","5-1",962,"9","chris-murray","Week 7"
9,"Baylor","5-0",934,"13","chris-murray","Week 7"
10,"Nebraska","5-0",958,"12","chris-murray","Week 7"
11,"Wisconsin","4-1",1020,"11","chris-murray","Week 7"
12,"Mississippi","3-2",800,"14","chris-murray","Week 7"
13,"Boise State","5-0",590,"19","chris-murray","Week 7"
14,"Florida","4-1",483,"18","chris-murray","Week 7"
15,"Houston","5-1",701,"6","chris-murray","Week 7"
16,"Oklahoma","3-2",476,"20","chris-murray","Week 7"
17,"Florida State","4-2",628,"23","chris-murray","Week 7"
18,"Arkansas","4-2",203,"16","chris-murray","Week 7"
19,"Miami","4-1",576,"10","chris-murray","Week 7"
20,"Utah","5-1",287,"24","chris-murray","Week 7"
21,"West Virginia","4-0",424,"22","chris-murray","Week 7"
22,"Virginia Tech","4-1",546,"25","chris-murray","Week 7"
23,"Western Michigan","6-0",154,"-","chris-murray","Week 7"
24,"Navy","4-1",122,"-","chris-murray","Week 7"
25,"North Dakota State","4-2",36,"-","chris-murray","Week 7"
1,"Alabama","6-0",1520,"1","chuck-carlton","Week 7"
2,"Ohio State","5-0",1444,"2","chuck-carlton","Week 7"
3,"Clemson","6-0",1406,"3","chuck-carlton","Week 7"
4,"Michigan","6-0",1339,"4","chuck-carlton","Week 7"
5,"Washington","6-0",1286,"5","chuck-carlton","Week 7"
6,"Texas A&M","6-0",1202,"8","chuck-carlton","Week 7"
7,"Louisville","4-1",1193,"7","chuck-carlton","Week 7"
8,"Wisconsin","4-1",1020,"11","chuck-carlton","Week 7"
9,"Baylor","5-0",934,"13","chuck-carlton","Week 7"
10,"Nebraska","5-0",958,"12","chuck-carlton","Week 7"
11,"Tennessee","5-1",962,"9","chuck-carlton","Week 7"
12,"Houston","5-1",701,"6","chuck-carlton","Week 7"
13,"Mississippi","3-2",800,"14","chuck-carlton","Week 7"
14,"Virginia Tech","4-1",546,"25","chuck-carlton","Week 7"
15,"West Virginia","4-0",424,"22","chuck-carlton","Week 7"
16,"Boise State","5-0",590,"19","chuck-carlton","Week 7"
17,"Oklahoma","3-2",476,"20","chuck-carlton","Week 7"
18,"Florida State","4-2",628,"23","chuck-carlton","Week 7"
19,"Miami","4-1",576,"10","chuck-carlton","Week 7"
20,"Utah","5-1",287,"24","chuck-carlton","Week 7"
21,"Auburn","4-2",166,"-","chuck-carlton","Week 7"
22,"Oklahoma State","4-2",48,"-","chuck-carlton","Week 7"
23,"Arizona State","5-1",53,"-","chuck-carlton","Week 7"
24,"Florida","4-1",483,"18","chuck-carlton","Week 7"
25,"Western Michigan","6-0",154,"-","chuck-carlton","Week 7"
1,"Alabama","6-0",1520,"1","dana-sulonen","Week 7"
2,"Ohio State","5-0",1444,"2","dana-sulonen","Week 7"
3,"Clemson","6-0",1406,"3","dana-sulonen","Week 7"
4,"Michigan","6-0",1339,"4","dana-sulonen","Week 7"
5,"Washington","6-0",1286,"5","dana-sulonen","Week 7"
6,"Texas A&M","6-0",1202,"8","dana-sulonen","Week 7"
7,"Louisville","4-1",1193,"7","dana-sulonen","Week 7"
8,"Wisconsin","4-1",1020,"11","dana-sulonen","Week 7"
9,"Mississippi","3-2",800,"14","dana-sulonen","Week 7"
10,"Baylor","5-0",934,"13","dana-sulonen","Week 7"
11,"Nebraska","5-0",958,"12","dana-sulonen","Week 7"
12,"Tennessee","5-1",962,"9","dana-sulonen","Week 7"
13,"Miami","4-1",576,"10","dana-sulonen","Week 7"
14,"Houston","5-1",701,"6","dana-sulonen","Week 7"
15,"Florida","4-1",483,"18","dana-sulonen","Week 7"
16,"Florida State","4-2",628,"23","dana-sulonen","Week 7"
17,"Oklahoma","3-2",476,"20","dana-sulonen","Week 7"
18,"Boise State","5-0",590,"19","dana-sulonen","Week 7"
19,"Virginia Tech","4-1",546,"25","dana-sulonen","Week 7"
20,"West Virginia","4-0",424,"22","dana-sulonen","Week 7"
21,"Utah","5-1",287,"24","dana-sulonen","Week 7"
22,"Auburn","4-2",166,"-","dana-sulonen","Week 7"
23,"Stanford","3-2",26,"15","dana-sulonen","Week 7"
24,"Western Michigan","6-0",154,"-","dana-sulonen","Week 7"
25,"Arizona State","5-1",53,"-","dana-sulonen","Week 7"
1,"Alabama","6-0",1520,"1","dave-southorn","Week 7"
2,"Ohio State","5-0",1444,"2","dave-southorn","Week 7"
3,"Clemson","6-0",1406,"3","dave-southorn","Week 7"
4,"Michigan","6-0",1339,"4","dave-southorn","Week 7"
5,"Washington","6-0",1286,"5","dave-southorn","Week 7"
6,"Texas A&M","6-0",1202,"8","dave-southorn","Week 7"
7,"Louisville","4-1",1193,"7","dave-southorn","Week 7"
8,"Wisconsin","4-1",1020,"11","dave-southorn","Week 7"
9,"Nebraska","5-0",958,"12","dave-southorn","Week 7"
10,"Tennessee","5-1",962,"9","dave-southorn","Week 7"
11,"Mississippi","3-2",800,"14","dave-southorn","Week 7"
12,"Houston","5-1",701,"6","dave-southorn","Week 7"
13,"Baylor","5-0",934,"13","dave-southorn","Week 7"
14,"Florida State","4-2",628,"23","dave-southorn","Week 7"
15,"Miami","4-1",576,"10","dave-southorn","Week 7"
16,"Boise State","5-0",590,"19","dave-southorn","Week 7"
17,"Florida","4-1",483,"18","dave-southorn","Week 7"
18,"West Virginia","4-0",424,"22","dave-southorn","Week 7"
19,"Virginia Tech","4-1",546,"25","dave-southorn","Week 7"
20,"Utah","5-1",287,"24","dave-southorn","Week 7"
21,"Western Michigan","6-0",154,"-","dave-southorn","Week 7"
22,"Oklahoma","3-2",476,"20","dave-southorn","Week 7"
23,"Arkansas","4-2",203,"16","dave-southorn","Week 7"
24,"Auburn","4-2",166,"-","dave-southorn","Week 7"
25,"Wake Forest","5-1",1,"-","dave-southorn","Week 7"
1,"Alabama","6-0",1520,"1","david-briggs","Week 7"
2,"Ohio State","5-0",1444,"2","david-briggs","Week 7"
3,"Clemson","6-0",1406,"3","david-briggs","Week 7"
4,"Michigan","6-0",1339,"4","david-briggs","Week 7"
5,"Washington","6-0",1286,"5","david-briggs","Week 7"
6,"Texas A&M","6-0",1202,"8","david-briggs","Week 7"
7,"Louisville","4-1",1193,"7","david-briggs","Week 7"
8,"Wisconsin","4-1",1020,"11","david-briggs","Week 7"
9,"Tennessee","5-1",962,"9","david-briggs","Week 7"
10,"Nebraska","5-0",958,"12","david-briggs","Week 7"
11,"Mississippi","3-2",800,"14","david-briggs","Week 7"
12,"Boise State","5-0",590,"19","david-briggs","Week 7"
13,"Houston","5-1",701,"6","david-briggs","Week 7"
14,"Baylor","5-0",934,"13","david-briggs","Week 7"
15,"Oklahoma","3-2",476,"20","david-briggs","Week 7"
16,"Virginia Tech","4-1",546,"25","david-briggs","Week 7"
17,"Florida State","4-2",628,"23","david-briggs","Week 7"
18,"Miami","4-1",576,"10","david-briggs","Week 7"
19,"Utah","5-1",287,"24","david-briggs","Week 7"
20,"Florida","4-1",483,"18","david-briggs","Week 7"
21,"West Virginia","4-0",424,"22","david-briggs","Week 7"
22,"Western Michigan","6-0",154,"-","david-briggs","Week 7"
23,"Washington State","3-2",9,"-","david-briggs","Week 7"
24,"Auburn","4-2",166,"-","david-briggs","Week 7"
25,"Navy","4-1",122,"-","david-briggs","Week 7"
1,"Alabama","6-0",1520,"1","ed-daigneault","Week 7"
2,"Clemson","6-0",1406,"3","ed-daigneault","Week 7"
3,"Ohio State","5-0",1444,"2","ed-daigneault","Week 7"
4,"Michigan","6-0",1339,"4","ed-daigneault","Week 7"
5,"Louisville","4-1",1193,"7","ed-daigneault","Week 7"
6,"Washington","6-0",1286,"5","ed-daigneault","Week 7"
7,"Texas A&M","6-0",1202,"8","ed-daigneault","Week 7"
8,"Wisconsin","4-1",1020,"11","ed-daigneault","Week 7"
9,"Mississippi","3-2",800,"14","ed-daigneault","Week 7"
10,"Baylor","5-0",934,"13","ed-daigneault","Week 7"
11,"Nebraska","5-0",958,"12","ed-daigneault","Week 7"
12,"Houston","5-1",701,"6","ed-daigneault","Week 7"
13,"Tennessee","5-1",962,"9","ed-daigneault","Week 7"
14,"Boise State","5-0",590,"19","ed-daigneault","Week 7"
15,"West Virginia","4-0",424,"22","ed-daigneault","Week 7"
16,"Florida","4-1",483,"18","ed-daigneault","Week 7"
17,"Oklahoma","3-2",476,"20","ed-daigneault","Week 7"
18,"Virginia Tech","4-1",546,"25","ed-daigneault","Week 7"
19,"Florida State","4-2",628,"23","ed-daigneault","Week 7"
20,"Miami","4-1",576,"10","ed-daigneault","Week 7"
21,"Arkansas","4-2",203,"16","ed-daigneault","Week 7"
22,"Auburn","4-2",166,"-","ed-daigneault","Week 7"
23,"South Florida","5-1",20,"-","ed-daigneault","Week 7"
24,"Utah","5-1",287,"24","ed-daigneault","Week 7"
25,"Western Michigan","6-0",154,"-","ed-daigneault","Week 7"
1,"Clemson","6-0",1406,"3","ed-johnson","Week 7"
2,"Alabama","6-0",1520,"1","ed-johnson","Week 7"
3,"Ohio State","5-0",1444,"2","ed-johnson","Week 7"
4,"Louisville","4-1",1193,"7","ed-johnson","Week 7"
5,"Michigan","6-0",1339,"4","ed-johnson","Week 7"
6,"Washington","6-0",1286,"5","ed-johnson","Week 7"
7,"Texas A&M","6-0",1202,"8","ed-johnson","Week 7"
8,"Mississippi","3-2",800,"14","ed-johnson","Week 7"
9,"Tennessee","5-1",962,"9","ed-johnson","Week 7"
10,"Wisconsin","4-1",1020,"11","ed-johnson","Week 7"
11,"Baylor","5-0",934,"13","ed-johnson","Week 7"
12,"Florida State","4-2",628,"23","ed-johnson","Week 7"
13,"Miami","4-1",576,"10","ed-johnson","Week 7"
14,"Houston","5-1",701,"6","ed-johnson","Week 7"
15,"Nebraska","5-0",958,"12","ed-johnson","Week 7"
16,"Arkansas","4-2",203,"16","ed-johnson","Week 7"
17,"Virginia Tech","4-1",546,"25","ed-johnson","Week 7"
18,"Georgia","4-2",59,"-","ed-johnson","Week 7"
19,"Boise State","5-0",590,"19","ed-johnson","Week 7"
20,"West Virginia","4-0",424,"22","ed-johnson","Week 7"
21,"Oklahoma","3-2",476,"20","ed-johnson","Week 7"
22,"Florida","4-1",483,"18","ed-johnson","Week 7"
23,"North Carolina","4-2",51,"17","ed-johnson","Week 7"
24,"North Dakota State","4-2",36,"-","ed-johnson","Week 7"
25,"Western Michigan","6-0",154,"-","ed-johnson","Week 7"
1,"Ohio State","5-0",1444,"2","eric-hansen","Week 7"
2,"Alabama","6-0",1520,"1","eric-hansen","Week 7"
3,"Washington","6-0",1286,"5","eric-hansen","Week 7"
4,"Clemson","6-0",1406,"3","eric-hansen","Week 7"
5,"Texas A&M","6-0",1202,"8","eric-hansen","Week 7"
6,"Michigan","6-0",1339,"4","eric-hansen","Week 7"
7,"Louisville","4-1",1193,"7","eric-hansen","Week 7"
8,"Wisconsin","4-1",1020,"11","eric-hansen","Week 7"
9,"Houston","5-1",701,"6","eric-hansen","Week 7"
10,"Tennessee","5-1",962,"9","eric-hansen","Week 7"
11,"Nebraska","5-0",958,"12","eric-hansen","Week 7"
12,"Florida State","4-2",628,"23","eric-hansen","Week 7"
13,"Mississippi","3-2",800,"14","eric-hansen","Week 7"
14,"Miami","4-1",576,"10","eric-hansen","Week 7"
15,"Oklahoma","3-2",476,"20","eric-hansen","Week 7"
16,"Virginia Tech","4-1",546,"25","eric-hansen","Week 7"
17,"Boise State","5-0",590,"19","eric-hansen","Week 7"
18,"West Virginia","4-0",424,"22","eric-hansen","Week 7"
19,"Western Michigan","6-0",154,"-","eric-hansen","Week 7"
20,"Baylor","5-0",934,"13","eric-hansen","Week 7"
21,"South Florida","5-1",20,"-","eric-hansen","Week 7"
22,"Auburn","4-2",166,"-","eric-hansen","Week 7"
23,"Utah","5-1",287,"24","eric-hansen","Week 7"
24,"Navy","4-1",122,"-","eric-hansen","Week 7"
25,"Arkansas","4-2",203,"16","eric-hansen","Week 7"
1,"Alabama","6-0",1520,"1","ferd-lewis","Week 7"
2,"Ohio State","5-0",1444,"2","ferd-lewis","Week 7"
3,"Clemson","6-0",1406,"3","ferd-lewis","Week 7"
4,"Michigan","6-0",1339,"4","ferd-lewis","Week 7"
5,"Washington","6-0",1286,"5","ferd-lewis","Week 7"
6,"Texas A&M","6-0",1202,"8","ferd-lewis","Week 7"
7,"Louisville","4-1",1193,"7","ferd-lewis","Week 7"
8,"Wisconsin","4-1",1020,"11","ferd-lewis","Week 7"
9,"Nebraska","5-0",958,"12","ferd-lewis","Week 7"
10,"Baylor","5-0",934,"13","ferd-lewis","Week 7"
11,"Mississippi","3-2",800,"14","ferd-lewis","Week 7"
12,"Tennessee","5-1",962,"9","ferd-lewis","Week 7"
13,"Florida","4-1",483,"18","ferd-lewis","Week 7"
14,"Houston","5-1",701,"6","ferd-lewis","Week 7"
15,"Florida State","4-2",628,"23","ferd-lewis","Week 7"
16,"Miami","4-1",576,"10","ferd-lewis","Week 7"
17,"Boise State","5-0",590,"19","ferd-lewis","Week 7"
18,"Oklahoma","3-2",476,"20","ferd-lewis","Week 7"
19,"West Virginia","4-0",424,"22","ferd-lewis","Week 7"
20,"Utah","5-1",287,"24","ferd-lewis","Week 7"
21,"Virginia Tech","4-1",546,"25","ferd-lewis","Week 7"
22,"Arkansas","4-2",203,"16","ferd-lewis","Week 7"
23,"Georgia","4-2",59,"-","ferd-lewis","Week 7"
24,"Western Michigan","6-0",154,"-","ferd-lewis","Week 7"
25,"Navy","4-1",122,"-","ferd-lewis","Week 7"
1,"Alabama","6-0",1520,"1","garland-gillen","Week 7"
2,"Clemson","6-0",1406,"3","garland-gillen","Week 7"
3,"Michigan","6-0",1339,"4","garland-gillen","Week 7"
4,"Ohio State","5-0",1444,"2","garland-gillen","Week 7"
