"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","6-0",1520,"1","ap","Week 7"
2,"Ohio State","5-0",1444,"2","ap","Week 7"
3,"Clemson","6-0",1406,"3","ap","Week 7"
4,"Michigan","6-0",1339,"4","ap","Week 7"
5,"Washington","6-0",1286,"5","ap","Week 7"
6,"Texas A&M","6-0",1202,"8","ap","Week 7"
7,"Louisville","4-1",1193,"7","ap","Week 7"
8,"Wisconsin","4-1",1020,"11","ap","Week 7"
9,"Tennessee","5-1",962,"9","ap","Week 7"
10,"Nebraska","5-0",958,"12","ap","Week 7"
11,"Baylor","5-0",934,"13","ap","Week 7"
12,"Mississippi","3-2",800,"14","ap","Week 7"
13,"Houston","5-1",701,"6","ap","Week 7"
14,"Florida State","4-2",628,"23","ap","Week 7"
15,"Boise State","5-0",590,"19","ap","Week 7"
16,"Miami","4-1",576,"10","ap","Week 7"
17,"Virginia Tech","4-1",546,"25","ap","Week 7"
18,"Florida","4-1",483,"18","ap","Week 7"
19,"Oklahoma","3-2",476,"20","ap","Week 7"
20,"West Virginia","4-0",424,"22","ap","Week 7"
21,"Utah","5-1",287,"24","ap","Week 7"
22,"Arkansas","4-2",203,"16","ap","Week 7"
23,"Auburn","4-2",166,"-","ap","Week 7"
24,"Western Michigan","6-0",154,"-","ap","Week 7"
25,"Navy","4-1",122,"-","ap","Week 7"
1,"Alabama","6-0",1520,"1","adam-jude","Week 7"
2,"Ohio State","5-0",1444,"2","adam-jude","Week 7"
3,"Clemson","6-0",1406,"3","adam-jude","Week 7"
4,"Michigan","6-0",1339,"4","adam-jude","Week 7"
5,"Washington","6-0",1286,"5","adam-jude","Week 7"
6,"Texas A&M","6-0",1202,"8","adam-jude","Week 7"
7,"Louisville","4-1",1193,"7","adam-jude","Week 7"
8,"Tennessee","5-1",962,"9","adam-jude","Week 7"
9,"Nebraska","5-0",958,"12","adam-jude","Week 7"
10,"Baylor","5-0",934,"13","adam-jude","Week 7"
11,"Wisconsin","4-1",1020,"11","adam-jude","Week 7"
12,"Houston","5-1",701,"6","adam-jude","Week 7"
13,"Florida State","4-2",628,"23","adam-jude","Week 7"
14,"Mississippi","3-2",800,"14","adam-jude","Week 7"
15,"Virginia Tech","4-1",546,"25","adam-jude","Week 7"
16,"Boise State","5-0",590,"19","adam-jude","Week 7"
17,"Miami","4-1",576,"10","adam-jude","Week 7"
18,"Arkansas","4-2",203,"16","adam-jude","Week 7"
19,"Utah","5-1",287,"24","adam-jude","Week 7"
20,"Oklahoma","3-2",476,"20","adam-jude","Week 7"
21,"Florida","4-1",483,"18","adam-jude","Week 7"
22,"North Dakota State","4-2",36,"-","adam-jude","Week 7"
23,"Arizona State","5-1",53,"-","adam-jude","Week 7"
24,"West Virginia","4-0",424,"22","adam-jude","Week 7"
25,"Oklahoma State","4-2",48,"-","adam-jude","Week 7"
1,"Alabama","6-0",1520,"1","adam-zucker","Week 7"
2,"Ohio State","5-0",1444,"2","adam-zucker","Week 7"
3,"Clemson","6-0",1406,"3","adam-zucker","Week 7"
4,"Washington","6-0",1286,"5","adam-zucker","Week 7"
5,"Michigan","6-0",1339,"4","adam-zucker","Week 7"
6,"Louisville","4-1",1193,"7","adam-zucker","Week 7"
7,"Texas A&M","6-0",1202,"8","adam-zucker","Week 7"
8,"Tennessee","5-1",962,"9","adam-zucker","Week 7"
9,"Baylor","5-0",934,"13","adam-zucker","Week 7"
10,"Nebraska","5-0",958,"12","adam-zucker","Week 7"
11,"Miami","4-1",576,"10","adam-zucker","Week 7"
12,"Houston","5-1",701,"6","adam-zucker","Week 7"
13,"Oklahoma","3-2",476,"20","adam-zucker","Week 7"
14,"Wisconsin","4-1",1020,"11","adam-zucker","Week 7"
15,"Florida State","4-2",628,"23","adam-zucker","Week 7"
16,"Boise State","5-0",590,"19","adam-zucker","Week 7"
17,"West Virginia","4-0",424,"22","adam-zucker","Week 7"
18,"Mississippi","3-2",800,"14","adam-zucker","Week 7"
19,"Utah","5-1",287,"24","adam-zucker","Week 7"
20,"Virginia Tech","4-1",546,"25","adam-zucker","Week 7"
21,"Arizona State","5-1",53,"-","adam-zucker","Week 7"
22,"Arkansas","4-2",203,"16","adam-zucker","Week 7"
23,"Florida","4-1",483,"18","adam-zucker","Week 7"
24,"Western Michigan","6-0",154,"-","adam-zucker","Week 7"
25,"North Dakota State","4-2",36,"-","adam-zucker","Week 7"
1,"Alabama","6-0",1520,"1","andy-greder","Week 7"
2,"Ohio State","5-0",1444,"2","andy-greder","Week 7"
3,"Michigan","6-0",1339,"4","andy-greder","Week 7"
4,"Clemson","6-0",1406,"3","andy-greder","Week 7"
5,"Washington","6-0",1286,"5","andy-greder","Week 7"
6,"Louisville","4-1",1193,"7","andy-greder","Week 7"
7,"Texas A&M","6-0",1202,"8","andy-greder","Week 7"
8,"Wisconsin","4-1",1020,"11","andy-greder","Week 7"
9,"Mississippi","3-2",800,"14","andy-greder","Week 7"
10,"Nebraska","5-0",958,"12","andy-greder","Week 7"
11,"Tennessee","5-1",962,"9","andy-greder","Week 7"
12,"Oklahoma","3-2",476,"20","andy-greder","Week 7"
13,"Virginia Tech","4-1",546,"25","andy-greder","Week 7"
14,"Boise State","5-0",590,"19","andy-greder","Week 7"
15,"Baylor","5-0",934,"13","andy-greder","Week 7"
16,"Florida","4-1",483,"18","andy-greder","Week 7"
17,"Florida State","4-2",628,"23","andy-greder","Week 7"
18,"Auburn","4-2",166,"-","andy-greder","Week 7"
19,"Utah","5-1",287,"24","andy-greder","Week 7"
20,"Houston","5-1",701,"6","andy-greder","Week 7"
21,"Oklahoma State","4-2",48,"-","andy-greder","Week 7"
22,"Arkansas","4-2",203,"16","andy-greder","Week 7"
23,"West Virginia","4-0",424,"22","andy-greder","Week 7"
24,"Miami","4-1",576,"10","andy-greder","Week 7"
25,"Western Michigan","6-0",154,"-","andy-greder","Week 7"
1,"Clemson","6-0",1406,"3","bill-landis","Week 7"
2,"Alabama","6-0",1520,"1","bill-landis","Week 7"
3,"Ohio State","5-0",1444,"2","bill-landis","Week 7"
4,"Michigan","6-0",1339,"4","bill-landis","Week 7"
5,"Louisville","4-1",1193,"7","bill-landis","Week 7"
6,"Washington","6-0",1286,"5","bill-landis","Week 7"
7,"Texas A&M","6-0",1202,"8","bill-landis","Week 7"
8,"Tennessee","5-1",962,"9","bill-landis","Week 7"
9,"Wisconsin","4-1",1020,"11","bill-landis","Week 7"
10,"Baylor","5-0",934,"13","bill-landis","Week 7"
11,"Houston","5-1",701,"6","bill-landis","Week 7"
12,"Nebraska","5-0",958,"12","bill-landis","Week 7"
13,"Florida State","4-2",628,"23","bill-landis","Week 7"
14,"Miami","4-1",576,"10","bill-landis","Week 7"
15,"Mississippi","3-2",800,"14","bill-landis","Week 7"
16,"Virginia Tech","4-1",546,"25","bill-landis","Week 7"
17,"Florida","4-1",483,"18","bill-landis","Week 7"
18,"Boise State","5-0",590,"19","bill-landis","Week 7"
19,"Western Michigan","6-0",154,"-","bill-landis","Week 7"
20,"Auburn","4-2",166,"-","bill-landis","Week 7"
21,"West Virginia","4-0",424,"22","bill-landis","Week 7"
22,"Utah","5-1",287,"24","bill-landis","Week 7"
23,"South Florida","5-1",20,"-","bill-landis","Week 7"
24,"San Diego State","4-1",2,"-","bill-landis","Week 7"
25,"Colorado","4-2",22,"21","bill-landis","Week 7"
1,"Alabama","6-0",1520,"1","bob-asmussen","Week 7"
2,"Ohio State","5-0",1444,"2","bob-asmussen","Week 7"
3,"Michigan","6-0",1339,"4","bob-asmussen","Week 7"
4,"Clemson","6-0",1406,"3","bob-asmussen","Week 7"
5,"Washington","6-0",1286,"5","bob-asmussen","Week 7"
6,"Texas A&M","6-0",1202,"8","bob-asmussen","Week 7"
7,"Louisville","4-1",1193,"7","bob-asmussen","Week 7"
8,"Wisconsin","4-1",1020,"11","bob-asmussen","Week 7"
9,"Baylor","5-0",934,"13","bob-asmussen","Week 7"
10,"Nebraska","5-0",958,"12","bob-asmussen","Week 7"
11,"Mississippi","3-2",800,"14","bob-asmussen","Week 7"
12,"Tennessee","5-1",962,"9","bob-asmussen","Week 7"
13,"Florida","4-1",483,"18","bob-asmussen","Week 7"
14,"West Virginia","4-0",424,"22","bob-asmussen","Week 7"
15,"Oklahoma","3-2",476,"20","bob-asmussen","Week 7"
16,"Miami","4-1",576,"10","bob-asmussen","Week 7"
17,"Navy","4-1",122,"-","bob-asmussen","Week 7"
18,"Houston","5-1",701,"6","bob-asmussen","Week 7"
19,"Boise State","5-0",590,"19","bob-asmussen","Week 7"
20,"Florida State","4-2",628,"23","bob-asmussen","Week 7"
21,"Virginia Tech","4-1",546,"25","bob-asmussen","Week 7"
22,"North Dakota State","4-2",36,"-","bob-asmussen","Week 7"
23,"Western Michigan","6-0",154,"-","bob-asmussen","Week 7"
24,"Arizona State","5-1",53,"-","bob-asmussen","Week 7"
25,"Utah","5-1",287,"24","bob-asmussen","Week 7"
1,"Alabama","6-0",1520,"1","brent-axe","Week 7"
2,"Ohio State","5-0",1444,"2","brent-axe","Week 7"
3,"Clemson","6-0",1406,"3","brent-axe","Week 7"
4,"Michigan","6-0",1339,"4","brent-axe","Week 7"
5,"Washington","6-0",1286,"5","brent-axe","Week 7"
