"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 8",1,"Alabama",60,"7-0","SEC","1",1524
"Week 8",2,"Ohio State",,"6-0","Big Ten","2",1457
"Week 8",3,"Michigan",1,"6-0","Big Ten","4",1368
"Week 8",4,"Clemson",,"7-0","ACC","3",1337
"Week 8",5,"Washington",,"6-0","Pac-12","5",1304
"Week 8",6,"Texas A&M",,"6-0","SEC","6",1218
"Week 8",7,"Louisville",,"5-1","ACC","7",1168
"Week 8",8,"Nebraska",,"6-0","Big Ten","10",1037
"Week 8",9,"Baylor",,"6-0","Big 12","11",1021
"Week 8",10,"Wisconsin",,"4-2","Big Ten","8",935
"Week 8",11,"Houston",,"6-1","The American","13",766
"Week 8",12,"West Virginia",,"5-0","Big 12","20",744
"Week 8",13,"Florida State",,"5-2","ACC","14",733
"Week 8",14,"Boise State",,"6-0","Mountain West","15",694
"Week 8",15,"Florida",,"5-1","SEC","18",626
"Week 8",16,"Oklahoma",,"4-2","Big 12","19",612
"Week 8",17,"Arkansas",,"5-2","SEC","22",584
"Week 8",18,"Tennessee",,"5-2","SEC","9",550
"Week 8",19,"Utah",,"6-1","Pac-12","21",479
"Week 8",20,"Western Michigan",,"7-0","Mid-American","24",285
"Week 8",21,"Auburn",,"4-2","SEC","23",277
"Week 8",22,"North Carolina",,"5-2","ACC","-",254
"Week 8",23,"Mississippi",,"3-3","SEC","12",188
"Week 8",24,"Navy",,"4-1","The American","25",163
"Week 8",25,"LSU",,"4-2","SEC","-",123
