"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 11",1,"Alabama",60,"9-0","SEC","1",1524
"Week 11",2,"Michigan",1,"9-0","Big Ten","2",1432
"Week 11",3,"Clemson",,"9-0","ACC","3",1408
"Week 11",4,"Washington",,"9-0","Pac-12","4",1364
"Week 11",5,"Louisville",,"8-1","ACC","5",1255
"Week 11",6,"Ohio State",,"8-1","Big Ten","6",1245
"Week 11",7,"Wisconsin",,"7-2","Big Ten","8",1159
"Week 11",8,"Auburn",,"7-2","SEC","11",1081
"Week 11",9,"Oklahoma",,"7-2","Big 12","12",996
"Week 11",10,"Texas A&M",,"7-2","SEC","7",820
"Week 11",11,"West Virginia",,"7-1","Big 12","14",805
"Week 11",12,"Penn State",,"7-2","Big Ten","20",752
"Week 11",13,"Utah",,"7-2","Pac-12","16",686
"Week 11",14,"Western Michigan",,"9-0","Mid-American","17",583
"Week 11",15,"North Carolina",,"7-2","ACC","18",559
"Week 11",16,"Colorado",,"7-2","Pac-12","21",550
"Week 11",17,"Oklahoma State",,"7-2","Big 12","22",516
"Week 11",18,"Virginia Tech",,"7-2","ACC","23",479
"Week 11",19,"LSU",,"5-3","SEC","15",454
"Week 11",20,"Florida State",,"6-3","ACC","19",450
"Week 11",21,"Nebraska",,"7-2","Big Ten","9",434
"Week 11",22,"Florida",,"6-2","SEC","10",390
"Week 11",23,"Washington State",,"7-2","Pac-12","25",305
"Week 11",24,"Boise State",,"8-1","Mountain West","24",226
"Week 11",25,"Baylor",,"6-2","Big 12","13",90
