"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 3",1,"Alabama",56,"2-0","SEC","1",1520
"Week 3",2,"Florida State",4,"2-0","ACC","3",1437
"Week 3",3,"Ohio State",,"2-0","Big Ten","4",1359
"Week 3",4,"Michigan",1,"2-0","Big Ten","5",1298
"Week 3",5,"Clemson",,"2-0","ACC","2",1284
"Week 3",6,"Houston",,"2-0","The American","6",1264
"Week 3",7,"Stanford",,"1-0","Pac-12","7",1137
"Week 3",8,"Washington",,"2-0","Pac-12","8",983
"Week 3",9,"Wisconsin",,"2-0","Big Ten","10",893
"Week 3",10,"Louisville",,"2-0","ACC","13",890
"Week 3",11,"Texas",,"2-0","Big 12","11",872
"Week 3",12,"Michigan State",,"1-0","Big Ten","12",747
"Week 3",13,"Iowa",,"2-0","Big Ten","16",694
"Week 3",14,"Oklahoma",,"1-1","Big 12","14",686
"Week 3",15,"Tennessee",,"2-0","SEC","17",665
"Week 3",16,"Georgia",,"2-0","SEC","9",584
"Week 3",17,"Texas A&M",,"2-0","SEC","20",564
"Week 3",18,"Notre Dame",,"1-1","Independent","18",526
"Week 3",19,"Mississippi",,"1-1","SEC","19",473
"Week 3",20,"LSU",,"1-1","SEC","21",391
"Week 3",21,"Baylor",,"2-0","Big 12","23",305
"Week 3",22,"Oregon",,"2-0","Pac-12","24",292
"Week 3",23,"Florida",,"2-0","SEC","-",205
"Week 3",24,"Arkansas",,"2-0","SEC","-",198
"Week 3",25,"Miami (FL)",,"2-0","ACC","25",197
