"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","8-0",1524,"Week 10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"Michigan","8-0",1435,"Week 10",2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,4,3,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,3,4,2,2,3,2,2,3,3,3,3,2,3,3,2,2,2,3,4,2,2,2,2,3,2,1,2,3,3,4
"Clemson","8-0",1401,"Week 10",3,2,4,3,2,3,3,2,4,2,3,3,2,4,2,2,4,3,3,4,3,4,4,3,2,3,3,4,3,4,3,4,2,2,3,3,2,3,4,2,2,2,2,4,4,2,4,3,4,2,3,4,4,3,4,4,4,3,3,2,4,2
"Washington","8-0",1369,"Week 10",4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,5,2,4,4,2,4,3,3,4,4,4,4,2,4,3,4,3,6,3,4,4,4,4,3,4,4,4,4,3,2,4,3,4,3,4,2,3,3,4,3,2,3,5,4,4,2,3
"Louisville","7-1",1262,"Week 10",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,6,6,5,5,5,6,5,7,5,5,5,5,5,5,5,7,6,5,7,5,5,5,5,5,5,5,6,5,6,5,5,5,5,8,5,5,6,6,8,5,4,5,5,6,6
"Ohio State","7-1",1207,"Week 10",6,7,6,6,6,6,7,6,6,7,6,6,6,7,6,6,6,7,7,6,6,6,7,7,5,6,6,6,6,6,6,6,4,10,6,5,6,6,6,6,7,6,6,7,6,7,6,7,6,6,5,7,6,7,5,5,6,6,6,6,7,7
"Texas A&M","7-1",1150,"Week 10",7,6,7,9,7,9,6,8,7,6,7,7,8,6,8,7,8,5,5,12,9,7,5,6,6,7,7,8,8,8,7,8,9,7,8,6,7,7,7,10,6,7,9,5,7,5,8,9,8,8,6,6,8,5,7,7,8,7,8,7,5,5
"Wisconsin","6-2",1122,"Week 10",8,8,8,7,8,7,8,7,8,8,8,8,7,8,7,8,7,8,8,7,7,8,8,8,8,9,8,7,7,7,8,7,5,5,7,8,8,8,8,7,8,8,7,8,8,9,7,8,7,7,7,8,7,8,8,6,7,8,7,8,8,12
"Nebraska","7-1",951,"Week 10",9,10,10,11,9,8,11,9,13,9,10,12,10,10,10,12,10,10,9,11,10,9,10,9,10,10,10,9,11,11,10,15,12,8,9,14,12,10,10,13,10,9,8,12,11,10,10,10,12,10,12,9,11,10,11,11,9,9,10,10,16,9
"Florida","6-1",929,"Week 10",10,9,11,10,10,10,10,12,11,10,12,10,9,13,9,11,11,9,10,10,8,10,12,13,11,8,9,12,13,9,9,9,11,16,10,20,9,11,9,9,15,11,11,9,14,11,12,11,9,14,9,10,9,9,13,18,10,11,9,9,10,8
