"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","10-0",1525,"Week 12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ohio State","9-1",1455,"Week 12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Louisville","9-1",1357,"Week 12",3,4,5,3,6,3,4,5,3,5,3,3,4,5,3,3,3,4,2,5,3,3,5,3,4,3,2,2,5,3,3,6,3,2,5,3,4,3,5,3,3,4,4,5,2,5,5,3,3,3,3,3,6,3,3,4,5,3,5,5,5,4
"Michigan","9-1",1323,"Week 12",4,5,3,7,4,4,5,4,4,4,5,4,5,4,4,5,4,5,4,3,5,5,3,4,5,4,4,4,3,4,5,3,6,11,3,4,6,4,4,5,4,5,3,2,4,4,3,4,4,5,5,5,5,4,4,3,3,5,3,4,4,5
"Clemson","9-1",1304,"Week 12",5,3,4,8,3,6,3,3,7,3,4,5,3,3,6,4,6,3,6,4,6,4,4,5,3,5,5,5,4,5,6,4,7,10,4,9,3,5,3,4,5,3,5,3,7,3,4,5,7,4,4,6,3,5,5,7,4,4,4,3,3,3
"Wisconsin","8-2",1214,"Week 12",6,7,8,4,8,5,6,6,5,7,7,6,7,6,5,6,5,6,5,6,4,6,6,6,6,7,6,7,6,6,4,5,4,3,7,6,7,7,7,6,7,6,7,7,5,6,6,7,6,6,6,7,7,6,6,5,6,7,7,8,7,6
"Washington","9-1",1150,"Week 12",7,6,6,6,5,7,7,8,8,6,6,8,6,7,7,7,7,7,10,9,8,9,7,10,7,6,11,6,7,7,9,7,8,9,6,10,8,6,6,7,6,7,6,6,6,7,9,6,5,9,7,8,4,7,8,6,7,10,6,6,6,7
"Oklahoma","8-2",1064,"Week 12",8,8,10,5,9,8,9,9,6,8,8,7,8,8,8,11,10,8,8,7,9,8,14,7,8,8,7,8,9,8,8,9,5,7,9,8,9,8,8,8,8,8,11,8,9,9,8,11,8,11,9,9,10,8,9,14,9,8,8,9,9,9
"Penn State","8-2",961,"Week 12",9,13,7,16,7,12,8,7,9,11,13,10,11,9,9,8,8,10,7,8,10,7,9,16,9,11,8,11,8,13,7,8,10,4,11,5,12,11,10,15,12,10,8,16,12,8,10,8,10,7,10,4,14,10,17,13,11,15,14,13,12,13
"West Virginia","8-1",920,"Week 12",10,11,9,21,13,11,11,10,11,9,9,9,9,11,10,14,19,9,14,10,7,15,13,18,10,9,9,10,10,9,12,23,9,14,10,12,5,10,9,14,9,9,12,9,8,13,7,13,16,17,8,12,8,12,7,12,8,6,9,7,8,8
"Utah","8-2",807,"Week 12",11,9,11,12,11,20,16,12,12,10,12,15,14,10,11,15,11,11,18,17,17,10,15,8,13,12,12,9,12,11,13,14,11,17,14,16,10,9,15,17,10,11,20,21,11,14,11,12,14,12,12,18,9,15,12,9,13,13,10,10,10,10
"Colorado","8-2",797,"Week 12",12,10,13,19,10,14,15,11,13,14,11,11,13,13,14,18,17,13,11,15,11,11,11,11,12,10,10,16,11,21,10,10,13,13,13,11,11,12,12,16,11,12,10,10,10,11,16,15,9,16,13,13,15,11,10,8,19,21,16,14,14,15
"Oklahoma State","8-2",659,"Week 12",13,20,16,10,12,9,10,15,10,15,10,12,21,16,15,19,22,14,13,18,18,23,12,23,15,13,13,13,15,19,11,18,14,23,12,18,15,19,14,10,19,16,17,20,16,12,13,17,19,15,18,10,11,9,16,11,17,20,11,19,15,11
