"Rank","Team","Record","Points","PV.Rank","Voter","Week"
22,"Penn State","5-2",193,"-","bill-landis","Week 9"
23,"Oklahoma","5-2",626,"16","bill-landis","Week 9"
24,"Colorado","6-2",207,"-","bill-landis","Week 9"
25,"Navy","5-1",251,"24","bill-landis","Week 9"
1,"Alabama","8-0",1524,"1","bob-asmussen","Week 9"
2,"Michigan","7-0",1446,"3","bob-asmussen","Week 9"
3,"Clemson","7-0",1382,"4","bob-asmussen","Week 9"
4,"Washington","7-0",1373,"5","bob-asmussen","Week 9"
5,"Louisville","6-1",1276,"7","bob-asmussen","Week 9"
6,"Nebraska","7-0",1083,"8","bob-asmussen","Week 9"
7,"Baylor","6-0",1063,"9","bob-asmussen","Week 9"
8,"Wisconsin","5-2",980,"10","bob-asmussen","Week 9"
9,"Ohio State","6-1",1143,"2","bob-asmussen","Week 9"
10,"Texas A&M","6-1",1007,"6","bob-asmussen","Week 9"
11,"West Virginia","6-0",997,"12","bob-asmussen","Week 9"
12,"Florida","5-1",654,"15","bob-asmussen","Week 9"
13,"Oklahoma","5-2",626,"16","bob-asmussen","Week 9"
14,"Navy","5-1",251,"24","bob-asmussen","Week 9"
15,"Boise State","7-0",716,"14","bob-asmussen","Week 9"
16,"Florida State","5-2",725,"13","bob-asmussen","Week 9"
17,"Tennessee","5-2",572,"18","bob-asmussen","Week 9"
18,"Western Michigan","8-0",349,"20","bob-asmussen","Week 9"
19,"Utah","7-1",584,"19","bob-asmussen","Week 9"
20,"Auburn","5-2",641,"21","bob-asmussen","Week 9"
21,"Colorado","6-2",207,"-","bob-asmussen","Week 9"
22,"North Carolina","6-2",328,"22","bob-asmussen","Week 9"
23,"LSU","5-2",352,"25","bob-asmussen","Week 9"
24,"Virginia Tech","5-2",110,"-","bob-asmussen","Week 9"
25,"Houston","6-2",67,"11","bob-asmussen","Week 9"
1,"Alabama","8-0",1524,"1","brent-axe","Week 9"
2,"Michigan","7-0",1446,"3","brent-axe","Week 9"
3,"Washington","7-0",1373,"5","brent-axe","Week 9"
4,"Clemson","7-0",1382,"4","brent-axe","Week 9"
5,"Louisville","6-1",1276,"7","brent-axe","Week 9"
6,"Nebraska","7-0",1083,"8","brent-axe","Week 9"
7,"Texas A&M","6-1",1007,"6","brent-axe","Week 9"
8,"Ohio State","6-1",1143,"2","brent-axe","Week 9"
9,"Baylor","6-0",1063,"9","brent-axe","Week 9"
10,"Boise State","7-0",716,"14","brent-axe","Week 9"
11,"West Virginia","6-0",997,"12","brent-axe","Week 9"
12,"Wisconsin","5-2",980,"10","brent-axe","Week 9"
13,"Auburn","5-2",641,"21","brent-axe","Week 9"
14,"Utah","7-1",584,"19","brent-axe","Week 9"
15,"Tennessee","5-2",572,"18","brent-axe","Week 9"
16,"Florida","5-1",654,"15","brent-axe","Week 9"
17,"Navy","5-1",251,"24","brent-axe","Week 9"
18,"Florida State","5-2",725,"13","brent-axe","Week 9"
19,"Western Michigan","8-0",349,"20","brent-axe","Week 9"
20,"Oklahoma","5-2",626,"16","brent-axe","Week 9"
21,"North Carolina","6-2",328,"22","brent-axe","Week 9"
22,"Washington State","5-2",84,"-","brent-axe","Week 9"
23,"Colorado","6-2",207,"-","brent-axe","Week 9"
24,"Penn State","5-2",193,"-","brent-axe","Week 9"
25,"LSU","5-2",352,"25","brent-axe","Week 9"
1,"Alabama","8-0",1524,"1","brett-mcmurphy","Week 9"
2,"Clemson","7-0",1382,"4","brett-mcmurphy","Week 9"
3,"Michigan","7-0",1446,"3","brett-mcmurphy","Week 9"
4,"Washington","7-0",1373,"5","brett-mcmurphy","Week 9"
5,"Louisville","6-1",1276,"7","brett-mcmurphy","Week 9"
6,"Ohio State","6-1",1143,"2","brett-mcmurphy","Week 9"
7,"West Virginia","6-0",997,"12","brett-mcmurphy","Week 9"
8,"Nebraska","7-0",1083,"8","brett-mcmurphy","Week 9"
9,"Wisconsin","5-2",980,"10","brett-mcmurphy","Week 9"
10,"Texas A&M","6-1",1007,"6","brett-mcmurphy","Week 9"
11,"Baylor","6-0",1063,"9","brett-mcmurphy","Week 9"
12,"Boise State","7-0",716,"14","brett-mcmurphy","Week 9"
13,"Utah","7-1",584,"19","brett-mcmurphy","Week 9"
14,"Florida State","5-2",725,"13","brett-mcmurphy","Week 9"
15,"Tennessee","5-2",572,"18","brett-mcmurphy","Week 9"
16,"Florida","5-1",654,"15","brett-mcmurphy","Week 9"
17,"Oklahoma","5-2",626,"16","brett-mcmurphy","Week 9"
18,"Western Michigan","8-0",349,"20","brett-mcmurphy","Week 9"
19,"Washington State","5-2",84,"-","brett-mcmurphy","Week 9"
20,"Auburn","5-2",641,"21","brett-mcmurphy","Week 9"
21,"Colorado","6-2",207,"-","brett-mcmurphy","Week 9"
22,"Navy","5-1",251,"24","brett-mcmurphy","Week 9"
23,"LSU","5-2",352,"25","brett-mcmurphy","Week 9"
24,"Virginia Tech","5-2",110,"-","brett-mcmurphy","Week 9"
25,"North Carolina","6-2",328,"22","brett-mcmurphy","Week 9"
1,"Alabama","8-0",1524,"1","brian-howell","Week 9"
2,"Michigan","7-0",1446,"3","brian-howell","Week 9"
3,"Washington","7-0",1373,"5","brian-howell","Week 9"
4,"Clemson","7-0",1382,"4","brian-howell","Week 9"
5,"Louisville","6-1",1276,"7","brian-howell","Week 9"
6,"Ohio State","6-1",1143,"2","brian-howell","Week 9"
7,"Baylor","6-0",1063,"9","brian-howell","Week 9"
8,"Texas A&M","6-1",1007,"6","brian-howell","Week 9"
9,"Oklahoma","5-2",626,"16","brian-howell","Week 9"
10,"Nebraska","7-0",1083,"8","brian-howell","Week 9"
11,"West Virginia","6-0",997,"12","brian-howell","Week 9"
12,"Wisconsin","5-2",980,"10","brian-howell","Week 9"
13,"Auburn","5-2",641,"21","brian-howell","Week 9"
14,"Florida State","5-2",725,"13","brian-howell","Week 9"
15,"Florida","5-1",654,"15","brian-howell","Week 9"
16,"Utah","7-1",584,"19","brian-howell","Week 9"
17,"Boise State","7-0",716,"14","brian-howell","Week 9"
18,"Tennessee","5-2",572,"18","brian-howell","Week 9"
19,"North Carolina","6-2",328,"22","brian-howell","Week 9"
20,"Penn State","5-2",193,"-","brian-howell","Week 9"
21,"Colorado","6-2",207,"-","brian-howell","Week 9"
22,"LSU","5-2",352,"25","brian-howell","Week 9"
23,"Western Michigan","8-0",349,"20","brian-howell","Week 9"
24,"Navy","5-1",251,"24","brian-howell","Week 9"
25,"Washington State","5-2",84,"-","brian-howell","Week 9"
1,"Alabama","8-0",1524,"1","chris-murray","Week 9"
2,"Michigan","7-0",1446,"3","chris-murray","Week 9"
3,"Clemson","7-0",1382,"4","chris-murray","Week 9"
4,"Washington","7-0",1373,"5","chris-murray","Week 9"
5,"Louisville","6-1",1276,"7","chris-murray","Week 9"
6,"Baylor","6-0",1063,"9","chris-murray","Week 9"
7,"Texas A&M","6-1",1007,"6","chris-murray","Week 9"
8,"Ohio State","6-1",1143,"2","chris-murray","Week 9"
9,"Nebraska","7-0",1083,"8","chris-murray","Week 9"
10,"Wisconsin","5-2",980,"10","chris-murray","Week 9"
11,"Florida","5-1",654,"15","chris-murray","Week 9"
12,"Boise State","7-0",716,"14","chris-murray","Week 9"
13,"West Virginia","6-0",997,"12","chris-murray","Week 9"
14,"Auburn","5-2",641,"21","chris-murray","Week 9"
15,"Oklahoma","5-2",626,"16","chris-murray","Week 9"
16,"Florida State","5-2",725,"13","chris-murray","Week 9"
17,"Utah","7-1",584,"19","chris-murray","Week 9"
18,"Tennessee","5-2",572,"18","chris-murray","Week 9"
19,"Western Michigan","8-0",349,"20","chris-murray","Week 9"
20,"Navy","5-1",251,"24","chris-murray","Week 9"
21,"LSU","5-2",352,"25","chris-murray","Week 9"
22,"Colorado","6-2",207,"-","chris-murray","Week 9"
23,"Houston","6-2",67,"11","chris-murray","Week 9"
24,"North Carolina","6-2",328,"22","chris-murray","Week 9"
25,"Penn State","5-2",193,"-","chris-murray","Week 9"
1,"Alabama","8-0",1524,"1","chuck-carlton","Week 9"
2,"Michigan","7-0",1446,"3","chuck-carlton","Week 9"
3,"Washington","7-0",1373,"5","chuck-carlton","Week 9"
4,"Clemson","7-0",1382,"4","chuck-carlton","Week 9"
5,"Louisville","6-1",1276,"7","chuck-carlton","Week 9"
6,"West Virginia","6-0",997,"12","chuck-carlton","Week 9"
7,"Ohio State","6-1",1143,"2","chuck-carlton","Week 9"
8,"Texas A&M","6-1",1007,"6","chuck-carlton","Week 9"
9,"Baylor","6-0",1063,"9","chuck-carlton","Week 9"
10,"Nebraska","7-0",1083,"8","chuck-carlton","Week 9"
11,"Wisconsin","5-2",980,"10","chuck-carlton","Week 9"
12,"Oklahoma","5-2",626,"16","chuck-carlton","Week 9"
13,"Florida State","5-2",725,"13","chuck-carlton","Week 9"
14,"Utah","7-1",584,"19","chuck-carlton","Week 9"
15,"Boise State","7-0",716,"14","chuck-carlton","Week 9"
16,"Auburn","5-2",641,"21","chuck-carlton","Week 9"
17,"Tennessee","5-2",572,"18","chuck-carlton","Week 9"
18,"Florida","5-1",654,"15","chuck-carlton","Week 9"
19,"Colorado","6-2",207,"-","chuck-carlton","Week 9"
20,"Western Michigan","8-0",349,"20","chuck-carlton","Week 9"
21,"Oklahoma State","5-2",62,"-","chuck-carlton","Week 9"
22,"Navy","5-1",251,"24","chuck-carlton","Week 9"
23,"North Carolina","6-2",328,"22","chuck-carlton","Week 9"
24,"LSU","5-2",352,"25","chuck-carlton","Week 9"
25,"Penn State","5-2",193,"-","chuck-carlton","Week 9"
1,"Alabama","8-0",1524,"1","dana-sulonen","Week 9"
2,"Michigan","7-0",1446,"3","dana-sulonen","Week 9"
3,"Clemson","7-0",1382,"4","dana-sulonen","Week 9"
4,"Washington","7-0",1373,"5","dana-sulonen","Week 9"
5,"Louisville","6-1",1276,"7","dana-sulonen","Week 9"
6,"Ohio State","6-1",1143,"2","dana-sulonen","Week 9"
7,"Baylor","6-0",1063,"9","dana-sulonen","Week 9"
8,"West Virginia","6-0",997,"12","dana-sulonen","Week 9"
9,"Nebraska","7-0",1083,"8","dana-sulonen","Week 9"
10,"Wisconsin","5-2",980,"10","dana-sulonen","Week 9"
11,"Texas A&M","6-1",1007,"6","dana-sulonen","Week 9"
12,"Boise State","7-0",716,"14","dana-sulonen","Week 9"
13,"Florida State","5-2",725,"13","dana-sulonen","Week 9"
14,"Auburn","5-2",641,"21","dana-sulonen","Week 9"
15,"Florida","5-1",654,"15","dana-sulonen","Week 9"
16,"Oklahoma","5-2",626,"16","dana-sulonen","Week 9"
17,"Tennessee","5-2",572,"18","dana-sulonen","Week 9"
18,"Utah","7-1",584,"19","dana-sulonen","Week 9"
19,"Western Michigan","8-0",349,"20","dana-sulonen","Week 9"
20,"LSU","5-2",352,"25","dana-sulonen","Week 9"
21,"North Carolina","6-2",328,"22","dana-sulonen","Week 9"
22,"Navy","5-1",251,"24","dana-sulonen","Week 9"
23,"Colorado","6-2",207,"-","dana-sulonen","Week 9"
24,"Virginia Tech","5-2",110,"-","dana-sulonen","Week 9"
25,"Washington State","5-2",84,"-","dana-sulonen","Week 9"
1,"Alabama","8-0",1524,"1","dave-southorn","Week 9"
2,"Michigan","7-0",1446,"3","dave-southorn","Week 9"
3,"Clemson","7-0",1382,"4","dave-southorn","Week 9"
4,"Washington","7-0",1373,"5","dave-southorn","Week 9"
5,"Louisville","6-1",1276,"7","dave-southorn","Week 9"
6,"Ohio State","6-1",1143,"2","dave-southorn","Week 9"
7,"Texas A&M","6-1",1007,"6","dave-southorn","Week 9"
8,"West Virginia","6-0",997,"12","dave-southorn","Week 9"
9,"Nebraska","7-0",1083,"8","dave-southorn","Week 9"
10,"Wisconsin","5-2",980,"10","dave-southorn","Week 9"
11,"Baylor","6-0",1063,"9","dave-southorn","Week 9"
12,"Florida State","5-2",725,"13","dave-southorn","Week 9"
13,"Boise State","7-0",716,"14","dave-southorn","Week 9"
14,"Florida","5-1",654,"15","dave-southorn","Week 9"
15,"Auburn","5-2",641,"21","dave-southorn","Week 9"
16,"Oklahoma","5-2",626,"16","dave-southorn","Week 9"
17,"Utah","7-1",584,"19","dave-southorn","Week 9"
18,"Tennessee","5-2",572,"18","dave-southorn","Week 9"
19,"LSU","5-2",352,"25","dave-southorn","Week 9"
20,"Western Michigan","8-0",349,"20","dave-southorn","Week 9"
21,"Navy","5-1",251,"24","dave-southorn","Week 9"
22,"Colorado","6-2",207,"-","dave-southorn","Week 9"
23,"Washington State","5-2",84,"-","dave-southorn","Week 9"
24,"North Carolina","6-2",328,"22","dave-southorn","Week 9"
25,"Penn State","5-2",193,"-","dave-southorn","Week 9"
1,"Alabama","8-0",1524,"1","david-briggs","Week 9"
2,"Michigan","7-0",1446,"3","david-briggs","Week 9"
3,"Washington","7-0",1373,"5","david-briggs","Week 9"
4,"Clemson","7-0",1382,"4","david-briggs","Week 9"
5,"Louisville","6-1",1276,"7","david-briggs","Week 9"
6,"Texas A&M","6-1",1007,"6","david-briggs","Week 9"
7,"Ohio State","6-1",1143,"2","david-briggs","Week 9"
8,"Wisconsin","5-2",980,"10","david-briggs","Week 9"
9,"West Virginia","6-0",997,"12","david-briggs","Week 9"
10,"Nebraska","7-0",1083,"8","david-briggs","Week 9"
11,"Auburn","5-2",641,"21","david-briggs","Week 9"
12,"Florida State","5-2",725,"13","david-briggs","Week 9"
13,"Baylor","6-0",1063,"9","david-briggs","Week 9"
14,"Boise State","7-0",716,"14","david-briggs","Week 9"
15,"Oklahoma","5-2",626,"16","david-briggs","Week 9"
16,"Tennessee","5-2",572,"18","david-briggs","Week 9"
17,"Florida","5-1",654,"15","david-briggs","Week 9"
18,"Utah","7-1",584,"19","david-briggs","Week 9"
19,"LSU","5-2",352,"25","david-briggs","Week 9"
20,"Western Michigan","8-0",349,"20","david-briggs","Week 9"
21,"Colorado","6-2",207,"-","david-briggs","Week 9"
22,"Washington State","5-2",84,"-","david-briggs","Week 9"
23,"Virginia Tech","5-2",110,"-","david-briggs","Week 9"
24,"Navy","5-1",251,"24","david-briggs","Week 9"
25,"Penn State","5-2",193,"-","david-briggs","Week 9"
1,"Alabama","8-0",1524,"1","ed-daigneault","Week 9"
2,"Clemson","7-0",1382,"4","ed-daigneault","Week 9"
3,"Michigan","7-0",1446,"3","ed-daigneault","Week 9"
4,"Louisville","6-1",1276,"7","ed-daigneault","Week 9"
5,"Washington","7-0",1373,"5","ed-daigneault","Week 9"
6,"Baylor","6-0",1063,"9","ed-daigneault","Week 9"
7,"Nebraska","7-0",1083,"8","ed-daigneault","Week 9"
8,"Ohio State","6-1",1143,"2","ed-daigneault","Week 9"
9,"Wisconsin","5-2",980,"10","ed-daigneault","Week 9"
10,"West Virginia","6-0",997,"12","ed-daigneault","Week 9"
11,"Texas A&M","6-1",1007,"6","ed-daigneault","Week 9"
12,"Boise State","7-0",716,"14","ed-daigneault","Week 9"
13,"Florida","5-1",654,"15","ed-daigneault","Week 9"
14,"Oklahoma","5-2",626,"16","ed-daigneault","Week 9"
15,"Florida State","5-2",725,"13","ed-daigneault","Week 9"
16,"Tennessee","5-2",572,"18","ed-daigneault","Week 9"
17,"Auburn","5-2",641,"21","ed-daigneault","Week 9"
18,"North Carolina","6-2",328,"22","ed-daigneault","Week 9"
19,"Utah","7-1",584,"19","ed-daigneault","Week 9"
20,"LSU","5-2",352,"25","ed-daigneault","Week 9"
21,"Navy","5-1",251,"24","ed-daigneault","Week 9"
22,"Penn State","5-2",193,"-","ed-daigneault","Week 9"
23,"Virginia Tech","5-2",110,"-","ed-daigneault","Week 9"
24,"Western Michigan","8-0",349,"20","ed-daigneault","Week 9"
25,"Colorado","6-2",207,"-","ed-daigneault","Week 9"
1,"Alabama","8-0",1524,"1","ed-johnson","Week 9"
2,"Clemson","7-0",1382,"4","ed-johnson","Week 9"
3,"Louisville","6-1",1276,"7","ed-johnson","Week 9"
4,"Michigan","7-0",1446,"3","ed-johnson","Week 9"
5,"Washington","7-0",1373,"5","ed-johnson","Week 9"
6,"West Virginia","6-0",997,"12","ed-johnson","Week 9"
7,"Ohio State","6-1",1143,"2","ed-johnson","Week 9"
8,"Baylor","6-0",1063,"9","ed-johnson","Week 9"
9,"Texas A&M","6-1",1007,"6","ed-johnson","Week 9"
10,"Wisconsin","5-2",980,"10","ed-johnson","Week 9"
11,"Auburn","5-2",641,"21","ed-johnson","Week 9"
12,"LSU","5-2",352,"25","ed-johnson","Week 9"
13,"Tennessee","5-2",572,"18","ed-johnson","Week 9"
14,"Nebraska","7-0",1083,"8","ed-johnson","Week 9"
15,"Florida State","5-2",725,"13","ed-johnson","Week 9"
16,"Oklahoma","5-2",626,"16","ed-johnson","Week 9"
17,"Florida","5-1",654,"15","ed-johnson","Week 9"
18,"North Carolina","6-2",328,"22","ed-johnson","Week 9"
19,"Boise State","7-0",716,"14","ed-johnson","Week 9"
20,"Utah","7-1",584,"19","ed-johnson","Week 9"
21,"Arkansas","5-3",14,"17","ed-johnson","Week 9"
22,"Oklahoma State","5-2",62,"-","ed-johnson","Week 9"
23,"Virginia Tech","5-2",110,"-","ed-johnson","Week 9"
24,"Western Michigan","8-0",349,"20","ed-johnson","Week 9"
25,"Houston","6-2",67,"11","ed-johnson","Week 9"
1,"Alabama","8-0",1524,"1","eric-hansen","Week 9"
2,"Washington","7-0",1373,"5","eric-hansen","Week 9"
3,"Michigan","7-0",1446,"3","eric-hansen","Week 9"
4,"Clemson","7-0",1382,"4","eric-hansen","Week 9"
5,"Louisville","6-1",1276,"7","eric-hansen","Week 9"
6,"Ohio State","6-1",1143,"2","eric-hansen","Week 9"
7,"Wisconsin","5-2",980,"10","eric-hansen","Week 9"
8,"Texas A&M","6-1",1007,"6","eric-hansen","Week 9"
9,"Nebraska","7-0",1083,"8","eric-hansen","Week 9"
10,"West Virginia","6-0",997,"12","eric-hansen","Week 9"
11,"Florida State","5-2",725,"13","eric-hansen","Week 9"
12,"Tennessee","5-2",572,"18","eric-hansen","Week 9"
13,"Auburn","5-2",641,"21","eric-hansen","Week 9"
14,"Oklahoma","5-2",626,"16","eric-hansen","Week 9"
15,"Baylor","6-0",1063,"9","eric-hansen","Week 9"
16,"Western Michigan","8-0",349,"20","eric-hansen","Week 9"
17,"Boise State","7-0",716,"14","eric-hansen","Week 9"
18,"Houston","6-2",67,"11","eric-hansen","Week 9"
19,"Virginia Tech","5-2",110,"-","eric-hansen","Week 9"
20,"Utah","7-1",584,"19","eric-hansen","Week 9"
21,"Navy","5-1",251,"24","eric-hansen","Week 9"
22,"North Carolina","6-2",328,"22","eric-hansen","Week 9"
23,"Penn State","5-2",193,"-","eric-hansen","Week 9"
24,"Florida","5-1",654,"15","eric-hansen","Week 9"
25,"LSU","5-2",352,"25","eric-hansen","Week 9"
1,"Alabama","8-0",1524,"1","ferd-lewis","Week 9"
2,"Michigan","7-0",1446,"3","ferd-lewis","Week 9"
3,"Clemson","7-0",1382,"4","ferd-lewis","Week 9"
4,"Washington","7-0",1373,"5","ferd-lewis","Week 9"
5,"Louisville","6-1",1276,"7","ferd-lewis","Week 9"
6,"Nebraska","7-0",1083,"8","ferd-lewis","Week 9"
7,"Baylor","6-0",1063,"9","ferd-lewis","Week 9"
8,"Ohio State","6-1",1143,"2","ferd-lewis","Week 9"
9,"Wisconsin","5-2",980,"10","ferd-lewis","Week 9"
10,"West Virginia","6-0",997,"12","ferd-lewis","Week 9"
11,"Texas A&M","6-1",1007,"6","ferd-lewis","Week 9"
12,"Florida State","5-2",725,"13","ferd-lewis","Week 9"
13,"Florida","5-1",654,"15","ferd-lewis","Week 9"
14,"Penn State","5-2",193,"-","ferd-lewis","Week 9"
15,"Boise State","7-0",716,"14","ferd-lewis","Week 9"
16,"Auburn","5-2",641,"21","ferd-lewis","Week 9"
17,"Oklahoma","5-2",626,"16","ferd-lewis","Week 9"
18,"Utah","7-1",584,"19","ferd-lewis","Week 9"
19,"Tennessee","5-2",572,"18","ferd-lewis","Week 9"
20,"Western Michigan","8-0",349,"20","ferd-lewis","Week 9"
21,"North Carolina","6-2",328,"22","ferd-lewis","Week 9"
22,"Navy","5-1",251,"24","ferd-lewis","Week 9"
23,"LSU","5-2",352,"25","ferd-lewis","Week 9"
24,"Colorado","6-2",207,"-","ferd-lewis","Week 9"
25,"Washington State","5-2",84,"-","ferd-lewis","Week 9"
1,"Alabama","8-0",1524,"1","garland-gillen","Week 9"
2,"Michigan","7-0",1446,"3","garland-gillen","Week 9"
3,"Clemson","7-0",1382,"4","garland-gillen","Week 9"
4,"Washington","7-0",1373,"5","garland-gillen","Week 9"
5,"Louisville","6-1",1276,"7","garland-gillen","Week 9"
