"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","8-0",1524,"1","ap","Week 9"
2,"Michigan","7-0",1446,"3","ap","Week 9"
3,"Clemson","7-0",1382,"4","ap","Week 9"
4,"Washington","7-0",1373,"5","ap","Week 9"
5,"Louisville","6-1",1276,"7","ap","Week 9"
6,"Ohio State","6-1",1143,"2","ap","Week 9"
7,"Nebraska","7-0",1083,"8","ap","Week 9"
8,"Baylor","6-0",1063,"9","ap","Week 9"
9,"Texas A&M","6-1",1007,"6","ap","Week 9"
10,"West Virginia","6-0",997,"12","ap","Week 9"
11,"Wisconsin","5-2",980,"10","ap","Week 9"
12,"Florida State","5-2",725,"13","ap","Week 9"
13,"Boise State","7-0",716,"14","ap","Week 9"
14,"Florida","5-1",654,"15","ap","Week 9"
15,"Auburn","5-2",641,"21","ap","Week 9"
16,"Oklahoma","5-2",626,"16","ap","Week 9"
17,"Utah","7-1",584,"19","ap","Week 9"
18,"Tennessee","5-2",572,"18","ap","Week 9"
19,"LSU","5-2",352,"25","ap","Week 9"
20,"Western Michigan","8-0",349,"20","ap","Week 9"
21,"North Carolina","6-2",328,"22","ap","Week 9"
22,"Navy","5-1",251,"24","ap","Week 9"
23,"Colorado","6-2",207,"-","ap","Week 9"
24,"Penn State","5-2",193,"-","ap","Week 9"
25,"Virginia Tech","5-2",110,"-","ap","Week 9"
1,"Alabama","8-0",1524,"1","adam-jude","Week 9"
2,"Clemson","7-0",1382,"4","adam-jude","Week 9"
3,"Michigan","7-0",1446,"3","adam-jude","Week 9"
4,"Washington","7-0",1373,"5","adam-jude","Week 9"
5,"Louisville","6-1",1276,"7","adam-jude","Week 9"
6,"Nebraska","7-0",1083,"8","adam-jude","Week 9"
7,"Baylor","6-0",1063,"9","adam-jude","Week 9"
8,"West Virginia","6-0",997,"12","adam-jude","Week 9"
9,"Ohio State","6-1",1143,"2","adam-jude","Week 9"
10,"Wisconsin","5-2",980,"10","adam-jude","Week 9"
11,"Texas A&M","6-1",1007,"6","adam-jude","Week 9"
12,"Florida State","5-2",725,"13","adam-jude","Week 9"
13,"Florida","5-1",654,"15","adam-jude","Week 9"
14,"Utah","7-1",584,"19","adam-jude","Week 9"
15,"Boise State","7-0",716,"14","adam-jude","Week 9"
16,"Tennessee","5-2",572,"18","adam-jude","Week 9"
17,"Oklahoma","5-2",626,"16","adam-jude","Week 9"
18,"LSU","5-2",352,"25","adam-jude","Week 9"
19,"Auburn","5-2",641,"21","adam-jude","Week 9"
20,"Colorado","6-2",207,"-","adam-jude","Week 9"
21,"North Carolina","6-2",328,"22","adam-jude","Week 9"
22,"Western Michigan","8-0",349,"20","adam-jude","Week 9"
23,"Virginia Tech","5-2",110,"-","adam-jude","Week 9"
24,"Navy","5-1",251,"24","adam-jude","Week 9"
25,"Washington State","5-2",84,"-","adam-jude","Week 9"
1,"Alabama","8-0",1524,"1","adam-zucker","Week 9"
2,"Michigan","7-0",1446,"3","adam-zucker","Week 9"
3,"Washington","7-0",1373,"5","adam-zucker","Week 9"
4,"Clemson","7-0",1382,"4","adam-zucker","Week 9"
5,"Louisville","6-1",1276,"7","adam-zucker","Week 9"
6,"West Virginia","6-0",997,"12","adam-zucker","Week 9"
7,"Nebraska","7-0",1083,"8","adam-zucker","Week 9"
8,"Ohio State","6-1",1143,"2","adam-zucker","Week 9"
9,"Baylor","6-0",1063,"9","adam-zucker","Week 9"
10,"Texas A&M","6-1",1007,"6","adam-zucker","Week 9"
11,"Wisconsin","5-2",980,"10","adam-zucker","Week 9"
12,"Auburn","5-2",641,"21","adam-zucker","Week 9"
13,"Utah","7-1",584,"19","adam-zucker","Week 9"
14,"Florida","5-1",654,"15","adam-zucker","Week 9"
15,"Florida State","5-2",725,"13","adam-zucker","Week 9"
16,"Colorado","6-2",207,"-","adam-zucker","Week 9"
17,"Tennessee","5-2",572,"18","adam-zucker","Week 9"
18,"Boise State","7-0",716,"14","adam-zucker","Week 9"
19,"LSU","5-2",352,"25","adam-zucker","Week 9"
20,"Navy","5-1",251,"24","adam-zucker","Week 9"
21,"Western Michigan","8-0",349,"20","adam-zucker","Week 9"
22,"Houston","6-2",67,"11","adam-zucker","Week 9"
23,"Oklahoma","5-2",626,"16","adam-zucker","Week 9"
24,"Washington State","5-2",84,"-","adam-zucker","Week 9"
25,"North Carolina","6-2",328,"22","adam-zucker","Week 9"
1,"Alabama","8-0",1524,"1","andy-greder","Week 9"
2,"Michigan","7-0",1446,"3","andy-greder","Week 9"
3,"Clemson","7-0",1382,"4","andy-greder","Week 9"
4,"Washington","7-0",1373,"5","andy-greder","Week 9"
5,"Louisville","6-1",1276,"7","andy-greder","Week 9"
6,"Ohio State","6-1",1143,"2","andy-greder","Week 9"
7,"Wisconsin","5-2",980,"10","andy-greder","Week 9"
8,"Nebraska","7-0",1083,"8","andy-greder","Week 9"
9,"Oklahoma","5-2",626,"16","andy-greder","Week 9"
10,"Texas A&M","6-1",1007,"6","andy-greder","Week 9"
11,"Baylor","6-0",1063,"9","andy-greder","Week 9"
12,"Florida","5-1",654,"15","andy-greder","Week 9"
13,"Florida State","5-2",725,"13","andy-greder","Week 9"
14,"Auburn","5-2",641,"21","andy-greder","Week 9"
15,"Boise State","7-0",716,"14","andy-greder","Week 9"
16,"Tennessee","5-2",572,"18","andy-greder","Week 9"
17,"Utah","7-1",584,"19","andy-greder","Week 9"
18,"Oklahoma State","5-2",62,"-","andy-greder","Week 9"
19,"West Virginia","6-0",997,"12","andy-greder","Week 9"
20,"Western Michigan","8-0",349,"20","andy-greder","Week 9"
21,"North Carolina","6-2",328,"22","andy-greder","Week 9"
22,"Colorado","6-2",207,"-","andy-greder","Week 9"
23,"Navy","5-1",251,"24","andy-greder","Week 9"
24,"LSU","5-2",352,"25","andy-greder","Week 9"
25,"Virginia Tech","5-2",110,"-","andy-greder","Week 9"
1,"Alabama","8-0",1524,"1","bill-landis","Week 9"
2,"Michigan","7-0",1446,"3","bill-landis","Week 9"
3,"Washington","7-0",1373,"5","bill-landis","Week 9"
4,"Clemson","7-0",1382,"4","bill-landis","Week 9"
5,"Ohio State","6-1",1143,"2","bill-landis","Week 9"
6,"Louisville","6-1",1276,"7","bill-landis","Week 9"
7,"Texas A&M","6-1",1007,"6","bill-landis","Week 9"
8,"Wisconsin","5-2",980,"10","bill-landis","Week 9"
9,"West Virginia","6-0",997,"12","bill-landis","Week 9"
10,"Nebraska","7-0",1083,"8","bill-landis","Week 9"
11,"Baylor","6-0",1063,"9","bill-landis","Week 9"
12,"Florida State","5-2",725,"13","bill-landis","Week 9"
13,"Florida","5-1",654,"15","bill-landis","Week 9"
14,"Boise State","7-0",716,"14","bill-landis","Week 9"
15,"Western Michigan","8-0",349,"20","bill-landis","Week 9"
16,"Utah","7-1",584,"19","bill-landis","Week 9"
17,"Auburn","5-2",641,"21","bill-landis","Week 9"
18,"LSU","5-2",352,"25","bill-landis","Week 9"
19,"Tennessee","5-2",572,"18","bill-landis","Week 9"
20,"Virginia Tech","5-2",110,"-","bill-landis","Week 9"
21,"North Carolina","6-2",328,"22","bill-landis","Week 9"
