"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Week 15",1,"Alabama",61,"13-0","SEC","1",1525
"Week 15",2,"Ohio State",,"11-1","Big Ten","2",1444
"Week 15",3,"Clemson",,"12-1","ACC","3",1396
"Week 15",4,"Washington",,"12-1","Pac-12","4",1329
"Week 15",5,"Penn State",,"11-2","Big Ten","8",1252
"Week 15",6,"Michigan",,"10-2","Big Ten","5",1249
"Week 15",7,"Oklahoma",,"10-2","Big 12","7",1173
"Week 15",8,"Wisconsin",,"10-3","Big Ten","6",1054
"Week 15",9,"USC",,"9-3","Pac-12","10",1040
"Week 15",10,"Florida State",,"9-3","ACC","12",889
"Week 15",11,"Colorado",,"10-3","Pac-12","9",886
"Week 15",12,"Western Michigan",,"13-0","Mid-American","13",871
"Week 15",13,"Oklahoma State",,"9-3","Big 12","11",800
"Week 15",14,"West Virginia",,"10-2","Big 12","14",788
"Week 15",15,"Louisville",,"9-3","ACC","16",542
"Week 15",16,"Stanford",,"9-3","Pac-12","17",508
"Week 15",17,"Auburn",,"8-4","SEC","18",493
"Week 15",18,"Virginia Tech",,"9-4","ACC","19",372
"Week 15",19,"LSU",,"7-4","SEC","21",351
"Week 15",20,"Florida",,"8-4","SEC","15",331
"Week 15",21,"Iowa",,"8-4","Big Ten","22",272
"Week 15",22,"Pittsburgh",,"8-4","ACC","24",237
"Week 15",23,"Temple",,"10-3","The American","-",229
"Week 15",24,"Nebraska",,"9-3","Big Ten","23",196
"Week 15",25,"South Florida",,"10-2","The American","24",173
