"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","9-0",1524,"1","ap","Week 11"
2,"Michigan","9-0",1432,"2","ap","Week 11"
3,"Clemson","9-0",1408,"3","ap","Week 11"
4,"Washington","9-0",1364,"4","ap","Week 11"
5,"Louisville","8-1",1255,"5","ap","Week 11"
6,"Ohio State","8-1",1245,"6","ap","Week 11"
7,"Wisconsin","7-2",1159,"8","ap","Week 11"
8,"Auburn","7-2",1081,"11","ap","Week 11"
9,"Oklahoma","7-2",996,"12","ap","Week 11"
10,"Texas A&M","7-2",820,"7","ap","Week 11"
11,"West Virginia","7-1",805,"14","ap","Week 11"
12,"Penn State","7-2",752,"20","ap","Week 11"
13,"Utah","7-2",686,"16","ap","Week 11"
14,"Western Michigan","9-0",583,"17","ap","Week 11"
15,"North Carolina","7-2",559,"18","ap","Week 11"
16,"Colorado","7-2",550,"21","ap","Week 11"
17,"Oklahoma State","7-2",516,"22","ap","Week 11"
18,"Virginia Tech","7-2",479,"23","ap","Week 11"
19,"LSU","5-3",454,"15","ap","Week 11"
20,"Florida State","6-3",450,"19","ap","Week 11"
21,"Nebraska","7-2",434,"9","ap","Week 11"
22,"Florida","6-2",390,"10","ap","Week 11"
23,"Washington State","7-2",305,"25","ap","Week 11"
24,"Boise State","8-1",226,"24","ap","Week 11"
25,"Baylor","6-2",90,"13","ap","Week 11"
1,"Alabama","9-0",1524,"1","adam-jude","Week 11"
2,"Clemson","9-0",1408,"3","adam-jude","Week 11"
3,"Michigan","9-0",1432,"2","adam-jude","Week 11"
4,"Washington","9-0",1364,"4","adam-jude","Week 11"
5,"Louisville","8-1",1255,"5","adam-jude","Week 11"
6,"Ohio State","8-1",1245,"6","adam-jude","Week 11"
7,"Wisconsin","7-2",1159,"8","adam-jude","Week 11"
8,"Oklahoma","7-2",996,"12","adam-jude","Week 11"
9,"Auburn","7-2",1081,"11","adam-jude","Week 11"
10,"West Virginia","7-1",805,"14","adam-jude","Week 11"
11,"Utah","7-2",686,"16","adam-jude","Week 11"
12,"Colorado","7-2",550,"21","adam-jude","Week 11"
13,"Texas A&M","7-2",820,"7","adam-jude","Week 11"
14,"Nebraska","7-2",434,"9","adam-jude","Week 11"
15,"Western Michigan","9-0",583,"17","adam-jude","Week 11"
16,"LSU","5-3",454,"15","adam-jude","Week 11"
17,"Washington State","7-2",305,"25","adam-jude","Week 11"
18,"Florida","6-2",390,"10","adam-jude","Week 11"
19,"Penn State","7-2",752,"20","adam-jude","Week 11"
20,"Boise State","8-1",226,"24","adam-jude","Week 11"
21,"Florida State","6-3",450,"19","adam-jude","Week 11"
22,"North Carolina","7-2",559,"18","adam-jude","Week 11"
23,"Virginia Tech","7-2",479,"23","adam-jude","Week 11"
24,"USC","6-3",76,"-","adam-jude","Week 11"
25,"Oklahoma State","7-2",516,"22","adam-jude","Week 11"
1,"Alabama","9-0",1524,"1","adam-zucker","Week 11"
2,"Michigan","9-0",1432,"2","adam-zucker","Week 11"
3,"Clemson","9-0",1408,"3","adam-zucker","Week 11"
4,"Washington","9-0",1364,"4","adam-zucker","Week 11"
5,"Louisville","8-1",1255,"5","adam-zucker","Week 11"
6,"Ohio State","8-1",1245,"6","adam-zucker","Week 11"
7,"Wisconsin","7-2",1159,"8","adam-zucker","Week 11"
8,"Auburn","7-2",1081,"11","adam-zucker","Week 11"
9,"Florida","6-2",390,"10","adam-zucker","Week 11"
10,"West Virginia","7-1",805,"14","adam-zucker","Week 11"
11,"Texas A&M","7-2",820,"7","adam-zucker","Week 11"
12,"Utah","7-2",686,"16","adam-zucker","Week 11"
13,"Florida State","6-3",450,"19","adam-zucker","Week 11"
14,"Penn State","7-2",752,"20","adam-zucker","Week 11"
15,"LSU","5-3",454,"15","adam-zucker","Week 11"
16,"Oklahoma","7-2",996,"12","adam-zucker","Week 11"
17,"Virginia Tech","7-2",479,"23","adam-zucker","Week 11"
18,"Colorado","7-2",550,"21","adam-zucker","Week 11"
19,"Nebraska","7-2",434,"9","adam-zucker","Week 11"
20,"Western Michigan","9-0",583,"17","adam-zucker","Week 11"
21,"North Carolina","7-2",559,"18","adam-zucker","Week 11"
22,"Oklahoma State","7-2",516,"22","adam-zucker","Week 11"
23,"Washington State","7-2",305,"25","adam-zucker","Week 11"
24,"Troy","7-1",28,"-","adam-zucker","Week 11"
25,"Boise State","8-1",226,"24","adam-zucker","Week 11"
1,"Alabama","9-0",1524,"1","andy-greder","Week 11"
2,"Michigan","9-0",1432,"2","andy-greder","Week 11"
3,"Clemson","9-0",1408,"3","andy-greder","Week 11"
4,"Washington","9-0",1364,"4","andy-greder","Week 11"
5,"Ohio State","8-1",1245,"6","andy-greder","Week 11"
6,"Louisville","8-1",1255,"5","andy-greder","Week 11"
7,"Wisconsin","7-2",1159,"8","andy-greder","Week 11"
8,"Oklahoma","7-2",996,"12","andy-greder","Week 11"
9,"Auburn","7-2",1081,"11","andy-greder","Week 11"
10,"Oklahoma State","7-2",516,"22","andy-greder","Week 11"
11,"LSU","5-3",454,"15","andy-greder","Week 11"
12,"Florida State","6-3",450,"19","andy-greder","Week 11"
13,"Texas A&M","7-2",820,"7","andy-greder","Week 11"
14,"Utah","7-2",686,"16","andy-greder","Week 11"
15,"Western Michigan","9-0",583,"17","andy-greder","Week 11"
16,"Florida","6-2",390,"10","andy-greder","Week 11"
17,"Nebraska","7-2",434,"9","andy-greder","Week 11"
18,"North Carolina","7-2",559,"18","andy-greder","Week 11"
19,"Colorado","7-2",550,"21","andy-greder","Week 11"
20,"Penn State","7-2",752,"20","andy-greder","Week 11"
21,"West Virginia","7-1",805,"14","andy-greder","Week 11"
22,"Washington State","7-2",305,"25","andy-greder","Week 11"
23,"Virginia Tech","7-2",479,"23","andy-greder","Week 11"
24,"Boise State","8-1",226,"24","andy-greder","Week 11"
25,"San Diego State","8-1",38,"-","andy-greder","Week 11"
1,"Alabama","9-0",1524,"1","bill-landis","Week 11"
2,"Clemson","9-0",1408,"3","bill-landis","Week 11"
3,"Michigan","9-0",1432,"2","bill-landis","Week 11"
4,"Washington","9-0",1364,"4","bill-landis","Week 11"
5,"Ohio State","8-1",1245,"6","bill-landis","Week 11"
6,"Louisville","8-1",1255,"5","bill-landis","Week 11"
7,"Wisconsin","7-2",1159,"8","bill-landis","Week 11"
8,"Auburn","7-2",1081,"11","bill-landis","Week 11"
9,"Penn State","7-2",752,"20","bill-landis","Week 11"
10,"Colorado","7-2",550,"21","bill-landis","Week 11"
11,"Utah","7-2",686,"16","bill-landis","Week 11"
12,"Oklahoma","7-2",996,"12","bill-landis","Week 11"
13,"LSU","5-3",454,"15","bill-landis","Week 11"
14,"Texas A&M","7-2",820,"7","bill-landis","Week 11"
15,"West Virginia","7-1",805,"14","bill-landis","Week 11"
16,"Western Michigan","9-0",583,"17","bill-landis","Week 11"
17,"North Carolina","7-2",559,"18","bill-landis","Week 11"
18,"Nebraska","7-2",434,"9","bill-landis","Week 11"
19,"Boise State","8-1",226,"24","bill-landis","Week 11"
20,"Virginia Tech","7-2",479,"23","bill-landis","Week 11"
21,"Oklahoma State","7-2",516,"22","bill-landis","Week 11"
22,"Washington State","7-2",305,"25","bill-landis","Week 11"
23,"Arkansas","6-3",74,"-","bill-landis","Week 11"
24,"San Diego State","8-1",38,"-","bill-landis","Week 11"
25,"Florida","6-2",390,"10","bill-landis","Week 11"
1,"Alabama","9-0",1524,"1","bob-asmussen","Week 11"
2,"Michigan","9-0",1432,"2","bob-asmussen","Week 11"
3,"Clemson","9-0",1408,"3","bob-asmussen","Week 11"
4,"Washington","9-0",1364,"4","bob-asmussen","Week 11"
5,"Louisville","8-1",1255,"5","bob-asmussen","Week 11"
6,"Ohio State","8-1",1245,"6","bob-asmussen","Week 11"
7,"Wisconsin","7-2",1159,"8","bob-asmussen","Week 11"
8,"Oklahoma","7-2",996,"12","bob-asmussen","Week 11"
9,"Auburn","7-2",1081,"11","bob-asmussen","Week 11"
10,"Oklahoma State","7-2",516,"22","bob-asmussen","Week 11"
11,"Western Michigan","9-0",583,"17","bob-asmussen","Week 11"
12,"West Virginia","7-1",805,"14","bob-asmussen","Week 11"
13,"Penn State","7-2",752,"20","bob-asmussen","Week 11"
14,"Nebraska","7-2",434,"9","bob-asmussen","Week 11"
15,"Texas A&M","7-2",820,"7","bob-asmussen","Week 11"
16,"Colorado","7-2",550,"21","bob-asmussen","Week 11"
17,"Florida","6-2",390,"10","bob-asmussen","Week 11"
18,"North Carolina","7-2",559,"18","bob-asmussen","Week 11"
19,"Virginia Tech","7-2",479,"23","bob-asmussen","Week 11"
20,"Washington State","7-2",305,"25","bob-asmussen","Week 11"
21,"Florida State","6-3",450,"19","bob-asmussen","Week 11"
22,"Houston","7-2",25,"-","bob-asmussen","Week 11"
23,"Utah","7-2",686,"16","bob-asmussen","Week 11"
24,"Boise State","8-1",226,"24","bob-asmussen","Week 11"
25,"LSU","5-3",454,"15","bob-asmussen","Week 11"
1,"Alabama","9-0",1524,"1","brent-axe","Week 11"
2,"Michigan","9-0",1432,"2","brent-axe","Week 11"
3,"Clemson","9-0",1408,"3","brent-axe","Week 11"
4,"Washington","9-0",1364,"4","brent-axe","Week 11"
5,"Louisville","8-1",1255,"5","brent-axe","Week 11"
6,"Ohio State","8-1",1245,"6","brent-axe","Week 11"
7,"Wisconsin","7-2",1159,"8","brent-axe","Week 11"
8,"Auburn","7-2",1081,"11","brent-axe","Week 11"
9,"Oklahoma","7-2",996,"12","brent-axe","Week 11"
10,"Oklahoma State","7-2",516,"22","brent-axe","Week 11"
11,"West Virginia","7-1",805,"14","brent-axe","Week 11"
12,"Texas A&M","7-2",820,"7","brent-axe","Week 11"
13,"Western Michigan","9-0",583,"17","brent-axe","Week 11"
14,"Boise State","8-1",226,"24","brent-axe","Week 11"
15,"Washington State","7-2",305,"25","brent-axe","Week 11"
16,"Penn State","7-2",752,"20","brent-axe","Week 11"
17,"Virginia Tech","7-2",479,"23","brent-axe","Week 11"
18,"Colorado","7-2",550,"21","brent-axe","Week 11"
19,"Utah","7-2",686,"16","brent-axe","Week 11"
20,"North Carolina","7-2",559,"18","brent-axe","Week 11"
21,"Arkansas","6-3",74,"-","brent-axe","Week 11"
22,"Florida","6-2",390,"10","brent-axe","Week 11"
23,"LSU","5-3",454,"15","brent-axe","Week 11"
24,"Baylor","6-2",90,"13","brent-axe","Week 11"
25,"San Diego State","8-1",38,"-","brent-axe","Week 11"
1,"Alabama","9-0",1524,"1","brett-mcmurphy","Week 11"
2,"Clemson","9-0",1408,"3","brett-mcmurphy","Week 11"
3,"Michigan","9-0",1432,"2","brett-mcmurphy","Week 11"
4,"Washington","9-0",1364,"4","brett-mcmurphy","Week 11"
5,"Louisville","8-1",1255,"5","brett-mcmurphy","Week 11"
6,"Ohio State","8-1",1245,"6","brett-mcmurphy","Week 11"
7,"Wisconsin","7-2",1159,"8","brett-mcmurphy","Week 11"
8,"Auburn","7-2",1081,"11","brett-mcmurphy","Week 11"
9,"Oklahoma","7-2",996,"12","brett-mcmurphy","Week 11"
10,"Penn State","7-2",752,"20","brett-mcmurphy","Week 11"
11,"West Virginia","7-1",805,"14","brett-mcmurphy","Week 11"
12,"Colorado","7-2",550,"21","brett-mcmurphy","Week 11"
13,"Utah","7-2",686,"16","brett-mcmurphy","Week 11"
14,"Texas A&M","7-2",820,"7","brett-mcmurphy","Week 11"
15,"Nebraska","7-2",434,"9","brett-mcmurphy","Week 11"
16,"Western Michigan","9-0",583,"17","brett-mcmurphy","Week 11"
17,"Washington State","7-2",305,"25","brett-mcmurphy","Week 11"
18,"Virginia Tech","7-2",479,"23","brett-mcmurphy","Week 11"
19,"Oklahoma State","7-2",516,"22","brett-mcmurphy","Week 11"
20,"LSU","5-3",454,"15","brett-mcmurphy","Week 11"
21,"Boise State","8-1",226,"24","brett-mcmurphy","Week 11"
22,"Florida State","6-3",450,"19","brett-mcmurphy","Week 11"
23,"USC","6-3",76,"-","brett-mcmurphy","Week 11"
24,"Arkansas","6-3",74,"-","brett-mcmurphy","Week 11"
25,"Florida","6-2",390,"10","brett-mcmurphy","Week 11"
1,"Alabama","9-0",1524,"1","brian-howell","Week 11"
2,"Michigan","9-0",1432,"2","brian-howell","Week 11"
3,"Washington","9-0",1364,"4","brian-howell","Week 11"
4,"Clemson","9-0",1408,"3","brian-howell","Week 11"
5,"Ohio State","8-1",1245,"6","brian-howell","Week 11"
6,"Louisville","8-1",1255,"5","brian-howell","Week 11"
7,"Wisconsin","7-2",1159,"8","brian-howell","Week 11"
8,"Oklahoma","7-2",996,"12","brian-howell","Week 11"
9,"Auburn","7-2",1081,"11","brian-howell","Week 11"
10,"Texas A&M","7-2",820,"7","brian-howell","Week 11"
11,"North Carolina","7-2",559,"18","brian-howell","Week 11"
12,"Penn State","7-2",752,"20","brian-howell","Week 11"
13,"Oklahoma State","7-2",516,"22","brian-howell","Week 11"
14,"West Virginia","7-1",805,"14","brian-howell","Week 11"
15,"Utah","7-2",686,"16","brian-howell","Week 11"
16,"Colorado","7-2",550,"21","brian-howell","Week 11"
17,"Florida State","6-3",450,"19","brian-howell","Week 11"
18,"Washington State","7-2",305,"25","brian-howell","Week 11"
19,"Western Michigan","9-0",583,"17","brian-howell","Week 11"
20,"Arkansas","6-3",74,"-","brian-howell","Week 11"
21,"USC","6-3",76,"-","brian-howell","Week 11"
22,"Florida","6-2",390,"10","brian-howell","Week 11"
23,"LSU","5-3",454,"15","brian-howell","Week 11"
24,"Nebraska","7-2",434,"9","brian-howell","Week 11"
25,"Baylor","6-2",90,"13","brian-howell","Week 11"
1,"Alabama","9-0",1524,"1","chris-murray","Week 11"
2,"Clemson","9-0",1408,"3","chris-murray","Week 11"
3,"Michigan","9-0",1432,"2","chris-murray","Week 11"
4,"Washington","9-0",1364,"4","chris-murray","Week 11"
5,"Ohio State","8-1",1245,"6","chris-murray","Week 11"
6,"Louisville","8-1",1255,"5","chris-murray","Week 11"
7,"Wisconsin","7-2",1159,"8","chris-murray","Week 11"
8,"Auburn","7-2",1081,"11","chris-murray","Week 11"
9,"Oklahoma","7-2",996,"12","chris-murray","Week 11"
10,"Texas A&M","7-2",820,"7","chris-murray","Week 11"
11,"West Virginia","7-1",805,"14","chris-murray","Week 11"
12,"Utah","7-2",686,"16","chris-murray","Week 11"
13,"Florida","6-2",390,"10","chris-murray","Week 11"
14,"Western Michigan","9-0",583,"17","chris-murray","Week 11"
15,"Florida State","6-3",450,"19","chris-murray","Week 11"
16,"Colorado","7-2",550,"21","chris-murray","Week 11"
17,"LSU","5-3",454,"15","chris-murray","Week 11"
18,"Virginia Tech","7-2",479,"23","chris-murray","Week 11"
19,"North Carolina","7-2",559,"18","chris-murray","Week 11"
20,"Oklahoma State","7-2",516,"22","chris-murray","Week 11"
21,"Boise State","8-1",226,"24","chris-murray","Week 11"
22,"Baylor","6-2",90,"13","chris-murray","Week 11"
23,"Penn State","7-2",752,"20","chris-murray","Week 11"
24,"Nebraska","7-2",434,"9","chris-murray","Week 11"
25,"San Diego State","8-1",38,"-","chris-murray","Week 11"
1,"Alabama","9-0",1524,"1","chuck-carlton","Week 11"
2,"Michigan","9-0",1432,"2","chuck-carlton","Week 11"
3,"Clemson","9-0",1408,"3","chuck-carlton","Week 11"
4,"Washington","9-0",1364,"4","chuck-carlton","Week 11"
5,"Ohio State","8-1",1245,"6","chuck-carlton","Week 11"
6,"Louisville","8-1",1255,"5","chuck-carlton","Week 11"
7,"Wisconsin","7-2",1159,"8","chuck-carlton","Week 11"
8,"Auburn","7-2",1081,"11","chuck-carlton","Week 11"
9,"Oklahoma","7-2",996,"12","chuck-carlton","Week 11"
10,"Oklahoma State","7-2",516,"22","chuck-carlton","Week 11"
11,"West Virginia","7-1",805,"14","chuck-carlton","Week 11"
12,"Texas A&M","7-2",820,"7","chuck-carlton","Week 11"
13,"Colorado","7-2",550,"21","chuck-carlton","Week 11"
14,"Utah","7-2",686,"16","chuck-carlton","Week 11"
15,"Western Michigan","9-0",583,"17","chuck-carlton","Week 11"
16,"Nebraska","7-2",434,"9","chuck-carlton","Week 11"
17,"North Carolina","7-2",559,"18","chuck-carlton","Week 11"
18,"Penn State","7-2",752,"20","chuck-carlton","Week 11"
19,"LSU","5-3",454,"15","chuck-carlton","Week 11"
20,"Virginia Tech","7-2",479,"23","chuck-carlton","Week 11"
21,"Boise State","8-1",226,"24","chuck-carlton","Week 11"
22,"Washington State","7-2",305,"25","chuck-carlton","Week 11"
23,"Florida State","6-3",450,"19","chuck-carlton","Week 11"
24,"San Diego State","8-1",38,"-","chuck-carlton","Week 11"
25,"Florida","6-2",390,"10","chuck-carlton","Week 11"
1,"Alabama","9-0",1524,"1","dana-sulonen","Week 11"
2,"Michigan","9-0",1432,"2","dana-sulonen","Week 11"
3,"Clemson","9-0",1408,"3","dana-sulonen","Week 11"
4,"Washington","9-0",1364,"4","dana-sulonen","Week 11"
5,"Louisville","8-1",1255,"5","dana-sulonen","Week 11"
6,"Ohio State","8-1",1245,"6","dana-sulonen","Week 11"
7,"Wisconsin","7-2",1159,"8","dana-sulonen","Week 11"
8,"Auburn","7-2",1081,"11","dana-sulonen","Week 11"
9,"Oklahoma","7-2",996,"12","dana-sulonen","Week 11"
10,"Texas A&M","7-2",820,"7","dana-sulonen","Week 11"
11,"Penn State","7-2",752,"20","dana-sulonen","Week 11"
12,"West Virginia","7-1",805,"14","dana-sulonen","Week 11"
13,"Oklahoma State","7-2",516,"22","dana-sulonen","Week 11"
14,"Colorado","7-2",550,"21","dana-sulonen","Week 11"
15,"Utah","7-2",686,"16","dana-sulonen","Week 11"
16,"North Carolina","7-2",559,"18","dana-sulonen","Week 11"
17,"LSU","5-3",454,"15","dana-sulonen","Week 11"
18,"Western Michigan","9-0",583,"17","dana-sulonen","Week 11"
19,"Nebraska","7-2",434,"9","dana-sulonen","Week 11"
20,"Florida State","6-3",450,"19","dana-sulonen","Week 11"
21,"Virginia Tech","7-2",479,"23","dana-sulonen","Week 11"
22,"Florida","6-2",390,"10","dana-sulonen","Week 11"
23,"Washington State","7-2",305,"25","dana-sulonen","Week 11"
24,"Boise State","8-1",226,"24","dana-sulonen","Week 11"
25,"Baylor","6-2",90,"13","dana-sulonen","Week 11"
1,"Alabama","9-0",1524,"1","dave-southorn","Week 11"
2,"Clemson","9-0",1408,"3","dave-southorn","Week 11"
3,"Michigan","9-0",1432,"2","dave-southorn","Week 11"
4,"Washington","9-0",1364,"4","dave-southorn","Week 11"
5,"Ohio State","8-1",1245,"6","dave-southorn","Week 11"
6,"Louisville","8-1",1255,"5","dave-southorn","Week 11"
7,"Wisconsin","7-2",1159,"8","dave-southorn","Week 11"
8,"Oklahoma","7-2",996,"12","dave-southorn","Week 11"
9,"Auburn","7-2",1081,"11","dave-southorn","Week 11"
10,"West Virginia","7-1",805,"14","dave-southorn","Week 11"
11,"Penn State","7-2",752,"20","dave-southorn","Week 11"
12,"Western Michigan","9-0",583,"17","dave-southorn","Week 11"
13,"Texas A&M","7-2",820,"7","dave-southorn","Week 11"
14,"Virginia Tech","7-2",479,"23","dave-southorn","Week 11"
15,"Nebraska","7-2",434,"9","dave-southorn","Week 11"
16,"Colorado","7-2",550,"21","dave-southorn","Week 11"
17,"Utah","7-2",686,"16","dave-southorn","Week 11"
18,"North Carolina","7-2",559,"18","dave-southorn","Week 11"
19,"LSU","5-3",454,"15","dave-southorn","Week 11"
20,"Florida","6-2",390,"10","dave-southorn","Week 11"
21,"Boise State","8-1",226,"24","dave-southorn","Week 11"
22,"Washington State","7-2",305,"25","dave-southorn","Week 11"
23,"Oklahoma State","7-2",516,"22","dave-southorn","Week 11"
24,"Florida State","6-3",450,"19","dave-southorn","Week 11"
25,"San Diego State","8-1",38,"-","dave-southorn","Week 11"
1,"Alabama","9-0",1524,"1","david-briggs","Week 11"
2,"Michigan","9-0",1432,"2","david-briggs","Week 11"
3,"Washington","9-0",1364,"4","david-briggs","Week 11"
4,"Clemson","9-0",1408,"3","david-briggs","Week 11"
5,"Ohio State","8-1",1245,"6","david-briggs","Week 11"
6,"Louisville","8-1",1255,"5","david-briggs","Week 11"
7,"Wisconsin","7-2",1159,"8","david-briggs","Week 11"
8,"Auburn","7-2",1081,"11","david-briggs","Week 11"
9,"Oklahoma","7-2",996,"12","david-briggs","Week 11"
10,"Utah","7-2",686,"16","david-briggs","Week 11"
11,"Texas A&M","7-2",820,"7","david-briggs","Week 11"
12,"LSU","5-3",454,"15","david-briggs","Week 11"
13,"Western Michigan","9-0",583,"17","david-briggs","Week 11"
14,"Oklahoma State","7-2",516,"22","david-briggs","Week 11"
15,"West Virginia","7-1",805,"14","david-briggs","Week 11"
16,"Penn State","7-2",752,"20","david-briggs","Week 11"
17,"Florida State","6-3",450,"19","david-briggs","Week 11"
18,"Colorado","7-2",550,"21","david-briggs","Week 11"
19,"Nebraska","7-2",434,"9","david-briggs","Week 11"
20,"Washington State","7-2",305,"25","david-briggs","Week 11"
21,"Boise State","8-1",226,"24","david-briggs","Week 11"
22,"Virginia Tech","7-2",479,"23","david-briggs","Week 11"
23,"North Carolina","7-2",559,"18","david-briggs","Week 11"
24,"Arkansas","6-3",74,"-","david-briggs","Week 11"
25,"Florida","6-2",390,"10","david-briggs","Week 11"
1,"Alabama","9-0",1524,"1","ed-daigneault","Week 11"
2,"Clemson","9-0",1408,"3","ed-daigneault","Week 11"
3,"Michigan","9-0",1432,"2","ed-daigneault","Week 11"
4,"Washington","9-0",1364,"4","ed-daigneault","Week 11"
