"Rank","Team","Record","Points","PV.Rank","Voter","Week"
5,"Louisville","8-1",1255,"5","ed-daigneault","Week 11"
6,"Ohio State","8-1",1245,"6","ed-daigneault","Week 11"
7,"Wisconsin","7-2",1159,"8","ed-daigneault","Week 11"
8,"Auburn","7-2",1081,"11","ed-daigneault","Week 11"
9,"Oklahoma","7-2",996,"12","ed-daigneault","Week 11"
10,"North Carolina","7-2",559,"18","ed-daigneault","Week 11"
11,"Texas A&M","7-2",820,"7","ed-daigneault","Week 11"
12,"Penn State","7-2",752,"20","ed-daigneault","Week 11"
13,"Oklahoma State","7-2",516,"22","ed-daigneault","Week 11"
14,"West Virginia","7-1",805,"14","ed-daigneault","Week 11"
15,"Virginia Tech","7-2",479,"23","ed-daigneault","Week 11"
16,"Western Michigan","9-0",583,"17","ed-daigneault","Week 11"
17,"Colorado","7-2",550,"21","ed-daigneault","Week 11"
18,"Utah","7-2",686,"16","ed-daigneault","Week 11"
19,"Florida","6-2",390,"10","ed-daigneault","Week 11"
20,"Nebraska","7-2",434,"9","ed-daigneault","Week 11"
21,"Washington State","7-2",305,"25","ed-daigneault","Week 11"
22,"Boise State","8-1",226,"24","ed-daigneault","Week 11"
23,"Florida State","6-3",450,"19","ed-daigneault","Week 11"
24,"Baylor","6-2",90,"13","ed-daigneault","Week 11"
25,"LSU","5-3",454,"15","ed-daigneault","Week 11"
1,"Alabama","9-0",1524,"1","ed-johnson","Week 11"
2,"Clemson","9-0",1408,"3","ed-johnson","Week 11"
3,"Louisville","8-1",1255,"5","ed-johnson","Week 11"
4,"Michigan","9-0",1432,"2","ed-johnson","Week 11"
5,"Washington","9-0",1364,"4","ed-johnson","Week 11"
6,"Ohio State","8-1",1245,"6","ed-johnson","Week 11"
7,"Wisconsin","7-2",1159,"8","ed-johnson","Week 11"
8,"Auburn","7-2",1081,"11","ed-johnson","Week 11"
9,"Florida State","6-3",450,"19","ed-johnson","Week 11"
10,"Oklahoma","7-2",996,"12","ed-johnson","Week 11"
11,"Texas A&M","7-2",820,"7","ed-johnson","Week 11"
12,"LSU","5-3",454,"15","ed-johnson","Week 11"
13,"Penn State","7-2",752,"20","ed-johnson","Week 11"
14,"Nebraska","7-2",434,"9","ed-johnson","Week 11"
15,"West Virginia","7-1",805,"14","ed-johnson","Week 11"
16,"Florida","6-2",390,"10","ed-johnson","Week 11"
17,"Utah","7-2",686,"16","ed-johnson","Week 11"
18,"North Carolina","7-2",559,"18","ed-johnson","Week 11"
19,"Oklahoma State","7-2",516,"22","ed-johnson","Week 11"
20,"Virginia Tech","7-2",479,"23","ed-johnson","Week 11"
21,"Boise State","8-1",226,"24","ed-johnson","Week 11"
22,"Washington State","7-2",305,"25","ed-johnson","Week 11"
23,"Colorado","7-2",550,"21","ed-johnson","Week 11"
24,"Western Michigan","9-0",583,"17","ed-johnson","Week 11"
25,"Arkansas","6-3",74,"-","ed-johnson","Week 11"
1,"Alabama","9-0",1524,"1","eric-hansen","Week 11"
2,"Washington","9-0",1364,"4","eric-hansen","Week 11"
3,"Michigan","9-0",1432,"2","eric-hansen","Week 11"
4,"Clemson","9-0",1408,"3","eric-hansen","Week 11"
5,"Louisville","8-1",1255,"5","eric-hansen","Week 11"
6,"Ohio State","8-1",1245,"6","eric-hansen","Week 11"
7,"Wisconsin","7-2",1159,"8","eric-hansen","Week 11"
8,"Auburn","7-2",1081,"11","eric-hansen","Week 11"
9,"Penn State","7-2",752,"20","eric-hansen","Week 11"
10,"Texas A&M","7-2",820,"7","eric-hansen","Week 11"
11,"Oklahoma","7-2",996,"12","eric-hansen","Week 11"
12,"Florida State","6-3",450,"19","eric-hansen","Week 11"
13,"Virginia Tech","7-2",479,"23","eric-hansen","Week 11"
14,"Western Michigan","9-0",583,"17","eric-hansen","Week 11"
15,"Nebraska","7-2",434,"9","eric-hansen","Week 11"
16,"Utah","7-2",686,"16","eric-hansen","Week 11"
17,"Houston","7-2",25,"-","eric-hansen","Week 11"
18,"North Carolina","7-2",559,"18","eric-hansen","Week 11"
19,"West Virginia","7-1",805,"14","eric-hansen","Week 11"
20,"Colorado","7-2",550,"21","eric-hansen","Week 11"
21,"LSU","5-3",454,"15","eric-hansen","Week 11"
22,"USC","6-3",76,"-","eric-hansen","Week 11"
23,"Arkansas","6-3",74,"-","eric-hansen","Week 11"
24,"Florida","6-2",390,"10","eric-hansen","Week 11"
25,"Oklahoma State","7-2",516,"22","eric-hansen","Week 11"
1,"Alabama","9-0",1524,"1","ferd-lewis","Week 11"
2,"Michigan","9-0",1432,"2","ferd-lewis","Week 11"
3,"Clemson","9-0",1408,"3","ferd-lewis","Week 11"
4,"Washington","9-0",1364,"4","ferd-lewis","Week 11"
5,"Ohio State","8-1",1245,"6","ferd-lewis","Week 11"
6,"Louisville","8-1",1255,"5","ferd-lewis","Week 11"
7,"Wisconsin","7-2",1159,"8","ferd-lewis","Week 11"
8,"Auburn","7-2",1081,"11","ferd-lewis","Week 11"
9,"Oklahoma","7-2",996,"12","ferd-lewis","Week 11"
10,"West Virginia","7-1",805,"14","ferd-lewis","Week 11"
11,"Utah","7-2",686,"16","ferd-lewis","Week 11"
12,"Western Michigan","9-0",583,"17","ferd-lewis","Week 11"
13,"North Carolina","7-2",559,"18","ferd-lewis","Week 11"
14,"Florida State","6-3",450,"19","ferd-lewis","Week 11"
15,"LSU","5-3",454,"15","ferd-lewis","Week 11"
16,"Texas A&M","7-2",820,"7","ferd-lewis","Week 11"
17,"Nebraska","7-2",434,"9","ferd-lewis","Week 11"
18,"Penn State","7-2",752,"20","ferd-lewis","Week 11"
19,"Florida","6-2",390,"10","ferd-lewis","Week 11"
20,"Colorado","7-2",550,"21","ferd-lewis","Week 11"
21,"Baylor","6-2",90,"13","ferd-lewis","Week 11"
22,"Oklahoma State","7-2",516,"22","ferd-lewis","Week 11"
23,"Virginia Tech","7-2",479,"23","ferd-lewis","Week 11"
24,"Boise State","8-1",226,"24","ferd-lewis","Week 11"
25,"Washington State","7-2",305,"25","ferd-lewis","Week 11"
1,"Alabama","9-0",1524,"1","garland-gillen","Week 11"
2,"Michigan","9-0",1432,"2","garland-gillen","Week 11"
3,"Clemson","9-0",1408,"3","garland-gillen","Week 11"
4,"Washington","9-0",1364,"4","garland-gillen","Week 11"
